 	l'	enfant	d'	ondongo	a	commis	le	délit	de	voler	des	beignets	</S>
o	0.142426	0.0978379	0.0643377	0.649602	0.0151247	0.00139022	0.00274788	0.00433688	0.00292036	0.000581173	0.000612759	0.000983735	0.0170986
a	0.0120901	0.00351761	0.177532	0.0924749	0.616983	0.0302079	0.0247053	0.00883233	0.0128635	0.010234	0.00583105	0.000538982	0.00418927
d	0.0131028	0.00128343	0.0713034	0.104363	0.229119	0.450303	0.0478301	0.00568704	0.00597077	0.0353839	0.00887435	0.00468878	0.0220902
í	0.00379771	0.00109359	0.0171957	0.0430914	0.074458	0.301753	0.161522	0.0165659	0.00911899	0.0861011	0.0168752	0.0127165	0.25571
l	0.00607144	0.000255365	0.0193301	0.00706225	0.079834	0.573667	0.129663	0.032808	0.0177769	0.0528434	0.0280214	0.0087074	0.0439592
i	0.000755583	0.000272687	0.0073851	0.00802038	0.080876	0.277231	0.313329	0.0566221	0.0402196	0.0394166	0.0315703	0.0129101	0.131392
t	0.00231601	0.000274723	0.00313832	0.0145958	0.0288022	0.165066	0.291835	0.274041	0.0863165	0.0292497	0.0154402	0.0355273	0.053397
ú	0.000577393	0.000849037	0.00374172	0.0216301	0.00721093	0.576098	0.0941572	0.133091	0.0158288	0.0299756	0.00408718	0.101225	0.011528
b	0.000256081	0.000112986	0.000612463	0.0149943	0.00523911	0.567976	0.248509	0.0983271	0.0126554	0.00605495	0.00191009	0.0118709	0.0314821
h	0.00174583	0.000126415	0.00059487	0.00340029	0.00593015	0.184196	0.188519	0.389405	0.055309	0.0177114	0.02733	0.0106547	0.115078
ú	0.00205075	8.06914e-05	0.000902703	0.00228278	0.0139394	0.0268641	0.0904271	0.680871	0.113523	0.00977429	0.0240311	0.00377177	0.0314814
l	0.000196794	1.60883e-05	0.000414056	0.000459834	0.00627584	0.0137922	0.145731	0.232634	0.288551	0.117604	0.15929	0.00655905	0.0284759
á	0.00150252	6.33016e-05	0.000981955	0.00116085	0.00462577	0.0207449	0.140001	0.190304	0.130235	0.194659	0.129166	0.087951	0.098604
t	0.00169138	3.92996e-05	0.00231743	0.00110538	0.00678454	0.00319885	0.0329082	0.112426	0.230405	0.262818	0.198021	0.103411	0.044874
s	0.000495208	7.83847e-05	0.00208477	0.00231072	0.00352374	0.00920598	0.057013	0.072605	0.052883	0.160151	0.0638927	0.549484	0.0262726
í	0.000180824	1.14071e-05	0.000151589	0.00103982	0.000422372	0.00472683	0.0107043	0.0710212	0.0249429	0.0361309	0.0359994	0.781465	0.0332038
n	0.000740034	0.00011999	0.00018319	0.000352574	0.000665001	0.00663752	0.0090073	0.0616686	0.0295005	0.111179	0.0561118	0.592258	0.131577
a	0.000189507	0.000138794	0.000805527	0.00357015	0.00208219	0.00463852	0.011604	0.0179373	0.0237526	0.0595654	0.123006	0.60653	0.14618
w	0.00109996	3.76975e-05	0.00119811	0.00072101	0.00437608	0.00232913	0.0113848	0.0310636	0.10125	0.22884	0.283929	0.0838433	0.249927
a	0.00423064	7.34722e-05	0.00269511	0.0023034	0.00884795	0.01169	0.0352127	0.108399	0.0978813	0.0768865	0.209184	0.329175	0.113422
á	0.000657896	2.25032e-05	0.000603732	0.000388041	0.0024948	0.0020562	0.00874615	0.0206593	0.0535595	0.102584	0.165529	0.19873	0.443969
y	0.0018854	8.49846e-05	0.00479443	0.0042898	0.00769655	0.0178178	0.023867	0.0054207	0.0169654	0.298784	0.244511	0.103567	0.270316
í	0.000505297	0.000253347	0.00431968	0.00433771	0.0019231	0.00507243	0.017982	0.00544738	0.00733506	0.182039	0.156672	0.257726	0.356386
b	0.000155082	3.07025e-05	0.000550035	0.000151251	0.0009994	0.00191003	0.0112302	0.0116298	0.0150038	0.0665459	0.109511	0.19359	0.588693
h	0.000171213	0.000197586	0.00112317	0.000384358	0.00110353	0.00506707	0.0168499	0.044056	0.0234805	0.198068	0.16567	0.360455	0.183374
i	0.000314176	0.00015301	0.000396769	0.000939623	0.0010347	0.0104733	0.0166581	0.036431	0.0314355	0.07754	0.0946773	0.126206	0.60374
i	0.000288978	3.26334e-05	0.000635554	0.000911384	0.00249786	0.00359894	0.013229	0.026711	0.0466382	0.053713	0.225628	0.161326	0.464789
k	0.00184343	0.000427416	0.00349615	0.00293626	0.00337434	0.00871867	0.0329666	0.0211472	0.0238267	0.0360599	0.141835	0.0743313	0.649037
á	0.00018558	0.000185853	0.000746933	0.00194898	0.000939046	0.0128838	0.0241312	0.0182177	0.00493392	0.0542988	0.0797902	0.408221	0.393517
t	0.000680932	0.000334446	0.00194951	0.000643798	0.00110163	0.00530447	0.00744167	0.00810798	0.00613443	0.140437	0.0552812	0.544305	0.228278
í	0.00189047	0.000151804	0.00109958	0.00112458	0.000659993	0.00792437	0.00912397	0.00780693	0.00869371	0.0426091	0.129899	0.189174	0.599843
</S>	0.000308417	1.52062e-05	0.000622538	0.00157453	0.00182909	0.0136859	0.0123408	0.00498698	0.00863107	0.0662634	0.106671	0.159345	0.623726
