 	si	tu	restes	trop	près	de	quelqu'	un	qui	souffre	de	la	rougeole	tu	en	seras	contaminé	</S>
d	0.0037148	0.0340429	0.67923	0.237462	0.0114818	0.0069456	0.00579981	0.0049912	0.00207277	0.00358795	0.00184077	0.00204279	0.000908971	0.000691195	0.00100844	0.00115666	0.00143199	0.00159052
z	0.00269567	0.0125968	0.899392	0.0437602	0.00124453	0.00451294	0.00224364	0.00934097	0.00426432	0.0038382	0.00273453	0.00250779	0.00163069	0.000348293	0.000864904	0.00029779	0.00186412	0.00586307
e	0.00310302	0.0132186	0.969789	0.00799773	0.000688991	0.000593467	0.000275369	0.00127439	0.000439795	0.00082799	0.000368971	0.000274364	0.000231891	6.91422e-05	0.000107918	3.59425e-05	5.40256e-05	0.000649422
e	0.00448416	0.0283163	0.510288	0.174292	0.0265524	0.0349974	0.0262547	0.0266551	0.0167192	0.0155579	0.0207405	0.0185178	0.0108069	0.00181174	0.0101111	0.0115133	0.0125443	0.0498367
m	0.00185512	0.055814	0.100521	0.255432	0.233311	0.129273	0.0721198	0.0289784	0.014921	0.031353	0.0162669	0.00823821	0.00615731	0.00243436	0.00517085	0.00394884	0.00097728	0.0332284
á	0.00352679	0.0197635	0.0303433	0.118601	0.177391	0.146499	0.103606	0.112274	0.0563946	0.084866	0.0513527	0.0299379	0.0288923	0.00407392	0.00575138	0.00261583	0.000373838	0.0237373
b	0.00828013	0.01921	0.0198053	0.110831	0.0684034	0.174245	0.143507	0.105896	0.0910731	0.0608146	0.04017	0.0399362	0.0332966	0.0233899	0.0181427	0.0192648	0.00492971	0.0188053
ε	0.0100522	0.00203531	0.00410361	0.0771898	0.488584	0.0450086	0.126981	0.0567316	0.0175893	0.0413781	0.0230789	0.0345852	0.0205864	0.00819788	0.00470552	0.0267736	0.00822166	0.00419708
έ	0.000248647	0.000924923	0.00150084	0.0588091	0.485179	0.0271773	0.0771796	0.0279523	0.0131344	0.0468843	0.0202465	0.0354948	0.0227449	0.012409	0.0125602	0.116776	0.00373319	0.037045
b	0.000536526	0.00387646	0.00288143	0.0347668	0.0951463	0.190683	0.205918	0.14576	0.070916	0.108853	0.0587853	0.0278785	0.0184511	0.00538547	0.0081001	0.0032528	0.00114792	0.0176607
ε	0.0065872	0.00269407	0.00165348	0.0467157	0.485605	0.0456692	0.0820436	0.06769	0.023759	0.0781049	0.0520575	0.0474108	0.0228512	0.011782	0.00666206	0.00842237	0.00163885	0.00865304
έ	0.000980249	0.00360816	0.00181489	0.0378251	0.106208	0.0529942	0.102785	0.0724343	0.0461106	0.107176	0.088467	0.0914218	0.0767651	0.0362588	0.0186473	0.0349315	0.00584258	0.11573
l	0.00310708	0.00761781	0.0137729	0.0152252	0.00723272	0.0726531	0.0970147	0.153368	0.131868	0.163912	0.125397	0.0797777	0.0558639	0.0182202	0.0201818	0.00434714	0.00300644	0.0274348
a	0.00490744	0.00535376	0.00879544	0.010028	0.0029153	0.0478573	0.0706509	0.116789	0.127243	0.165404	0.0869099	0.0828489	0.0622222	0.0392074	0.0247992	0.0121301	0.00320478	0.128733
m	0.000226585	0.00124765	0.00117227	0.00580602	0.00172206	0.0410275	0.0447589	0.120896	0.235456	0.141286	0.109156	0.130134	0.111846	0.0256054	0.0115988	0.005582	0.00176012	0.0107185
o	0.00049365	0.00160495	0.014079	0.0113698	0.00401724	0.0633318	0.0465962	0.156908	0.0893861	0.197768	0.111472	0.111754	0.149118	0.00646294	0.0151985	0.00438167	0.000843114	0.0152162
r	2.37785e-05	0.000306269	0.00158888	0.00528037	0.00243249	0.0431181	0.0591328	0.132483	0.187384	0.144173	0.145116	0.163929	0.0804338	0.00800738	0.0143232	0.00675484	0.00154314	0.00397029
o	0.00138333	0.0115275	0.0169643	0.00866659	0.000795548	0.0330056	0.0393601	0.124058	0.199421	0.113696	0.0925482	0.141134	0.106993	0.0346273	0.0182273	0.0121897	0.0036522	0.0417488
y	0.000643255	0.00328463	0.00145159	0.00346128	0.000250438	0.0305759	0.0250839	0.0627296	0.288696	0.0961239	0.141996	0.126632	0.115763	0.0639719	0.0235388	0.00301201	0.000281086	0.0125056
e	0.00254602	0.0098304	0.0176456	0.016134	0.000726956	0.042469	0.0201481	0.133525	0.151346	0.128032	0.0796763	0.0873346	0.229915	0.0210524	0.0160876	0.00164373	0.0056227	0.036265
é	0.000780408	0.00165221	0.00112666	0.00303153	0.000436936	0.0241294	0.0157663	0.0667161	0.132251	0.0704463	0.1362	0.166925	0.206319	0.100301	0.0457987	0.00672565	0.00403408	0.0173588
k	0.00260687	0.00923083	0.00890961	0.0120828	0.00525832	0.0282322	0.029372	0.0332459	0.0604754	0.0558269	0.108832	0.139816	0.0986511	0.154381	0.188497	0.0274644	0.00912344	0.0279932
ω	5.61439e-05	0.000399603	0.00122349	0.00934957	0.0127804	0.0116621	0.0465434	0.0454351	0.0185988	0.0508993	0.0886204	0.154874	0.0726167	0.0475984	0.134967	0.134209	0.089481	0.080686
n	0.000294717	0.000700737	0.00246003	0.0137612	0.0278183	0.0256653	0.0812114	0.0482448	0.0720574	0.132643	0.0735242	0.109386	0.0649411	0.0477703	0.0723836	0.123551	0.0245998	0.0789879
ώ	0.000377782	0.00173	0.00125454	0.0100284	0.0114745	0.0206659	0.0485308	0.0481846	0.0362776	0.0748784	0.0819629	0.106465	0.066549	0.116904	0.108392	0.0869122	0.0335048	0.145909
m	0.000294103	0.000783073	0.000213228	0.00425922	0.0047084	0.0178043	0.017881	0.0242543	0.0576782	0.0375996	0.0801678	0.103836	0.169863	0.234899	0.164621	0.0381119	0.0114498	0.0315762
b	0.000262061	0.000650571	0.00694133	0.00455565	0.0010859	0.0270953	0.0145608	0.0718013	0.0758516	0.0634921	0.0850567	0.12201	0.321801	0.0140964	0.0627078	0.0660953	0.00810975	0.0538261
e	0.000146868	0.000135741	0.00101253	0.000755784	0.000361998	0.00567863	0.011076	0.0237125	0.0162932	0.0158562	0.0439974	0.121841	0.432596	0.0226221	0.0656775	0.194486	0.0145872	0.0291632
m	6.88591e-05	0.000331261	0.000498236	0.00206558	0.00207417	0.011189	0.0193634	0.0217028	0.0174989	0.0243579	0.0643808	0.120679	0.236267	0.0238203	0.128737	0.298804	0.011733	0.0164282
b	0.000824191	0.000477905	0.00430919	0.00310371	0.00177901	0.0174664	0.0134461	0.0438408	0.0314081	0.0197077	0.0586503	0.100339	0.387381	0.0368686	0.0946633	0.106	0.0128496	0.0668853
e	0.00166471	0.000675238	0.0101861	0.00134408	0.000761595	0.00863949	0.018609	0.0490161	0.020426	0.0165724	0.059789	0.134421	0.323463	0.0214676	0.0501655	0.18213	0.046361	0.0543087
n	9.95562e-05	0.000187442	0.00113443	0.00221941	0.00161526	0.00552008	0.0112896	0.0355228	0.0215609	0.0573264	0.0834816	0.110879	0.143066	0.0293813	0.14433	0.1509	0.0493339	0.152152
ω	0.00169847	0.00862114	0.0205353	0.00826469	0.000712131	0.0133371	0.0174298	0.0475336	0.0474609	0.0438592	0.0815235	0.123951	0.128159	0.0778501	0.120358	0.0853051	0.0386072	0.134794
l	0.000580468	0.000479463	0.000428341	0.00180708	0.000356344	0.00566508	0.00794325	0.0165293	0.0523589	0.0403365	0.0495132	0.064875	0.0626718	0.197102	0.12669	0.062291	0.0114037	0.298969
ó	0.00147886	0.00211906	0.00097274	0.00529268	0.00417813	0.0127967	0.0145638	0.0155998	0.027051	0.0248574	0.0436139	0.0556543	0.0325526	0.134778	0.144032	0.126116	0.0641337	0.290209
o	0.000168203	0.000591103	0.000425628	0.00152175	0.0006666	0.00914933	0.00633625	0.0144217	0.035337	0.0146447	0.0311159	0.0439828	0.0465162	0.0941661	0.145887	0.109389	0.0625544	0.383127
k	0.000169083	0.00232761	0.0162394	0.0131856	0.00332759	0.014533	0.0230233	0.0174146	0.0219382	0.0168786	0.033856	0.0372523	0.0101296	0.0290959	0.226448	0.219168	0.195628	0.119386
u	1.05539e-05	5.90297e-05	0.00143074	0.00359902	0.00332319	0.00168924	0.00901589	0.00960034	0.00633799	0.0196753	0.0326486	0.0497184	0.00974534	0.0120186	0.106615	0.312475	0.317157	0.104881
l	0.000182802	0.000120642	0.0018434	0.000610885	0.000258054	0.00243378	0.00457757	0.0145977	0.0112202	0.013162	0.0169152	0.0217405	0.0066687	0.0021898	0.0208678	0.0763561	0.718861	0.0873935
á	0.000551693	0.000225724	0.00045397	0.00128637	0.000732866	0.0090722	0.0133819	0.0355388	0.0317176	0.010769	0.0463711	0.0629482	0.0342283	0.0194045	0.0760589	0.101587	0.456296	0.0993764
w	0.0004608	0.00104964	0.00123823	0.00466521	0.00486573	0.00990936	0.0074269	0.0109218	0.0167883	0.00931184	0.0278666	0.0378498	0.051883	0.119979	0.126646	0.152275	0.169244	0.247619
a	0.002071	0.000329378	0.000293275	0.00489323	0.00989436	0.011421	0.0138464	0.0127846	0.0106752	0.0084427	0.0361845	0.0674477	0.0884098	0.194335	0.183798	0.245098	0.0657802	0.0442946
</S>	0.000113244	0.000106705	0.000104407	0.000868106	0.00150141	0.00217286	0.00211682	0.00321913	0.00558301	0.00451483	0.00991539	0.0217226	0.0258166	0.0577785	0.0669058	0.194949	0.1386	0.464011
