 	mon	épouse	a	défait	le	noeud	qu'	elle	avait	fait	à	son	pagne	</S>
í	0.00373549	8.2335e-05	0.00734463	0.011784	0.0872209	0.0464198	0.176258	0.241443	0.221677	0.0845561	0.0474732	0.0318047	0.00436755	0.0358335
k	0.000702485	0.000925824	0.0314882	0.0403632	0.0483186	0.0178936	0.0104459	0.0462555	0.198991	0.351716	0.170753	0.0450234	0.00586221	0.0312609
a	2.06121e-05	9.2521e-05	0.0108195	0.065007	0.0263586	0.0368456	0.00187395	0.0120316	0.0594702	0.518194	0.198156	0.0201858	0.0197164	0.0312281
n	0.000121475	8.86432e-05	0.0039337	0.0654083	0.0225933	0.0683642	0.00434195	0.0175915	0.058562	0.396946	0.148057	0.0205389	0.0437232	0.14973
g	0.000201153	3.10391e-05	0.00898912	0.0432547	0.0684124	0.0736011	0.0367597	0.057857	0.104798	0.257633	0.12428	0.0392633	0.00943275	0.175487
í	0.000550638	6.93235e-05	0.00555401	0.0445227	0.107917	0.446338	0.153406	0.0611853	0.0357203	0.0266321	0.0175913	0.00787926	0.00174921	0.0908837
w	0.000963762	6.98604e-05	0.00303633	0.00326678	0.0249621	0.00691561	0.108258	0.0730189	0.132265	0.132406	0.201271	0.154539	0.0354151	0.123612
a	0.00269491	5.63932e-05	0.00465176	0.00592775	0.0332081	0.0466234	0.0777118	0.13176	0.177489	0.159166	0.0840834	0.10396	0.0609333	0.111733
m	0.000931764	0.000100726	0.000684977	0.00163618	0.00845197	0.00887804	0.0790959	0.0890742	0.111185	0.084505	0.146062	0.16282	0.0917562	0.214817
ó	0.000653458	0.0058753	0.0114732	0.004053	0.116742	0.00801134	0.141291	0.0545288	0.0348452	0.050717	0.162236	0.305711	0.010927	0.0929363
k	0.000373641	0.000150395	0.00457766	0.00507789	0.0414108	0.012048	0.0196066	0.0168939	0.050417	0.0773171	0.217347	0.299359	0.127839	0.127582
á	3.73566e-05	4.0419e-05	0.00453582	0.0140945	0.0235037	0.022476	0.000908914	0.00282742	0.0203988	0.129604	0.212951	0.0531162	0.43132	0.0841861
n	0.000186357	7.75988e-05	0.0020336	0.00282065	0.00448975	0.00381547	0.00170621	0.0151169	0.0549677	0.079635	0.082768	0.087426	0.530507	0.13445
d	0.000127891	2.03647e-05	0.000874722	0.00999488	0.00749832	0.0102985	0.0100209	0.013453	0.0684902	0.115141	0.230286	0.194449	0.0211701	0.318176
á	0.00146216	0.00031728	0.00256124	0.0170714	0.0181237	0.0467738	0.0287346	0.0153615	0.0609529	0.0648263	0.0782603	0.106603	0.0481571	0.510795
</S>	0.00304238	8.2549e-05	0.00163245	0.0017913	0.00960179	0.00370836	0.0259604	0.00816286	0.0260118	0.0340469	0.0939822	0.224886	0.116472	0.450619
