 	les	chefs	traditionnels	de	boundji	sont	en	train	de	chanter	l'	hymne	à	la	sagesse	traditionnnelle	</S>
s	0.00224048	0.00240754	0.00388911	0.00253932	0.00215223	0.00237288	0.000955144	0.00101947	0.00204625	0.00393363	0.0100206	0.262735	0.323008	0.266498	0.0966077	0.00556763	0.0120068
é	0.000794623	0.000454655	0.00414553	0.00170983	0.00258484	0.000544643	0.000386158	0.00053693	0.000406238	0.00146335	0.000536767	0.0271863	0.116744	0.668807	0.113893	0.0410319	0.0187745
á	0.000289553	0.000161597	0.00126381	0.00198551	0.00198368	0.000592164	0.000449183	4.38814e-05	0.000271292	0.000246427	0.000676218	0.0285135	0.143736	0.470792	0.296188	0.0263877	0.0264199
i	0.00140266	0.000777895	0.000866657	0.00679065	0.00373534	0.00542576	0.00411477	0.000205877	0.0038723	0.00192481	0.00553276	0.00511709	0.180087	0.232635	0.207627	0.178121	0.161763
k	0.00201524	0.00100068	0.00314387	0.00151427	0.00216706	0.000523129	0.000429494	0.000171258	0.000427562	0.00161765	0.000407085	0.000636777	0.00909593	0.0498978	0.0635023	0.810101	0.0533491
a	0.000330374	0.000341119	0.000976305	0.00107942	0.00168682	0.000445146	0.000570937	0.000807567	0.00071669	0.00298675	0.000656122	0.00206883	0.0161796	0.0687676	0.183083	0.680053	0.0392506
n	0.000600891	0.000549939	0.00240428	0.001503	0.0045548	0.0022337	0.00401404	0.00271428	0.00298973	0.00745995	0.00168764	0.00113287	0.0162261	0.0375059	0.0841265	0.7471	0.0831968
g	0.000325927	0.00104209	0.00522143	0.000964697	0.00182832	0.000673211	0.00087072	0.000168254	0.000609613	0.0010464	0.000392879	0.000278612	0.0130346	0.112783	0.276862	0.382216	0.201682
o	0.00703888	0.00819253	0.0101568	0.00493805	0.0173085	0.00598043	0.0190317	0.00513326	0.00810996	0.00907178	0.0008577	6.49088e-05	0.00561847	0.0414933	0.0523535	0.563749	0.240901
</S>	0.00267096	0.00187888	0.00130195	0.0060665	0.00272884	0.0018184	0.00222117	6.42096e-05	0.00241882	0.000386224	0.00110196	0.000260827	0.015805	0.0744036	0.112175	0.0568653	0.717832
