 	les	médicaments	que	j'	ai	pris	ont	diminué	mes	maux	de	tête	</S>
á	0.00579489	0.00255605	0.00794997	0.00638143	0.00888249	0.0205063	0.0201188	0.482576	0.252026	0.0320293	0.0360534	0.0127934	0.112332
n	0.011478	0.00300579	0.0429209	0.0824719	0.0211127	0.0215887	0.024718	0.266706	0.393095	0.0237458	0.0300919	0.0518481	0.0272167
g	0.00124197	0.000423433	0.000876689	0.010239	0.00217607	0.00259789	0.00293008	0.046723	0.899147	0.00989974	0.0065389	0.00351051	0.0136959
á	0.000516257	0.000545678	0.00103464	0.081329	0.00325594	0.00208539	0.00448572	0.0195086	0.86222	0.00841963	0.00808248	0.00365156	0.00486483
i	0.000325235	9.29695e-05	0.00154524	0.000120914	0.000731231	0.00149877	0.00382994	0.0606283	0.674598	0.0840129	0.106427	0.0109995	0.0551897
b	0.000346459	0.000103955	0.00231036	8.70053e-05	0.000815091	0.00181037	0.00322229	0.0264321	0.138651	0.306228	0.238386	0.119266	0.162341
o	0.00073227	0.000387146	0.00674104	0.000553683	0.00550389	0.0054895	0.00581899	0.0276246	0.00937867	0.321016	0.0424493	0.542279	0.0320268
ó	0.000361047	0.00048275	0.00127698	0.000177567	0.000895163	0.00391107	0.00129919	0.051683	0.00715725	0.0827462	0.0349939	0.742054	0.072962
b	0.00104283	6.56182e-05	0.00360574	0.000217602	0.00139551	0.00162299	0.00357071	0.009826	0.131146	0.227236	0.325678	0.0806803	0.213912
v	0.00048253	0.000719715	0.0103425	0.00189438	0.00860872	0.00969731	0.00544284	0.00950973	0.0185322	0.593442	0.106971	0.195708	0.0386489
ú	0.00403638	0.000368607	0.0014679	0.000894645	0.000705806	0.0036287	0.000596622	0.0271623	0.0843877	0.280117	0.157291	0.258683	0.18066
a	0.00041854	6.09869e-05	0.000406574	0.000183576	0.000336771	0.00272566	0.000534566	0.0736628	0.0557967	0.205898	0.175483	0.220897	0.263595
</S>	0.000423355	2.65009e-05	0.0022549	0.000153746	0.000686548	0.00137304	0.00209918	0.00869883	0.130003	0.226704	0.372629	0.0661809	0.188766
