 	elle	est	tolérante	du	fait	qu'	elle	soigne	sa	rivale	qui	est	malade	</S>
á	0.000232583	0.000333431	8.01343e-05	0.000789861	0.00212679	0.00998276	0.0164325	0.0236984	0.0866859	0.671069	0.0653961	0.0264392	0.0191408	0.077593
y	0.000310106	0.00129345	0.00222006	0.00550962	0.00594377	0.0134223	0.0224896	0.026673	0.197587	0.123166	0.260774	0.211146	0.0657171	0.0637486
é	0.000118592	0.00218875	0.00871259	0.0368607	0.0140235	0.0308283	0.039135	0.0407587	0.234997	0.0993043	0.179961	0.0838415	0.059104	0.170166
l	0.000114362	0.000292522	0.00167687	0.0125895	0.0082986	0.0258849	0.0185919	0.0208478	0.228369	0.120485	0.224973	0.105453	0.146035	0.0863881
i	0.000395474	0.00228168	0.00306436	0.0112631	0.00690983	0.0108037	0.0154324	0.0562752	0.113372	0.0316812	0.140432	0.137248	0.133208	0.337633
k	1.28728e-05	0.000143528	0.000395076	0.00386443	0.00288152	0.00573223	0.00593184	0.00991566	0.133817	0.0390084	0.133882	0.160797	0.277539	0.226081
ω	2.60568e-05	0.00017206	0.0002204	0.000811587	0.00168997	0.000703262	0.00352508	0.025677	0.0256238	0.00283572	0.0359155	0.0980409	0.737254	0.0675044
n	8.06968e-06	2.32694e-05	0.000393718	0.000351609	0.000629631	0.00088351	0.00258447	0.00854298	0.00843135	0.00319995	0.00996358	0.0169164	0.921567	0.0265043
í	0.000246095	0.00062218	0.00195006	0.00128671	0.00169124	0.00170923	0.00408396	0.0115801	0.0280599	0.0184937	0.0397766	0.0353291	0.750529	0.104642
</S>	6.28466e-05	0.000183406	0.000435132	0.00192157	0.0022102	0.00617974	0.00463781	0.00275468	0.0614971	0.0415289	0.114704	0.110817	0.114082	0.538986
