 	la	nuit	quand	le	village	est	obscur	les	gens	ont	peur	de	se	promener	</S>
b	0.0161205	0.000750517	0.00156101	0.002416	0.00143529	0.0796298	0.0164059	0.13992	0.0519879	0.094363	0.0963889	0.139796	0.0434447	0.0286374	0.287143
a	0.0218346	0.00113107	0.00205069	0.00262772	0.00438164	0.0778809	0.111239	0.129133	0.113996	0.0465279	0.102096	0.188756	0.0238337	0.0721817	0.10233
l	0.00735801	0.00130908	0.00446915	0.0053452	0.00299421	0.02539	0.00575609	0.0537203	0.0460456	0.1228	0.110245	0.269005	0.10205	0.106217	0.137295
a	0.0170647	0.00387707	0.0271026	0.0196103	0.00073924	0.0257015	0.00757837	0.0309762	0.0125811	0.0837187	0.17228	0.32872	0.144461	0.035332	0.0902573
k	0.00255004	0.000398252	0.00271825	0.0042591	0.000281385	0.00933752	0.00169041	0.0220657	0.0118119	0.0805481	0.232851	0.263603	0.221592	0.0516794	0.0946135
ó	0.000633479	0.0123969	0.00206114	0.00157572	0.00196131	0.0119484	0.017401	0.0280596	0.010463	0.0312544	0.0435868	0.266509	0.188161	0.309264	0.0747242
l	0.00013728	0.00044031	0.000456535	0.00138616	0.00294435	0.00125442	0.00428699	0.00467665	0.00480646	0.007849	0.0318726	0.056985	0.0567427	0.7122	0.113962
i	0.000919233	0.00291739	0.00238074	0.00528969	0.0190367	0.0126576	0.0125732	0.0136061	0.0323656	0.0220176	0.0595915	0.23681	0.123758	0.359941	0.0961354
á	0.00341998	0.000877611	0.00540298	0.00553149	0.000295337	0.0113366	0.00104293	0.0101512	0.00638841	0.0470697	0.0579301	0.165442	0.308875	0.10229	0.273946
d	0.0130363	0.00284559	0.0277076	0.0314063	0.000357228	0.0184304	0.00190008	0.0105055	0.00237671	0.0264841	0.0251674	0.115337	0.431185	0.167753	0.125507
í	0.00101783	0.000118785	0.00484684	0.00395247	2.7742e-05	0.00496318	0.000623387	0.00239463	0.000138768	0.00420186	0.00784589	0.0526179	0.138277	0.142701	0.636273
l	0.00102005	4.94701e-05	0.00167554	0.00390655	0.000123024	0.0100405	0.0031271	0.00730666	0.00290185	0.0205198	0.0400361	0.125385	0.208438	0.195477	0.379993
a	0.00102225	0.000296619	0.00507081	0.00854856	0.000800502	0.0128713	0.00837107	0.0144373	0.00494626	0.0190148	0.0310116	0.0419189	0.0949948	0.208928	0.547767
b	0.0025235	0.000702088	0.00350576	0.0117244	0.000411824	0.0222504	0.00395339	0.0118499	0.00523431	0.0170865	0.0741315	0.0788106	0.0847182	0.46057	0.222528
ώ	0.00130946	0.00167036	0.00614598	0.0112372	0.000156042	0.0147656	0.008589	0.0244154	0.00602307	0.0179516	0.07312	0.105581	0.216083	0.480465	0.0324875
m	0.00026946	0.000109192	0.000122274	0.000492331	0.00011527	0.00244223	0.00208815	0.00309449	0.00850715	0.00651493	0.0252414	0.0282213	0.0299198	0.79943	0.0934321
ώ	0.00144148	6.31359e-05	0.000144149	0.00067654	0.000143188	0.0190511	0.00471132	0.0438439	0.0313258	0.0351809	0.141154	0.0427823	0.0704123	0.410664	0.198405
</S>	0.00199128	0.000103332	0.0016333	0.00521735	0.000837229	0.00927014	0.00346738	0.0114988	0.0112491	0.0119261	0.0322736	0.066329	0.116308	0.170024	0.557872
