 	dans	notre	village	les	feuilles	de	l'	arbuste	esyese	sont	utilisées	pour	guérir	les	brûlures	</S>
s	0.001046	0.000702476	0.000422114	0.0189962	0.0411285	0.0714967	0.0879148	0.0378813	0.332585	0.0677955	0.253288	0.0569024	0.0137538	0.00293183	0.0015524	0.0116036
ε	0.00113586	0.000494653	0.00241529	0.0253325	0.0546164	0.0779654	0.0516388	0.0269975	0.046842	0.0417508	0.58337	0.0477828	0.0160278	0.0104708	0.000660103	0.0124991
é	0.00179566	0.000544479	7.53799e-05	0.0170314	0.00980636	0.0645818	0.112914	0.168416	0.105799	0.29234	0.0319576	0.128108	0.0327217	0.0306939	0.0013496	0.00186562
d	0.00154322	0.000573006	0.000510357	0.0109488	0.0092392	0.00925807	0.00992561	0.0115451	0.00659413	0.250029	0.0531475	0.360182	0.248677	0.0204467	0.00440224	0.00297835
í	0.00264247	0.000250826	0.000127365	0.0124564	0.0052584	0.00817001	0.0249212	0.0240049	0.0261494	0.271956	0.0834272	0.398566	0.104175	0.0100769	0.00960874	0.0182089
b	0.0012972	0.000464816	7.27923e-05	0.00577785	0.00374878	0.0043112	0.00521851	0.00999039	0.00718802	0.0681138	0.0438603	0.297173	0.482167	0.0561209	0.00592964	0.00856593
v	0.000717017	0.00450558	7.97544e-05	0.00333717	0.00167389	0.000930217	0.00077891	0.00184905	0.000111704	0.0039247	0.0186394	0.0968051	0.83359	0.023893	0.00779075	0.00137364
e	0.000596467	0.0015138	1.48786e-05	0.00138984	0.00156838	0.00169606	0.00151638	0.00320734	0.000358199	0.00302686	0.0151131	0.110792	0.788543	0.0475917	0.00966547	0.0134063
r	0.000228262	0.000123377	1.12929e-05	0.000872471	0.000657356	0.000800614	0.000723879	0.000784227	0.000949164	0.00270673	0.03982	0.0917881	0.818464	0.0290981	0.00532327	0.00764975
é	0.00125556	0.00020322	0.00019478	0.00367419	0.00204604	0.00710995	0.00912531	0.00622172	0.00150164	0.0172687	0.164731	0.264587	0.323477	0.0999838	0.0229515	0.0756685
b	0.00229345	0.000274912	0.000217988	0.0022236	0.00213377	0.00329575	0.00351898	0.00628254	0.00398135	0.0806487	0.032129	0.167519	0.187383	0.341458	0.0574923	0.109148
á	0.00380806	0.00393811	0.000852218	0.0071285	0.00745486	0.00269731	0.00108312	0.00219177	0.000271094	0.00691427	0.0168062	0.0853849	0.66919	0.123546	0.0266474	0.0420862
m	0.0098614	0.0331856	0.00103378	0.0098383	0.00273047	0.00236818	0.00240553	0.0059945	0.00220932	0.00987223	0.00266783	0.0214854	0.0456971	0.53975	0.223614	0.0872861
í	0.000319056	0.000770837	1.92409e-05	0.000648237	0.000126942	0.000668513	0.001258	0.00118352	3.20942e-05	0.000501642	0.000342398	0.00289235	0.00230383	0.06865	0.829168	0.0911154
á	0.00117674	0.00135726	5.16221e-05	0.00372315	0.000998209	0.00216893	0.00224564	0.00363007	0.000155382	0.00443945	0.000164012	0.0108342	0.00923177	0.247117	0.679904	0.0328021
</S>	0.000446012	0.000128715	9.47914e-05	0.00104176	0.000608352	0.000592134	0.000831621	0.00133306	0.000444734	0.00602718	0.0004646	0.00931964	0.0120921	0.129601	0.326546	0.510429
