 	après	la	pluie	le	chemin	n'	était	qu'	une	mare	de	boue	</S>
a	0.00130511	0.00313767	0.00869697	0.0255722	0.031122	0.0116178	0.00322066	0.0454232	0.184974	0.0302379	0.015778	0.539311	0.0996039
l	0.000117246	0.00115012	0.000854748	0.00650762	0.00303572	0.0181864	0.00853419	0.125507	0.141538	0.146248	0.308653	0.0319518	0.207716
o	0.000266026	0.00162888	0.000988555	0.0165516	0.00470349	0.00608748	0.0218921	0.0752577	0.151104	0.150263	0.138581	0.0773409	0.355336
m	0.000254156	0.000729565	0.000457002	0.00354354	0.00531401	0.00777505	0.00534307	0.0174928	0.0798494	0.0746189	0.222543	0.35901	0.22307
b	2.12519e-05	0.00392602	0.00399595	0.0030579	0.000385326	0.0117982	0.0109787	0.0285798	0.0438401	0.0709243	0.144325	0.578435	0.0997327
i	1.52025e-05	0.000670482	0.00970319	0.000795644	0.000333412	0.00045113	0.00307645	0.0080691	0.0283473	0.0547971	0.010542	0.832202	0.0509968
n	5.76492e-07	0.000109379	0.00122254	0.000888115	0.000189574	0.0011599	0.00721305	0.0386914	0.108085	0.363267	0.0315737	0.114983	0.332617
g	0.000101458	0.00164999	0.00245472	0.00240145	0.000889055	0.00424299	0.00293296	0.0337412	0.132201	0.100517	0.0959559	0.51811	0.104804
a	0.000169427	0.000277959	0.000696495	0.00441595	0.00531745	0.00283643	0.000935652	0.0241699	0.0848078	0.0608198	0.0264857	0.582796	0.206271
</S>	0.000157303	0.000938707	0.000705546	0.00486106	0.00181666	0.0057936	0.00175899	0.0413989	0.0502331	0.0779158	0.221989	0.0335139	0.558918
