 	la	manière	dont	mon	mari	a	refuse	de	manger	de	ma	cuisine	prouve	qu'	il	a	trouvé	une	autre	femme	dans	le	village	</S>
l	0.00144636	0.00371317	0.025554	0.0658229	0.308343	0.119508	0.194782	0.0976212	0.0860758	0.0245311	0.0144255	0.00590192	0.0259931	0.00194015	0.00174862	0.00185758	0.00236087	0.00320026	0.000858031	0.00559376	0.00340303	0.000483136	0.000830905	0.00400476
ó	0.00123802	0.00470448	0.0439444	0.0435015	0.551343	0.052464	0.0466674	0.055356	0.0516915	0.0228693	0.0189277	0.00321556	0.0544994	0.00179746	0.00114216	0.00273097	0.00352411	0.0077458	0.0029188	0.0136368	0.00616039	0.000352334	0.000138178	0.00943063
m	0.000549788	0.00151512	0.049106	0.0228622	0.464732	0.0768668	0.0471674	0.0748568	0.0599244	0.022666	0.0117301	0.00581175	0.101703	0.00411336	0.0023887	0.00314172	0.00349676	0.00666625	0.00231084	0.0224394	0.0050683	0.000280926	0.000251447	0.0103512
i	0.0119931	0.00904237	0.0820645	0.0437909	0.204622	0.11482	0.0705909	0.154877	0.159951	0.0390752	0.0209879	0.0149749	0.0222875	0.00656114	0.00529353	0.00501232	0.00415703	0.00455522	0.00291398	0.00853008	0.00175121	0.000434791	0.000185226	0.0115288
b	0.00269641	0.00591121	0.0270999	0.122968	0.0246923	0.198122	0.119501	0.199962	0.106857	0.0662048	0.0345164	0.0248288	0.0089428	0.0099302	0.0101501	0.0078276	0.00375552	0.00304584	0.00272198	0.00405911	0.00354713	0.00355373	0.000582584	0.00852351
e	0.00458138	0.00335163	0.0152643	0.174018	0.012722	0.0420749	0.398694	0.119208	0.0590967	0.0586478	0.0191807	0.0587853	0.00439493	0.00756003	0.00622897	0.00313191	0.00183573	0.00229292	0.000382606	0.00272236	0.00120303	0.000766544	0.000179992	0.00367688
a	0.00142291	0.00168093	0.00714096	0.147594	0.00613104	0.115046	0.206105	0.150958	0.0878238	0.0932892	0.0378301	0.064091	0.00548849	0.0107781	0.0113904	0.00527216	0.00228753	0.00334661	0.00117059	0.00636871	0.00622739	0.00474452	0.000555831	0.0232567
b	0.00150933	0.00455924	0.00993988	0.116931	0.0067931	0.147213	0.107691	0.218825	0.118884	0.11023	0.0598105	0.0384165	0.0118766	0.0123531	0.00871829	0.00737454	0.00311834	0.00201085	0.00262059	0.00204805	0.00223873	0.00238921	0.000272721	0.00417587
á	0.00813633	0.00580542	0.0185707	0.124116	0.00437541	0.0422705	0.224464	0.0944064	0.0767957	0.114511	0.0386958	0.158716	0.0117222	0.027469	0.0167414	0.00798718	0.00403048	0.00417272	0.000798738	0.00374535	0.00221409	0.00156449	0.000398218	0.00829363
n	0.00696431	0.0112756	0.00892455	0.357186	0.00215264	0.0624041	0.051598	0.0782548	0.0404978	0.0842764	0.0556908	0.127787	0.0111127	0.0164035	0.0199318	0.00822011	0.00388995	0.00414815	0.00176856	0.00377703	0.00552797	0.00948187	0.00169503	0.0270309
g	0.00153443	0.00820768	0.00532104	0.154467	0.00695507	0.0815003	0.0142056	0.105153	0.0429667	0.104293	0.359676	0.0293941	0.00974645	0.0190267	0.0148104	0.0077584	0.00140693	0.00250806	0.00803344	0.00409885	0.00233088	0.00164636	2.9812e-05	0.0149298
á	0.000132188	0.00651614	0.00637156	0.0576656	0.0166547	0.0718558	0.00877851	0.113415	0.0463845	0.116159	0.270164	0.0110545	0.20651	0.0176053	0.00749491	0.00618116	0.00222852	0.00409804	0.00764113	0.00918817	0.00377477	0.00131824	5.49028e-05	0.00875388
y	0.000364877	0.000557808	0.000987917	0.0199299	0.000860459	0.0603696	0.0362889	0.140399	0.0769552	0.200807	0.146524	0.188616	0.0207185	0.0444904	0.0247497	0.0147484	0.00467931	0.00262591	0.00372655	0.00256018	0.00187331	0.00402824	0.000388282	0.00275024
é	0.00765935	0.0272311	0.0152669	0.113015	0.00264245	0.044489	0.00882549	0.0777454	0.0724212	0.157357	0.1821	0.058736	0.16184	0.0340332	0.00906385	0.00873444	0.00395256	0.00249138	0.00526799	0.00303423	0.00110141	0.000385049	7.4381e-05	0.00253273
e	0.00285981	0.00442312	0.00384335	0.0678215	0.0010097	0.0363945	0.00894877	0.0345779	0.034852	0.110492	0.139739	0.227027	0.0761783	0.114933	0.0581575	0.0386974	0.0138284	0.00614724	0.00720696	0.00417501	0.00205432	0.00168007	0.000559263	0.00439486
s	0.000149864	0.000514763	0.00136634	0.00230218	0.00308383	0.0282052	0.03515	0.0237157	0.086965	0.114244	0.0964822	0.0537977	0.441864	0.0143601	0.0103023	0.0136006	0.0199472	0.0111317	0.00104631	0.0237424	0.007207	0.000814311	0.00245693	0.00755064
ε	3.09605e-05	0.000192205	0.00133635	0.00154031	0.00309646	0.0163019	0.00657489	0.0144615	0.0318628	0.0712157	0.0732715	0.0613101	0.684922	0.00393769	0.00138536	0.00329828	0.00386608	0.00437191	0.00306318	0.00734035	0.00440706	0.000214078	9.84762e-05	0.00190046
r	0.00011953	0.000105641	0.000796981	0.00230677	0.00178803	0.0184435	0.00583776	0.0234475	0.0283198	0.0863397	0.0966352	0.0188699	0.634741	0.00762572	0.00216329	0.00494946	0.00702201	0.0139689	0.0112909	0.0057723	0.0111642	0.00128633	4.19486e-05	0.0169635
έ	0.000201612	8.48581e-05	0.000458358	0.00153769	0.00191852	0.0259514	0.0263557	0.0250212	0.0651376	0.122863	0.0655296	0.293774	0.165546	0.0237742	0.0247048	0.0204864	0.0207388	0.0238321	0.0058045	0.0125601	0.0147474	0.0133141	0.00134061	0.0443177
w	0.000231242	0.000546697	0.00114122	0.0149018	0.000280343	0.0160907	0.00852173	0.0254222	0.0114508	0.0744923	0.184628	0.118788	0.0134776	0.208552	0.191059	0.0666415	0.0153153	0.00626831	0.0105641	0.00503478	0.00457377	0.011444	0.00121763	0.00935746
á	0.000494266	0.000581821	0.00196494	0.0120181	0.000175872	0.00737178	0.0129093	0.0166195	0.0073148	0.0653802	0.0615749	0.335799	0.014998	0.127907	0.185164	0.0316777	0.00842301	0.0118413	0.00915681	0.00545087	0.0108091	0.0313832	0.00995916	0.0310249
r	0.000639775	0.00100696	0.00180834	0.0246077	0.000211838	0.00528856	0.00338605	0.013637	0.00334925	0.0281588	0.0707251	0.0702036	0.0135431	0.290204	0.302158	0.0625842	0.0157021	0.0109957	0.00576071	0.0193114	0.00552205	0.0101264	0.0152038	0.0258657
a	0.000317127	0.00157375	0.00138112	0.0082241	0.000485944	0.0024759	0.000622122	0.00671483	0.00250359	0.0300474	0.676573	0.0329041	0.0144749	0.0814877	0.0668855	0.0204117	0.0035746	0.00503765	0.00978785	0.007358	0.00320779	0.0030041	0.000173026	0.0207743
w	0.000134595	0.000253265	0.000634567	0.00693721	0.000273441	0.0110598	0.00108691	0.0133395	0.00738203	0.0480338	0.151759	0.0313709	0.017688	0.294123	0.147715	0.117511	0.0335285	0.0152294	0.0381024	0.0262089	0.0109165	0.00760924	0.000136114	0.0189664
a	0.000919037	0.00111928	0.00142239	0.00818137	0.000498197	0.0103633	0.00852523	0.0148543	0.00644357	0.0551648	0.0577293	0.0571263	0.0144235	0.235826	0.241622	0.104618	0.0243391	0.0197443	0.0273136	0.0147669	0.0159196	0.030952	0.0045712	0.0435565
a	0.000153455	0.000202854	0.000334162	0.00283496	8.12658e-05	0.00268033	0.000879366	0.00321736	0.00157047	0.01337	0.0177859	0.0229619	0.0102236	0.225444	0.239228	0.176089	0.0646953	0.033477	0.0697742	0.0282595	0.017914	0.0401525	0.00335441	0.0253164
m	0.000275081	0.000896182	0.00169215	0.00249845	0.000946203	0.0134008	0.00762904	0.00551092	0.00550936	0.014358	0.0165803	0.00407415	0.0114514	0.0205024	0.0427411	0.173288	0.223423	0.0850282	0.0301133	0.108645	0.102516	0.0428485	0.00390292	0.0821696
i	0.000556731	0.000895506	0.00122715	0.00130842	0.000399529	0.0103252	0.00318945	0.00982696	0.0079525	0.0242564	0.0387949	0.00947672	0.00985346	0.0197722	0.0380047	0.14697	0.199497	0.10785	0.0564746	0.17975	0.0549846	0.0190264	0.00124022	0.0583678
d	0.000136168	0.000244933	0.001144	0.000384908	0.00169856	0.0119113	0.0148664	0.0156237	0.014591	0.0246226	0.0261695	0.00661225	0.0461203	0.0155026	0.027333	0.0824744	0.161191	0.130737	0.0272975	0.192834	0.0819728	0.0118475	0.00251393	0.102171
i	1.66924e-05	7.02184e-05	0.000477796	0.000142897	0.000797276	0.00277052	0.00141234	0.00465004	0.00581185	0.0168703	0.0421112	0.00607796	0.138298	0.00482243	0.00498548	0.0347415	0.118411	0.19626	0.0520063	0.164029	0.121056	0.00287743	0.00163441	0.0796699
á	3.03131e-05	6.63805e-05	0.000453071	0.000293018	0.000157955	0.00241557	0.000646367	0.00367363	0.00518009	0.0128997	0.0212766	0.0098395	0.036519	0.00938395	0.0150447	0.0503555	0.142858	0.235244	0.110002	0.102615	0.157454	0.0103471	0.00185591	0.0713889
m	9.46152e-05	0.000126139	0.000428126	0.00152622	8.22451e-05	0.00196921	0.00058717	0.00235293	0.00164984	0.00759002	0.0207587	0.00803221	0.00103465	0.0593909	0.110803	0.118182	0.105008	0.0945762	0.134516	0.0754888	0.0653923	0.108452	0.0459252	0.0360336
w	0.000902355	0.000247795	0.000841974	0.00175705	0.000416884	0.00732535	0.00238743	0.00935126	0.00744021	0.0127929	0.02386	0.00365067	0.00835215	0.0812938	0.0994384	0.122022	0.0898295	0.0822753	0.0384847	0.240796	0.0310347	0.0165049	0.00303109	0.115964
á	0.000460054	0.000295026	0.00041138	0.00288827	0.000432062	0.00254323	0.00252437	0.00716358	0.00401192	0.0180172	0.0403167	0.01519	0.0360585	0.0673736	0.12481	0.0468887	0.0311507	0.125651	0.020805	0.264979	0.0676783	0.0066167	0.0208634	0.0928711
s	0.00243783	0.000625937	0.00247316	0.01614	0.00110794	0.0118124	0.0216657	0.0821531	0.00690343	0.0393659	0.0929354	0.0529815	0.00412437	0.059825	0.109369	0.0382712	0.0200541	0.0475807	0.0553515	0.0625187	0.0306045	0.0385364	0.0104789	0.192683
í	0.00271489	0.00209905	0.00147769	0.00149498	0.00073972	0.00249607	0.00161974	0.0061238	0.00465865	0.0224015	0.0822212	0.0147698	0.00912716	0.0440342	0.130242	0.070914	0.0643461	0.0890487	0.0324806	0.165069	0.0244308	0.0220261	0.00306829	0.202396
o	0.000356366	0.000458894	0.000694033	0.00146352	0.000213172	0.00177613	0.000668024	0.00179649	0.00123309	0.00458462	0.0100583	0.00373202	0.00103262	0.0285219	0.0590935	0.0834592	0.092751	0.105342	0.115879	0.0716903	0.102909	0.160974	0.0206815	0.130632
s	4.32453e-05	0.000124328	0.000788795	0.00018801	0.00045669	0.00480307	0.00116011	0.00221345	0.0025742	0.00318451	0.00413511	0.00127696	0.00614733	0.00211558	0.00292321	0.0233167	0.106024	0.15422	0.0372331	0.174059	0.256166	0.0319451	0.0978784	0.0870224
ú	2.74168e-05	5.5361e-05	0.000471414	0.000102095	0.00356481	0.00443786	0.00051426	0.00315388	0.00497932	0.0051785	0.012442	0.00272008	0.0366542	0.00176957	0.00132367	0.0152791	0.0502233	0.164174	0.212727	0.185898	0.25029	0.00472482	0.00459224	0.0346978
s	0.000153979	0.000291725	0.00114371	0.0010035	0.00074939	0.0046331	0.000633498	0.00727134	0.00537895	0.0220233	0.0353426	0.0113449	0.0169101	0.00673934	0.00800894	0.0323801	0.0636892	0.197787	0.300738	0.0652411	0.117208	0.0159414	0.00189746	0.0834893
u	0.000436242	0.000144074	0.000116148	0.000442168	5.23858e-05	0.00182217	0.000682702	0.00421451	0.0045395	0.0225377	0.0219894	0.0401434	0.0184874	0.00338717	0.00436065	0.0164694	0.0855391	0.26481	0.123127	0.0392055	0.169744	0.0619361	0.0675726	0.0482402
s	0.000230531	0.000275963	0.000189495	0.00161886	5.03668e-05	0.00109081	0.000398038	0.00144824	0.000645044	0.0064342	0.012143	0.00369978	0.000837208	0.0183398	0.0231088	0.045631	0.0571357	0.0707875	0.117441	0.0244295	0.153528	0.226095	0.0140468	0.220396
á	0.00017097	0.000304597	0.000983645	0.00182031	0.000114785	0.0014977	0.000641689	0.00193697	0.001097	0.0080717	0.013164	0.00996949	0.00313989	0.013795	0.0166598	0.0482587	0.0746755	0.197286	0.149105	0.0404898	0.209055	0.06505	0.0362315	0.106481
p	0.000447797	0.00100237	0.0036454	0.00905956	0.000965814	0.002877	0.000865476	0.00563248	0.000822363	0.00432268	0.0109441	0.00715184	0.00106098	0.0284794	0.0240604	0.0409468	0.0305987	0.0611296	0.332508	0.0368857	0.0713269	0.0998295	0.167564	0.0578736
o	3.24961e-05	2.93891e-05	0.000243848	0.000272409	4.96175e-05	0.000246951	0.000342322	0.00037031	8.55246e-05	0.000704333	0.000641709	0.00468005	0.000492917	0.00319409	0.00346365	0.00683142	0.00655338	0.0157165	0.00878749	0.00409147	0.0262021	0.0198791	0.867749	0.0293404
o	0.00015216	7.41798e-05	0.000233601	0.000983578	9.53745e-05	0.000557157	0.000423665	0.000703219	0.000848602	0.00200405	0.00262371	0.0039654	0.00149632	0.005319	0.0114555	0.0157575	0.0376503	0.0747861	0.0102391	0.0446269	0.034524	0.0139579	0.704566	0.0329569
</S>	0.000203337	0.000162614	0.000374151	0.00139795	4.86731e-05	0.000876067	0.000727291	0.00143383	0.000502654	0.00398674	0.00414567	0.0049382	0.000613704	0.00575058	0.00677552	0.0215755	0.0346363	0.0762338	0.141621	0.0181458	0.16506	0.302208	0.106959	0.101624
