 	va	jusqu'	à	la	prochaine	bifurcation	et	prends	à	gauche	</S>
a	9.10109e-05	8.8968e-05	0.000467967	0.00202105	0.00193676	0.0488965	0.0281891	0.445449	0.124708	0.285217	0.0629344
o	0.000112574	0.000160516	0.00128846	0.00506904	0.00283754	0.0212776	0.0545266	0.204473	0.350266	0.110724	0.249265
k	0.000111228	0.000310141	0.0119057	0.0158139	0.0121543	0.0387865	0.0406637	0.0528844	0.330258	0.172103	0.325009
o	0.000354019	0.00111177	0.00425112	0.00754593	0.00510563	0.0177208	0.00610031	0.51511	0.122663	0.28096	0.0390769
b	0.00183608	0.000784666	0.00196145	0.0108935	0.0024051	0.0283084	0.0143143	0.395419	0.101141	0.39331	0.0496268
h	0.00210706	0.00106049	0.00345007	0.00848744	0.00345429	0.0359888	0.0183005	0.360834	0.155954	0.121944	0.288419
í	0.000542589	0.00219174	0.00134367	0.00263788	0.00599108	0.0351865	0.0333902	0.180923	0.0988539	0.437301	0.201639
ω	0.000462238	0.000885089	0.00530427	0.00347301	0.00588177	0.0243819	0.0578412	0.0196479	0.161541	0.108384	0.612198
b	0.000880375	0.000858974	0.0466819	0.0487288	0.0238237	0.0309039	0.0990743	0.0314661	0.287557	0.0628689	0.367156
ώ	0.000392093	0.00123466	0.0100825	0.0128939	0.0194833	0.0156024	0.0393923	0.17219	0.448847	0.153018	0.126864
ω	2.497e-05	7.00002e-05	0.000869283	0.00126001	0.00255378	0.00559792	0.0158859	0.0611214	0.136342	0.48662	0.289655
y	0.000572651	0.00025205	0.00770002	0.00716736	0.00483963	0.0199767	0.0490395	0.0188072	0.261589	0.13144	0.498616
á	0.000912836	0.00332475	0.0257742	0.0176557	0.0164147	0.0679222	0.0703836	0.0291994	0.311563	0.229232	0.227618
ε	0.0016687	0.00285653	0.0361873	0.0772749	0.0865055	0.0219671	0.0769299	0.0168938	0.158728	0.16962	0.351368
w	0.000773426	0.00117996	0.0236657	0.023948	0.0384879	0.0306606	0.0543372	0.0379755	0.259602	0.115941	0.413428
ε	0.000636556	0.00353769	0.0120268	0.0100302	0.018313	0.00671229	0.0151026	0.0513798	0.189102	0.551402	0.141757
s	0.000106577	0.000103123	0.000726211	0.00216794	0.00220531	0.0140019	0.0278159	0.036566	0.145761	0.424937	0.345609
έ	0.000180436	0.000208555	0.00106248	0.00562138	0.00127093	0.0190479	0.0231643	0.190788	0.283009	0.238846	0.236801
</S>	2.43788e-05	4.77922e-05	0.00234344	0.00338885	0.00488464	0.00603694	0.0249851	0.0107419	0.23973	0.0607304	0.647087
