 	l'	enfant	est	calme	dans	le	lit	parce	que	le	bruit	du	véhicule	lui	a	fait	peur	</S>
l	0.00635714	0.0026184	0.0692155	0.356859	0.0892239	0.0397188	0.0152273	0.0289462	0.0392854	0.0338189	0.01819	0.0249794	0.013032	0.0340551	0.0337403	0.0342602	0.0278804	0.132593
έ	0.0314762	0.00175285	0.054366	0.267956	0.137665	0.088269	0.0219477	0.0400375	0.0434219	0.0371857	0.0377563	0.0476219	0.015925	0.0263931	0.0221823	0.034616	0.0300538	0.0613728
έ	0.0163495	0.000350824	0.0757432	0.182535	0.306789	0.160353	0.0311121	0.0242893	0.0215539	0.0195287	0.0116398	0.0221263	0.0041141	0.0223879	0.014085	0.0146158	0.0130919	0.0593347
s	0.0012212	0.000505719	0.0442302	0.186962	0.428709	0.173948	0.0410462	0.02294	0.0202717	0.017593	0.0137678	0.0137029	0.00671005	0.00611192	0.00643561	0.00677173	0.00272815	0.00634581
ó	0.00239452	0.000487808	0.0314894	0.208223	0.359489	0.184635	0.0209274	0.0587138	0.0309726	0.0310649	0.0152242	0.0109839	0.00619836	0.00538532	0.00772988	0.00486855	0.00108371	0.0201278
b	0.0101101	0.000285716	0.00837885	0.0377296	0.140119	0.550399	0.0378997	0.053016	0.0198756	0.023993	0.0209217	0.0160713	0.0364002	0.0087387	0.0047636	0.00740233	0.0047159	0.0191799
é	0.00490252	0.000655604	0.0061461	0.0216985	0.0699057	0.240167	0.369548	0.0789625	0.0362009	0.035604	0.0661038	0.0177014	0.0146494	0.0106408	0.00804735	0.0056694	0.00592986	0.0074667
é	0.000246845	7.34368e-05	0.00750098	0.0361574	0.0388221	0.0713126	0.515876	0.0610547	0.0317177	0.0187978	0.06032	0.0137296	0.00611386	0.0195748	0.016589	0.00826949	0.0154091	0.0784341
t	0.0026432	2.00246e-05	0.0227417	0.0211813	0.0800107	0.158712	0.186145	0.194612	0.114467	0.0871829	0.0268784	0.0462885	0.0079366	0.0161962	0.00769163	0.00873095	0.00191587	0.0166457
s	0.00758748	0.000149688	0.00662681	0.032136	0.026349	0.089302	0.156563	0.131001	0.0658763	0.0484783	0.253468	0.0467792	0.0860649	0.0109997	0.00900755	0.00511474	0.0056587	0.0188368
í	0.000489356	7.22873e-05	0.00109284	0.0147034	0.0415506	0.0970619	0.0896904	0.233364	0.113562	0.0753024	0.202204	0.0334765	0.0245561	0.017807	0.0154664	0.0109806	0.00447946	0.0241416
n	0.00298715	0.000393912	0.00369677	0.016671	0.0600548	0.191656	0.115307	0.23042	0.114453	0.0743372	0.0646165	0.0242897	0.0195956	0.0126967	0.00973704	0.00541932	0.00285391	0.0508144
a	0.0386112	0.00219066	0.00379986	0.00590554	0.0191219	0.0894525	0.0142927	0.22889	0.151294	0.0835123	0.0154582	0.0190368	0.00517324	0.0197172	0.024604	0.0127615	0.00789333	0.258285
l	0.00315283	3.14735e-05	0.00605855	0.00732859	0.0185056	0.0702932	0.0286301	0.309938	0.20247	0.182072	0.0353297	0.0751136	0.0132354	0.0239893	0.00679577	0.00749005	0.00114765	0.00841785
o	0.00423486	5.54143e-05	0.0109381	0.0236537	0.0199453	0.0296486	0.0130147	0.255604	0.172345	0.143576	0.0277378	0.0511802	0.0136488	0.0283115	0.0295255	0.0193982	0.00274887	0.154433
b	0.000294353	3.18374e-05	0.00187365	0.00279461	0.0101034	0.0495586	0.0145115	0.194715	0.127668	0.18214	0.111434	0.0644098	0.217648	0.00868797	0.00288503	0.0031474	0.00136679	0.0067307
h	0.000101821	0.000104128	0.00459084	0.00446994	0.0239629	0.0667896	0.350353	0.0712607	0.100097	0.125524	0.14586	0.0684051	0.0194626	0.00664789	0.00448895	0.00361591	0.00161687	0.00264886
ó	0.000117049	1.54111e-05	0.00130444	0.00146598	0.0104047	0.0445768	0.42195	0.046888	0.0904552	0.0819008	0.168737	0.0556537	0.0184421	0.0165617	0.00751506	0.00868218	0.00876741	0.0165623
l	0.000335208	1.16349e-05	0.00167266	0.00164146	0.00463025	0.0177451	0.0370892	0.0795774	0.111328	0.126212	0.262138	0.176012	0.108921	0.0465628	0.00922998	0.0066677	0.00212514	0.00810113
ó	0.00099489	2.14255e-05	0.00305987	0.0102104	0.00714406	0.011173	0.00943082	0.128298	0.143071	0.115611	0.139411	0.102323	0.110243	0.0352264	0.0315233	0.0197252	0.00481633	0.127715
t	0.000559865	1.12451e-05	0.000504161	0.00108269	0.00169585	0.00624234	0.00572261	0.0657691	0.0492013	0.072184	0.161094	0.160009	0.32465	0.0872314	0.0151604	0.0170434	0.016122	0.0157165
ω	0.000100963	1.5222e-05	0.00108731	0.00353262	0.00287225	0.00641138	0.00869887	0.0381807	0.0376897	0.0331315	0.242714	0.066289	0.51894	0.015296	0.00948121	0.00600651	0.00226295	0.00728969
m	1.47871e-05	1.04229e-06	8.53736e-05	0.000313347	0.000448485	0.00262131	0.00353329	0.0127997	0.018147	0.030902	0.124663	0.079675	0.645043	0.0304326	0.0118807	0.0238896	0.00668267	0.00886664
b	0.00038855	4.22922e-05	0.000240705	0.0007379	0.00271488	0.0160264	0.01599	0.0207422	0.0254081	0.0261402	0.178477	0.0691936	0.44179	0.0297359	0.0228974	0.0190663	0.066196	0.0642123
í	0.000912675	2.95307e-05	0.000429812	0.000198842	0.0023712	0.019991	0.0484041	0.0272386	0.0997458	0.0752467	0.137448	0.0854376	0.100952	0.0987569	0.0512868	0.014153	0.0535558	0.183842
l	0.00189452	3.06783e-05	0.000417675	0.000504066	0.000937122	0.00413218	0.00753619	0.0344943	0.0661165	0.0580569	0.157143	0.255649	0.0935802	0.198829	0.0371529	0.0229694	0.0146916	0.0458648
i	0.000319927	1.5588e-05	0.000617659	0.00183947	0.00114842	0.00535252	0.00325914	0.0604258	0.0894734	0.0715014	0.120233	0.129348	0.12725	0.114034	0.0633226	0.0336	0.0167101	0.161548
í	0.000352475	7.17569e-06	0.000538228	0.00084977	0.00159765	0.00300468	0.0014363	0.0282052	0.0408456	0.0520548	0.057194	0.225547	0.0477174	0.283762	0.106786	0.0708502	0.0287873	0.0504649
p	0.000142987	4.93267e-05	0.0134952	0.0153425	0.0172324	0.0047651	0.00836448	0.0174712	0.0317442	0.0381871	0.0216446	0.119087	0.0158454	0.10313	0.203454	0.259611	0.0238001	0.106634
έ	1.91851e-06	3.46636e-06	0.000765232	0.00481557	0.00178388	0.000797906	0.00114453	0.0119727	0.0225548	0.0260843	0.105826	0.0613755	0.0799066	0.0559188	0.259788	0.249217	0.0235591	0.0944843
ε	0.000319858	8.86982e-06	0.00140783	0.00372548	0.00348798	0.00328031	0.0041947	0.0356733	0.0525608	0.0488867	0.063789	0.0974969	0.142021	0.0868907	0.106213	0.121817	0.0550828	0.173144
w	0.000535505	3.01958e-05	0.000836673	0.00169731	0.00289173	0.00161853	0.00130478	0.00896319	0.016772	0.0194656	0.0178599	0.0583937	0.023559	0.121063	0.21087	0.187022	0.196408	0.130709
a	0.00117265	4.61069e-05	0.000392252	0.000457756	0.00174601	0.0039552	0.011454	0.0322328	0.0433592	0.0376825	0.0626981	0.0921779	0.0151073	0.137933	0.0864503	0.0726438	0.350357	0.0501343
b	4.11499e-05	2.12793e-06	4.56739e-05	0.000158499	0.000179764	0.000723754	0.000514975	0.00592788	0.00601523	0.00817591	0.015015	0.0446989	0.0213472	0.149655	0.128932	0.127464	0.358025	0.133079
ó	0.000136251	0.000229686	0.000580099	0.000549753	0.00194234	0.00279787	0.0523055	0.0178377	0.0206908	0.020585	0.0281108	0.0652082	0.00685842	0.0452185	0.0569318	0.110466	0.510469	0.0590827
m	7.92384e-05	6.65704e-06	0.000253851	0.000508498	0.000642733	0.0015934	0.00285085	0.00814806	0.00978341	0.0152172	0.0226948	0.0611126	0.0342056	0.102906	0.0950004	0.220749	0.292476	0.131773
ώ	5.51723e-05	5.36932e-05	0.00236601	0.00557352	0.00781106	0.0059071	0.00122338	0.00792617	0.0210855	0.0306156	0.0239051	0.0772441	0.0528725	0.0443575	0.140936	0.215205	0.205024	0.157839
</S>	2.71161e-05	6.14836e-06	0.000808329	0.00162262	0.00272487	0.00294058	0.00196122	0.00654575	0.0150344	0.0209499	0.0130219	0.0713619	0.0108385	0.0527061	0.111902	0.2312	0.192243	0.264106
