 	le	récolteur	de	vin	qui	venait	dans	ce	chemin	a	bifurqué	à	droite	</S>
m	0.000557277	0.000311426	0.0360672	0.00403795	0.0306988	0.0355099	0.295419	0.307227	0.0426607	0.14032	0.0419214	0.0212811	0.0039572	0.0400309
o	0.0089716	0.00361507	0.021451	0.0014689	0.0135469	0.0199498	0.191841	0.505214	0.0242461	0.106531	0.00388558	0.0186109	0.00315953	0.0775083
k	0.00035393	0.000166391	0.00352813	0.00301122	0.00730917	0.0298741	0.0598416	0.0903143	0.68107	0.0551783	0.0295766	0.015537	0.00927128	0.0149682
o	0.000419632	0.000758776	0.000609121	0.0114994	0.00131091	0.00237923	0.00733553	0.0140642	0.927182	0.00982903	0.00606718	0.00405613	0.00835918	0.00613018
ó	0.000573011	0.000284397	0.00126849	0.00530997	0.00132058	0.00816945	0.0172906	0.0327563	0.876441	0.0255801	0.014314	0.00316371	0.00741608	0.00611276
w	0.000650295	0.000132852	0.0119406	0.00290597	0.00464331	0.00119286	0.0423337	0.126658	0.0315409	0.561338	0.081626	0.0571071	0.00823912	0.0696911
ó	0.00194108	0.000463816	0.0489086	0.0232242	0.0126776	0.00371671	0.0226329	0.0626344	0.0902024	0.113672	0.112697	0.180053	0.0949961	0.23218
á	0.000610485	0.000106386	0.0119653	0.00220718	0.00124931	0.00228798	0.0136042	0.0466962	0.0229158	0.237101	0.14585	0.151497	0.0249837	0.338926
y	0.000385479	0.000352121	0.00444455	0.00335971	0.00192039	0.00256884	0.00603127	0.00618636	0.00547573	0.051705	0.751417	0.0651491	0.0217467	0.079258
á	0.00115679	6.44257e-06	0.00144379	0.000178234	0.00287107	0.00263205	0.00332111	0.00384356	0.00109121	0.00934607	0.913517	0.0277553	0.0019314	0.0309057
b	0.000522197	2.99454e-05	0.00130065	0.00022505	0.00142188	0.00285735	0.00758521	0.0111957	0.00318583	0.0142319	0.794927	0.0466517	0.00665476	0.109211
h	0.000248373	8.07449e-05	0.00192197	0.00436092	0.00145153	0.000479219	0.00775755	0.0162739	0.281247	0.0474476	0.241122	0.212408	0.0937413	0.0914588
i	0.000480625	8.63985e-05	0.00753079	0.0055156	0.00341646	0.00147776	0.0243971	0.0740293	0.161244	0.0638018	0.109821	0.049126	0.076921	0.422152
m	0.000307815	8.0914e-05	0.00249563	0.00119456	0.00263637	0.000228495	0.00777463	0.038759	0.0300126	0.159486	0.0358126	0.341089	0.234257	0.145865
é	0.0074532	0.000897017	0.00580605	0.000238896	0.00343532	0.00205476	0.0337071	0.1861	0.00423055	0.122989	0.0248906	0.105392	0.11572	0.387084
b	0.000869043	0.000147972	0.00533953	0.000780591	0.00275692	0.00146417	0.0108493	0.0239747	0.0121891	0.0560986	0.0640238	0.365527	0.287749	0.16823
ώ	0.000509397	0.00109373	0.00131623	0.000944992	0.000462549	9.68499e-05	0.00197787	0.00384783	0.0102401	0.0081082	0.0250625	0.0440181	0.881973	0.0203485
ω	8.3274e-05	0.000113842	0.000362463	0.000140989	4.97213e-05	5.29723e-05	0.00101868	0.00313485	0.00835934	0.00458394	0.00364786	0.0242783	0.910012	0.0441619
y	0.000631725	9.29264e-06	0.00125213	0.000496754	0.00177002	6.94117e-05	0.00301567	0.00813712	0.00216414	0.0654089	0.0215294	0.482708	0.197879	0.214929
é	0.00649842	8.24447e-05	0.0240811	0.00591607	0.0122616	0.00253765	0.0212005	0.0325364	0.0146061	0.0692639	0.124538	0.357783	0.214382	0.114313
l	0.00363415	7.92717e-05	0.00391739	0.000481523	0.00310439	0.000345703	0.00339889	0.00699012	0.00302284	0.0221608	0.0307492	0.580906	0.115174	0.226036
ó	0.0022894	0.000384925	0.00824427	0.00178087	0.00317485	0.000934607	0.00667142	0.00751562	0.0018867	0.014913	0.0559687	0.423223	0.12531	0.347703
m	0.000287704	2.3962e-05	0.00240151	0.000486074	0.00174806	0.000259964	0.00210077	0.00332586	0.00263932	0.0117154	0.0192396	0.39499	0.350897	0.209885
i	5.64399e-05	0.000120342	0.00825093	0.000861235	0.00213308	0.00142028	0.0225769	0.0260374	0.00221361	0.0317136	0.0359682	0.491411	0.0946535	0.282584
</S>	2.29734e-05	3.86871e-05	0.00309135	0.000820431	0.000507973	0.000216932	0.00534391	0.0098544	0.00221802	0.0176307	0.00890986	0.50331	0.202396	0.245639
