 	son	père	l'	a	blâmé	parce	qu'	il	rentre	à	la	maison	dans	la	nuit	</S>
l	0.00182766	0.000259713	0.00724176	0.00837367	0.0231238	0.0289515	0.253335	0.281953	0.146133	0.0822725	0.0600732	0.00617558	0.0351289	0.0187187	0.0146094	0.031822
á	0.00626117	0.00079765	0.0231394	0.0181702	0.0160688	0.0199845	0.0429133	0.0783351	0.0886808	0.125066	0.07505	0.0189579	0.149134	0.065103	0.0339236	0.238415
a	0.000819037	0.000369156	0.0106215	0.0102041	0.0122671	0.0183428	0.0478361	0.113434	0.269024	0.17648	0.123231	0.0799128	0.0293254	0.0326408	0.0199656	0.0555267
k	0.000237395	0.000137834	0.0216817	0.0119697	0.00314569	0.00920375	0.0090511	0.0397398	0.754892	0.0925508	0.0155736	0.00536951	0.00933083	0.00699638	0.0091403	0.0109795
ó	1.62864e-05	4.2398e-05	0.00115912	0.00108236	0.000821562	0.0102724	0.00691498	0.0430276	0.735593	0.143649	0.0189223	0.000239105	0.0128571	0.00742613	0.00320297	0.0147739
á	2.04986e-05	3.25652e-05	0.00156251	0.000850226	0.000964994	0.0103154	0.00446009	0.0239943	0.834093	0.08039	0.00813252	0.001077	0.00640606	0.00394592	0.00475884	0.0189965
n	0.000264957	8.21847e-06	0.00388892	0.00409525	0.00124977	0.00253232	0.0144361	0.0114857	0.0295517	0.198941	0.296176	0.173283	0.179811	0.0530122	0.0111318	0.0201322
d	0.000375613	1.57994e-06	0.000318475	0.000380556	8.78691e-05	0.000544904	0.00176056	0.00112047	0.00250464	0.0142626	0.0436594	0.896531	0.0243306	0.00718215	0.00271462	0.00422486
é	2.63089e-05	1.14679e-06	6.71086e-05	5.0844e-05	3.71303e-05	9.41117e-05	0.000211015	0.000257492	0.00130389	0.00599676	0.00913097	0.970511	0.00639385	0.00226695	0.00161367	0.00203752
e	0.000146363	2.49195e-05	0.00177117	0.00240893	0.00204129	0.0072199	0.0176243	0.0165051	0.0352836	0.0881694	0.137344	0.294773	0.160213	0.0927436	0.0944258	0.0493056
l	0.000565626	1.07601e-05	0.00252269	0.00216222	0.00183337	0.00262055	0.0095391	0.01095	0.0124084	0.109017	0.118294	0.0466388	0.313723	0.202577	0.0763	0.0908367
a	0.000518037	3.64881e-05	0.00221568	0.00190653	0.00268634	0.00318715	0.00327319	0.00609095	0.0437608	0.104385	0.055419	0.018405	0.0937667	0.147704	0.287904	0.228741
k	0.000381934	1.10828e-05	0.00335334	0.00296469	0.00183312	0.00225558	0.00743276	0.00597711	0.0070154	0.0554471	0.131817	0.0286205	0.170682	0.186233	0.31949	0.0764857
ó	0.00015896	2.989e-05	0.00149224	0.00139973	0.000547275	0.00545593	0.00295648	0.00545622	0.00893086	0.0467757	0.0422966	0.00456225	0.0904201	0.120517	0.652261	0.0167394
l	8.1422e-05	3.57871e-05	0.0010211	0.000849384	0.00133366	0.00231867	0.00293284	0.00664246	0.0495693	0.0540165	0.0189799	0.00512114	0.0333491	0.0528808	0.712134	0.0587337
i	0.000463834	0.000664411	0.000858675	0.00141893	0.00637619	0.00818905	0.00286248	0.00783349	0.0376173	0.0592415	0.0431041	0.0293905	0.054686	0.113367	0.451103	0.182823
</S>	0.000862018	0.000139157	0.00200905	0.00168794	0.00246127	0.00179818	0.00375631	0.00438706	0.00784592	0.0386647	0.0342984	0.015238	0.16689	0.153285	0.235777	0.330899
