 	je	ne	veux	pas	aller	en	forêt	avec	toi	parce	que	tu	es	ennuyeux	</S>
á	8.35721e-05	0.000477498	0.00293567	0.00833561	0.007983	0.0358433	0.144565	0.133551	0.0636123	0.270109	0.115437	0.0707068	0.0179308	0.00596612	0.122464
t	0.000368969	0.00322779	0.00228654	0.00336401	0.00727558	0.0107432	0.0117961	0.111657	0.102232	0.300239	0.237098	0.10856	0.0229025	0.00471137	0.0735393
s	0.000144896	0.00093402	0.00478321	0.00676553	0.00267053	0.0114391	0.0413902	0.0288749	0.0426518	0.197405	0.219401	0.181919	0.148152	0.0112735	0.102194
i	0.000118399	0.000157318	0.00183852	0.00160244	0.000815785	0.00780147	0.0259295	0.062465	0.092958	0.334298	0.28588	0.106803	0.0196371	0.00890405	0.050791
n	0.00294987	0.00067663	0.002132	0.0031851	0.00123457	0.0133796	0.0439462	0.0975324	0.120047	0.259487	0.206211	0.103241	0.0278506	0.0167696	0.101357
a	0.00240984	0.000923831	0.000279061	0.000201641	0.000617908	0.00134649	0.00243731	0.0134109	0.274824	0.174226	0.208078	0.224039	0.0131633	0.00570768	0.0783349
n	7.83708e-05	0.000892322	0.000724881	0.0015706	0.00189121	0.00399786	0.0083206	0.0355802	0.0704863	0.214245	0.349534	0.211248	0.063614	0.00669235	0.0311252
ω	0.00468051	0.00435132	0.000151146	0.000671301	0.0017607	0.00223963	0.00203043	0.01428	0.257685	0.0645679	0.193565	0.359705	0.0200717	0.00410359	0.0701368
o	0.000113563	0.000441435	0.000277569	0.000459228	0.0032131	0.00355091	0.013666	0.0312374	0.0404076	0.113442	0.192248	0.261014	0.133643	0.0254041	0.180883
d	2.90136e-05	0.00724092	0.0186231	0.0681734	0.101688	0.0410635	0.0138394	0.020374	0.00968734	0.018432	0.0323875	0.0832996	0.349509	0.137544	0.0981087
í	0.000126098	0.0018258	0.0146708	0.00710769	0.0194974	0.00996519	0.00346548	0.0342018	0.0252424	0.0810035	0.0905681	0.0610708	0.103512	0.173958	0.373785
l	3.53548e-05	0.0011594	0.0012348	0.0117464	0.00722156	0.0213487	0.0078277	0.0337818	0.0289092	0.0286145	0.0869457	0.0723422	0.238288	0.134658	0.325887
a	4.71144e-05	0.000265818	0.000913476	0.00057617	0.000847037	0.00133701	0.00197749	0.00720695	0.0173325	0.0593412	0.12613	0.169319	0.201968	0.117384	0.295355
d	1.46515e-05	0.000403732	0.000123263	0.000681956	0.000570989	0.0012117	0.00391476	0.00853859	0.0138686	0.0407935	0.0840503	0.0998691	0.192726	0.3522	0.201033
z	2.92284e-05	0.000793741	0.000300062	0.00032016	0.000730435	0.000491404	0.000254498	0.00235091	0.00528099	0.0136395	0.0340706	0.0711913	0.110471	0.429585	0.330491
ú	6.49289e-05	0.000980965	0.000213673	0.000501168	0.0020871	0.000792378	0.000790837	0.00655242	0.0154568	0.0277558	0.0360944	0.0524694	0.303885	0.408023	0.144332
r	5.578e-05	0.000121383	0.000147426	0.000336067	0.000909971	0.0013813	0.00205558	0.00259221	0.00191476	0.0104638	0.0172698	0.0323496	0.266187	0.458349	0.205866
ú	6.60605e-05	0.000104616	9.27182e-05	0.000260589	0.00112999	0.00172965	0.00257648	0.00214105	0.00615521	0.00994954	0.023518	0.0452227	0.20582	0.606538	0.0946961
r	0.000176034	0.000334777	0.000115364	0.000565214	0.00044244	0.0016635	0.00389907	0.00343054	0.00922501	0.0127133	0.0388108	0.0625226	0.235913	0.182104	0.448084
ú	0.00160667	0.00278356	0.000282326	0.00103882	0.00138346	0.00340936	0.0032978	0.00387247	0.0199176	0.0176361	0.0708989	0.121484	0.274286	0.337722	0.140382
</S>	0.000165127	0.00174284	0.000263526	0.000785827	0.00117705	0.00176929	0.00156009	0.00559296	0.0101387	0.0119642	0.0431899	0.0577989	0.188978	0.0892889	0.585584
