 	la	manière	dont	ils	gardent	cette	banque	le	combrioleur	ne	peut	oser	y	entrer	</S>
l	0.000319785	0.000703985	0.00228824	0.000855645	0.0142313	0.109272	0.271859	0.319501	0.137287	0.107499	0.0161152	0.00862435	0.00260986	0.000476544	0.00835598
á	0.00911189	0.00538064	0.00703014	0.00121043	0.00681025	0.0553002	0.242737	0.285474	0.10264	0.143245	0.018457	0.00772847	0.00853201	0.00262704	0.103715
m	0.00281671	0.00689312	0.00309564	0.00168174	0.00843292	0.0520169	0.15185	0.363739	0.204435	0.13476	0.0363979	0.0124619	0.00641407	0.00568032	0.00932445
b	0.00134878	0.00681602	0.00206005	0.00749629	0.00386854	0.0351142	0.142229	0.256272	0.40977	0.100383	0.0170825	0.00314366	0.00154657	0.000536885	0.0123326
ώ	0.000270461	0.00019405	7.26765e-05	0.00356603	0.00242195	0.00735629	0.333345	0.351919	0.234701	0.0229098	0.0302698	0.0012452	0.000568776	0.00116906	0.00999112
n	3.34179e-05	0.000100353	0.000115239	0.00174339	0.0174566	0.0151251	0.123305	0.342526	0.383494	0.0285767	0.077579	0.000408818	0.000983199	0.00332003	0.00523308
g	0.000861473	0.00117708	0.00102132	0.00062298	0.00664722	0.0292067	0.143961	0.30701	0.20977	0.128373	0.0470582	0.00373381	0.0120866	0.0116941	0.0967771
ω	0.00428241	0.00988041	0.0131616	0.00062832	0.00244742	0.00832932	0.0419119	0.214389	0.660159	0.0283905	0.00206767	0.000206556	0.000369307	0.000251165	0.0135254
d	0.000892638	0.0022238	0.00411041	0.000650358	0.0011219	0.0144051	0.0155743	0.272913	0.150323	0.397195	0.085563	0.0113447	0.0148243	0.0026326	0.0262259
í	0.0368301	0.0215499	0.0148948	0.000877451	0.00813449	0.0444965	0.0521861	0.25995	0.0700611	0.288044	0.0512127	0.0144735	0.0119237	0.00240583	0.122959
m	0.0111824	0.0247544	0.0185778	0.00989116	0.00293334	0.0174345	0.00897935	0.121349	0.0525832	0.356791	0.0856548	0.184857	0.0538671	0.0121782	0.038966
ú	0.000766956	0.00213581	0.00101365	0.00338658	0.0013763	0.0150984	0.0223448	0.116815	0.265117	0.211819	0.0790393	0.0394262	0.0164438	0.00332994	0.221888
b	0.000324061	0.000285266	0.000284467	0.00531335	0.00392892	0.0464891	0.347838	0.189861	0.023961	0.13891	0.0793095	0.109661	0.0222756	0.000966532	0.0305934
h	0.0118072	0.0080857	0.00552807	0.00848698	0.00454719	0.0203082	0.00828521	0.111324	0.0246393	0.0843749	0.167385	0.0875049	0.152341	0.00837585	0.297007
u	0.0375847	0.00607638	0.00330269	0.00021416	0.005184	0.0183501	0.0249058	0.173159	0.233142	0.085377	0.137222	0.0857761	0.0236109	0.00883505	0.15726
a	0.000956777	0.000567038	0.00067143	0.000198376	0.000689625	0.00534455	0.00460924	0.0862344	0.0452211	0.192526	0.151465	0.174877	0.145474	0.0215127	0.169653
d	0.00046853	0.00127839	0.00052036	0.000596376	0.00442426	0.0207657	0.00686108	0.0321215	0.00603394	0.0942258	0.129808	0.332995	0.243662	0.0622246	0.0640137
í	0.000378446	0.00031885	0.000379801	0.000102946	0.0015667	0.0191412	0.0224158	0.0217333	0.00572337	0.096986	0.0672986	0.132535	0.134638	0.00411188	0.492671
o	0.000575647	0.000967963	0.000779216	0.000121429	0.000202524	0.00216646	0.0007283	0.00838335	0.00148765	0.0684683	0.138835	0.197905	0.327385	0.0365584	0.215436
f	0.000108513	0.00073525	0.000231922	0.000660635	0.00494935	0.0153126	0.00820512	0.00733247	0.00429892	0.00737039	0.0606855	0.291792	0.199766	0.286435	0.112117
u	7.60168e-06	5.28316e-05	1.90776e-05	0.000154693	0.00412248	0.00284019	0.00815344	0.00487618	0.00130027	0.00455025	0.0472733	0.566113	0.161719	0.142196	0.0566213
s	3.4817e-05	0.000110756	7.79197e-05	0.00019266	0.000872013	0.00249999	0.00428199	0.00872844	0.00677471	0.00707573	0.0565135	0.666356	0.0946684	0.047752	0.104061
á	0.00651544	0.000872452	0.000803637	0.000332331	0.00234889	0.00709754	0.00545026	0.0477967	0.0135335	0.0592139	0.148972	0.206192	0.267134	0.0949631	0.138774
o	0.00294233	0.00112764	0.00587089	0.00168617	0.00178531	0.00223933	0.00215286	0.022369	0.020793	0.0351374	0.0273071	0.156223	0.207599	0.32568	0.187088
k	0.000197952	0.000690248	0.000336978	0.00108808	0.00402104	0.0203602	0.00944894	0.00947232	0.00321281	0.00684049	0.0320122	0.185421	0.269354	0.313521	0.144022
ó	1.68066e-05	3.54234e-05	7.17418e-06	0.000110831	0.00205151	0.00101219	0.00668902	0.00177654	0.000140503	0.00207148	0.0294216	0.264804	0.235931	0.407541	0.0483909
a	8.07328e-06	2.42139e-05	7.12665e-06	1.64083e-05	0.000972194	0.000386134	0.0018145	0.00672469	0.00413657	0.0101541	0.137666	0.483374	0.104948	0.170568	0.0791997
k	0.00222194	0.000483079	0.00134584	0.000229932	0.000720413	0.00360138	0.00125229	0.0134567	0.00440916	0.0261865	0.0362219	0.0618581	0.363918	0.260905	0.22319
a	7.26588e-05	0.000142479	6.74117e-05	0.00122027	0.00136864	0.000752406	0.000367633	0.00468687	0.0002093	0.00998618	0.0259107	0.0282186	0.263033	0.540726	0.123238
á	0.00018721	0.000417975	0.000295557	0.00132951	0.00340354	0.000921904	0.00162738	0.00525112	0.00155278	0.0114807	0.0477943	0.0937715	0.138025	0.397719	0.296223
</S>	0.00451097	0.00125062	0.00752625	0.00479206	0.00147547	0.00502527	0.00264602	0.0169303	0.00349415	0.0366068	0.022916	0.0295618	0.259637	0.165852	0.437776
