 	mon	fils	est	tenu	responsable	pour	tout	ce	qui	se	perd	dans	ce	village	</S>
á	0.00134849	0.000227051	0.00511973	0.00193199	0.0206326	0.0526263	0.0758768	0.162876	0.257533	0.199407	0.0663155	0.059679	0.0470448	0.00464053	0.0447407
b	0.000869353	0.000228676	0.00450778	0.00632213	0.00842324	0.00878782	0.0082491	0.0160569	0.0351876	0.0993128	0.375326	0.329781	0.0593268	0.0131004	0.0345208
h	3.9442e-05	0.000938902	0.00903812	0.0177595	0.0192373	0.012732	0.0137314	0.0130322	0.0285404	0.172579	0.502289	0.162279	0.0232616	0.00156094	0.022981
e	5.61101e-05	0.000208702	0.00116244	0.0161157	0.00857803	0.0160302	0.014789	0.016877	0.0141039	0.121438	0.651583	0.0975344	0.00902157	0.00146556	0.0310359
á	0.000116732	0.000214116	0.000741929	0.00145533	0.00387279	0.00820457	0.0108507	0.0351947	0.0656742	0.155659	0.321729	0.221569	0.0389326	0.00952698	0.126258
b	0.00159624	0.00037857	0.00206179	0.00244264	0.007645	0.00864831	0.00732637	0.0151354	0.0387997	0.103762	0.211343	0.304693	0.244325	0.0217076	0.0301356
á	0.00114868	0.00120593	0.00414171	0.0106516	0.170228	0.05356	0.0171301	0.0079068	0.0168174	0.105248	0.429217	0.103486	0.0488301	0.0015117	0.0289166
a	0.00286556	0.000430212	0.00491009	0.00714034	0.184631	0.0471943	0.0333809	0.023958	0.0371868	0.184674	0.190514	0.138912	0.0859771	0.00897807	0.0492474
y	8.23288e-05	9.90296e-05	0.00144047	0.00218487	0.00142101	0.00247965	0.00271322	0.0045389	0.0138737	0.0588323	0.289328	0.407156	0.11445	0.0224346	0.0789655
í	0.000211589	0.000333837	0.00143568	0.00115217	0.000767161	0.00141782	0.00462238	0.0209429	0.0238642	0.0252143	0.130293	0.52736	0.119332	0.0529126	0.0901402
n	4.28662e-05	6.15899e-05	0.000311663	0.000212862	0.000456588	0.00130306	0.00293787	0.0182685	0.0333538	0.035434	0.101224	0.579169	0.111103	0.0169494	0.0991726
d	0.000755689	0.000118897	0.00107579	0.000709856	0.00156709	0.00422558	0.00944286	0.0211081	0.0558825	0.105284	0.0854062	0.242912	0.192103	0.0632648	0.216142
z	0.000260866	0.000132154	0.00227346	0.000949694	0.00169507	0.00659742	0.0182109	0.0382004	0.0559243	0.0681624	0.0598967	0.154554	0.171672	0.130084	0.291387
á	9.4646e-05	0.000120862	0.00119908	0.00182723	0.00073405	0.00620987	0.0226256	0.0320496	0.0299277	0.055931	0.0405348	0.0621401	0.0855856	0.325352	0.335668
m	0.000404699	7.54689e-05	0.0011216	0.00105845	0.00175532	0.00456147	0.0081636	0.016306	0.0353617	0.0666281	0.0355678	0.0912825	0.11133	0.0747789	0.551604
ó	0.000627636	0.00208056	0.0012206	0.001546	0.0059906	0.0104811	0.0121213	0.0312176	0.0795595	0.0917916	0.0541396	0.129383	0.269876	0.0219398	0.288025
m	0.000818094	0.000364623	0.00216413	0.00209647	0.0165543	0.0184767	0.0134568	0.0122565	0.0176014	0.0250275	0.0170945	0.0972302	0.180394	0.359065	0.2374
w	0.000100437	0.00493446	0.00626199	0.00465767	0.0181186	0.0280668	0.0190275	0.0426478	0.146487	0.0950653	0.0597473	0.173415	0.140406	0.0812153	0.179848
á	0.00416806	0.0410313	0.00125779	0.000464482	0.0187658	0.0061343	0.00512977	0.0186952	0.0697271	0.0464537	0.0787357	0.0668038	0.0434596	0.453288	0.145886
n	0.000468205	0.000432782	0.00036106	0.00124488	0.00605614	0.00322661	0.00233665	0.0116177	0.0265458	0.0590053	0.183528	0.171013	0.183233	0.0415712	0.30936
a	0.00335757	0.00919336	0.0021925	0.00151027	0.00546011	0.00848113	0.00667968	0.0363062	0.0559211	0.0419879	0.109532	0.145771	0.21898	0.0191688	0.335458
y	0.0019776	0.000117967	0.00223536	0.00188225	0.00157779	0.00250178	0.00622223	0.00952269	0.0115326	0.0186878	0.015366	0.0867129	0.0947237	0.105287	0.641652
a	0.00127192	0.000689114	0.0151998	0.00439263	0.0114966	0.0208475	0.036122	0.0607347	0.0592415	0.0278827	0.00823261	0.0922087	0.223	0.143825	0.294856
n	0.00178021	0.000296527	0.00320081	0.000999067	0.0229497	0.0236267	0.0240475	0.0483012	0.0406307	0.0174398	0.00476555	0.0816083	0.298191	0.124967	0.307195
g	0.0161276	0.00128837	0.0015247	0.000421565	0.01316	0.00710037	0.00900206	0.0177958	0.0266719	0.0132871	0.0121441	0.0846027	0.196889	0.0383015	0.561683
á	0.0344219	0.00825591	0.00216053	0.000409153	0.00376912	0.00480643	0.00885364	0.0204214	0.0259274	0.0115896	0.00428216	0.0417872	0.137972	0.0363153	0.659028
</S>	0.000669441	6.77863e-05	0.000908645	0.000916766	0.00492644	0.00574546	0.00755483	0.00991691	0.0180171	0.0295047	0.0069555	0.0479473	0.200572	0.130726	0.535572
