 	au	cours	de	cette	petite	saison	de	pluie	mon	barrage	à	nasses	n'	était	pas	rentable	</S>
á	0.000495555	0.00302883	0.0104341	0.0411282	0.057418	0.0258763	0.143948	0.0580826	0.517932	0.0365343	0.0443773	0.0157201	0.00253112	0.00707359	0.0053122	0.00583488	0.0242728
b	0.000294139	0.00106412	0.0112931	0.0252373	0.052133	0.0358611	0.15812	0.0529548	0.367875	0.0783237	0.105455	0.0615227	0.018198	0.0122242	0.0074756	0.00369664	0.00827108
v	0.00174834	0.000790065	0.00996011	0.0190097	0.0446251	0.0427438	0.0933344	0.148605	0.13264	0.161897	0.149066	0.10013	0.0185586	0.00776583	0.00942971	0.00524766	0.0544491
ú	0.000407613	0.00156993	0.00279597	0.023419	0.0378651	0.0516253	0.0758098	0.19492	0.17891	0.287829	0.083186	0.021501	0.00315899	0.00639099	0.00448861	0.000954334	0.0251672
ó	0.000933287	0.00083862	0.00448911	0.0277016	0.0224088	0.0455671	0.084515	0.192451	0.169473	0.170635	0.132336	0.0478418	0.0495642	0.0275486	0.0161172	0.00151391	0.00606583
d	0.00835745	0.00483426	0.0225989	0.0167639	0.0197477	0.0155994	0.0754204	0.0273093	0.0748108	0.123027	0.180077	0.0814431	0.229816	0.0841875	0.0223883	0.00583675	0.0077832
z	0.00103499	0.0057066	0.00558882	0.0103819	0.00932908	0.0123609	0.0562216	0.0239849	0.106889	0.202315	0.114637	0.0128008	0.0879719	0.224468	0.0376593	0.0174133	0.0712374
e	0.00270213	0.0118038	0.00984713	0.0600481	0.0160036	0.0410288	0.0685705	0.0474244	0.152076	0.209247	0.0984048	0.0213045	0.0794756	0.154816	0.0145118	0.00171534	0.0110204
m	0.00114405	0.000305007	0.00308401	0.00700788	0.00808818	0.00933093	0.0302045	0.0125155	0.0564898	0.0759686	0.119782	0.119754	0.226977	0.139922	0.113561	0.035703	0.040163
w	0.000986914	0.000869179	0.00234521	0.00988119	0.0158981	0.0180047	0.0351593	0.0349394	0.168612	0.331926	0.191088	0.0345215	0.0416679	0.0377221	0.0239219	0.00199242	0.0504645
á	0.00287389	0.00128693	0.00160723	0.0062552	0.012578	0.0235529	0.0241837	0.168808	0.0577435	0.372036	0.113508	0.035111	0.0323071	0.0722034	0.0205134	0.00523521	0.0501969
n	0.0035773	0.000271734	0.00230935	0.00590136	0.0181963	0.016796	0.045279	0.0732543	0.143352	0.245149	0.220914	0.0415451	0.05867	0.044426	0.0270203	0.00279688	0.0505409
y	0.00861671	0.012901	0.0067441	0.0201006	0.0193343	0.0294119	0.0392503	0.109992	0.195116	0.145974	0.176657	0.0456366	0.0218496	0.059835	0.012512	0.0137336	0.0823354
á	0.00142178	0.00480117	0.0024712	0.0123229	0.00916421	0.0174637	0.0238332	0.0844538	0.129914	0.134948	0.160544	0.0712077	0.0237362	0.140202	0.0349362	0.0321813	0.116398
á	0.000210059	0.000310979	0.00131819	0.00199966	0.00307023	0.00355951	0.0166741	0.0201217	0.041989	0.0418485	0.111775	0.134087	0.155216	0.147017	0.114273	0.112567	0.0939626
e	0.000528605	0.00145167	0.00409786	0.00277708	0.00449092	0.00421814	0.0103546	0.00415503	0.00804734	0.00700239	0.0294432	0.0144521	0.126361	0.27886	0.228667	0.193096	0.0819977
s	0.000201334	0.00139779	0.00316206	0.00279746	0.00407227	0.00408437	0.00878625	0.00983194	0.00723231	0.00972522	0.0275504	0.0247364	0.0687053	0.203323	0.287404	0.228189	0.108801
á	0.000280295	0.00140568	0.00112569	0.00271957	0.00123509	0.00298082	0.00407715	0.00172158	0.00756831	0.00269544	0.0129883	0.00473766	0.0466263	0.406831	0.150262	0.215135	0.137609
á	0.000130407	8.07149e-05	0.000922238	0.00054828	0.000610245	0.000491949	0.00169126	0.000529209	0.00867974	0.00227409	0.0141876	0.0134068	0.0421394	0.138947	0.132609	0.520328	0.122423
k	0.000476845	0.000175108	0.000727707	0.00100213	0.00130782	0.00184772	0.0039227	0.00372162	0.0125086	0.00528043	0.01858	0.0220324	0.0457299	0.0876121	0.180698	0.481563	0.132814
a	4.27818e-05	6.14199e-05	0.000824062	0.000799334	0.00132073	0.00212754	0.00260104	0.00156581	0.00553234	0.0108189	0.0238159	0.0601648	0.0286896	0.0411624	0.182394	0.559579	0.0784998
á	0.000147979	0.000102442	0.000675812	0.00030643	0.000680218	0.000971297	0.00195203	0.00120465	0.0127265	0.00987962	0.0262148	0.0274701	0.0174028	0.0336954	0.0666391	0.618367	0.181563
</S>	0.000223698	0.000262718	0.000939557	0.000540022	0.00104258	0.000986562	0.0034824	0.00116308	0.00546954	0.00494147	0.0141579	0.00395437	0.0439378	0.108797	0.124131	0.261518	0.424452
