 	de	petits	enfants	ont	désacralisé	le	kyebé-kyebé	en	s'	amusant	avec	les	masques	de	cette	danse	</S>
h	0.000200606	1.92726e-05	1.32487e-05	0.000383518	0.000680772	0.0482861	0.342515	0.139348	0.0823305	0.326949	0.013985	0.0069872	0.00425507	0.00485139	0.0026139	0.00357718	0.0230048
é	0.00578368	0.000802936	0.000804899	0.0024171	0.00245531	0.0927081	0.139885	0.19564	0.120698	0.317616	0.0209866	0.0128754	0.00867282	0.0075805	0.0057979	0.00925155	0.0560235
k	0.00108211	9.16238e-05	8.67441e-05	0.00137765	0.000625641	0.0419547	0.0562669	0.254129	0.285342	0.205008	0.073123	0.0247483	0.0102478	0.00670667	0.00295193	0.00278995	0.0334672
y	0.00185986	0.000619541	0.000230105	0.000564918	9.14866e-05	0.021418	0.187422	0.0787608	0.0540873	0.551821	0.0492005	0.019031	0.0088411	0.00638914	0.00188823	0.00274473	0.0150305
e	0.00170727	0.000214853	0.000158448	0.000326489	7.3544e-05	0.0156664	0.057399	0.0589679	0.0908542	0.583538	0.0774804	0.0429396	0.0168471	0.0122125	0.00462285	0.00942721	0.027564
b	0.00112528	0.00027462	0.000153253	0.000540775	0.000181559	0.0128356	0.0685208	0.0606426	0.0526632	0.651215	0.0288337	0.0157765	0.00825272	0.00502655	0.00381386	0.00410594	0.0860377
h	0.000339772	0.000106165	2.02784e-05	0.000238824	0.000250993	0.0153861	0.188527	0.0707257	0.0746163	0.539803	0.049238	0.0176359	0.00691391	0.0055443	0.00518809	0.00328469	0.0221802
é	0.00324819	0.000616178	7.22978e-05	0.000327372	0.000887028	0.0157066	0.0502427	0.0549969	0.0905993	0.665222	0.0289614	0.0154755	0.00681945	0.00440001	0.00421925	0.00510529	0.0531006
t	0.00497282	0.00164746	0.00127235	0.00444049	0.000523871	0.0169527	0.017325	0.0610154	0.161377	0.13397	0.3107	0.138833	0.0546061	0.0205023	0.0102243	0.00535192	0.0562851
s	0.00859824	0.00211041	0.000604966	0.00163634	7.54044e-05	0.0151617	0.0754407	0.0760242	0.132606	0.317041	0.178642	0.0715361	0.0330748	0.025044	0.0185221	0.00997319	0.0339082
í	0.000790074	2.32894e-05	3.44314e-05	0.000361054	0.000112792	0.00872505	0.0128224	0.0456124	0.110395	0.261724	0.222101	0.144056	0.0599091	0.036955	0.0228778	0.0176664	0.0558333
n	0.00135798	0.00125495	0.00114563	0.00188834	0.000939587	0.0160061	0.02262	0.0726976	0.138471	0.285505	0.215802	0.120966	0.0457598	0.0135035	0.00735632	0.0116358	0.04309
a	0.0289646	0.0206923	0.00582638	0.00758406	0.00411852	0.0121721	0.00247146	0.0143839	0.0802213	0.0374934	0.318047	0.112723	0.0503668	0.0180202	0.0214275	0.046883	0.218604
b	0.000939802	0.000100525	0.000168941	0.00263225	0.000506144	0.00529541	0.00397821	0.0205436	0.101466	0.0693814	0.439149	0.198623	0.0619181	0.0304491	0.0256589	0.0055444	0.0336462
á	0.00371616	0.00227726	0.00115749	0.00282549	0.000103468	0.0119239	0.0697997	0.04567	0.047466	0.191273	0.227383	0.165792	0.107418	0.0593971	0.017909	0.0198299	0.026058
a	0.001836	0.00178157	0.00159859	0.0029896	0.000121969	0.00463816	0.00794223	0.0120423	0.0223691	0.0329182	0.180479	0.306251	0.198785	0.0749234	0.026092	0.0366255	0.0886066
á	0.00102381	0.000279988	0.00048487	0.0059073	0.00187616	0.00604825	0.00323637	0.0107315	0.0206481	0.00596943	0.134438	0.308626	0.246065	0.132336	0.0403523	0.0159197	0.0660576
d	0.00135662	0.00012486	0.000262496	0.00351221	0.0107107	0.00466776	0.00254615	0.0063375	0.00704588	0.00837396	0.0168704	0.178704	0.300239	0.235336	0.0508391	0.0570486	0.116025
z	0.00164783	0.000312592	0.000286786	0.00333279	0.0515586	0.00417471	0.000602958	0.00295004	0.0069083	0.00450104	0.0405906	0.217726	0.265004	0.116501	0.0348444	0.0107262	0.238333
e	0.00438697	0.00113087	0.000765148	0.00637447	0.039752	0.00981673	0.000580636	0.00702264	0.0248753	0.012136	0.0827995	0.30535	0.198772	0.134633	0.0854369	0.00752165	0.0786464
b	0.000821299	0.000124704	4.91055e-05	0.000561905	0.000394154	0.00517808	0.0067265	0.0168622	0.0342883	0.0258631	0.0744307	0.109678	0.23783	0.176194	0.165447	0.0411148	0.104436
á	0.000568052	0.000881104	0.000957474	0.000853862	0.000344964	0.00976419	0.020128	0.0158034	0.0153098	0.0685883	0.0552956	0.121478	0.198306	0.133126	0.0520949	0.180468	0.126032
a	0.000247003	0.000120461	0.000382765	0.00168258	8.07219e-05	0.00437855	0.00285636	0.00602472	0.00820664	0.00747913	0.058713	0.0923265	0.201564	0.201729	0.14413	0.220978	0.0491014
s	0.000210463	0.000135601	0.000127829	0.000638572	0.000265176	0.000888943	0.0013361	0.00148713	0.00277931	0.00234083	0.00793186	0.0438496	0.127609	0.229336	0.0943808	0.131809	0.354873
a	0.000128027	3.49488e-05	2.24041e-05	0.00114555	0.00492352	0.00308711	0.00036014	0.0019404	0.00437582	0.00334016	0.0071348	0.0894487	0.199936	0.227881	0.102981	0.099885	0.253375
n	2.51272e-05	3.93902e-06	5.75027e-06	6.54288e-05	0.000300607	0.000567377	0.000185869	0.00206367	0.00478172	0.00195176	0.00718785	0.0346019	0.165795	0.167488	0.31148	0.0642068	0.239289
á	0.000360562	7.9681e-05	1.13367e-05	0.000170848	0.000357483	0.0022241	0.000161356	0.00170099	0.0146096	0.00213627	0.029463	0.111595	0.250792	0.179036	0.158883	0.0979612	0.150458
á	0.000765751	0.000129074	8.65793e-05	0.000337676	3.84379e-05	0.000947965	0.00150638	0.00245964	0.00707569	0.00444504	0.0306861	0.041417	0.0906723	0.144856	0.231254	0.143095	0.300227
l	0.00131371	0.000259587	0.00022812	0.00274545	0.00225807	0.00480685	0.00337485	0.00777873	0.00986244	0.00688825	0.0190702	0.0484371	0.144737	0.147152	0.18855	0.149035	0.263504
a	0.000348063	0.000104992	4.19332e-05	0.000790197	0.00119543	0.00257181	0.000823223	0.00329919	0.00497084	0.00186516	0.00808551	0.0282054	0.10651	0.185809	0.0961526	0.111134	0.448093
b	5.45601e-05	2.58275e-05	3.78825e-05	0.000298246	0.00015285	0.00143898	0.000854467	0.00296274	0.00432048	0.00156066	0.014326	0.0297299	0.0999014	0.127506	0.228674	0.231485	0.256671
o	0.000212407	0.000301325	0.00034868	0.000681588	7.64964e-05	0.0106707	0.013347	0.0121627	0.00810752	0.0180892	0.0328151	0.0574838	0.204035	0.158174	0.104893	0.342559	0.036042
ó	0.000146746	5.92289e-05	0.000197063	0.000560254	0.000494885	0.00258122	0.00218063	0.00614259	0.00477127	0.00652633	0.0061498	0.0419828	0.0764582	0.143884	0.075672	0.241583	0.39061
m	0.00060835	0.00012136	9.51019e-05	0.00124979	0.00118209	0.00567928	0.00238697	0.00998165	0.00904469	0.00159094	0.00487686	0.0130606	0.0713434	0.168733	0.205313	0.121389	0.383344
á	0.000351232	0.000104649	0.000289191	0.00183082	0.000749556	0.00277054	0.00141071	0.0134363	0.0106636	0.00185546	0.00321687	0.0240491	0.0616064	0.153609	0.317308	0.100353	0.306395
f	0.000831275	0.000248735	0.000327834	0.00192677	0.000287471	0.00514261	0.0041673	0.0110447	0.010194	0.00692739	0.0169045	0.0218016	0.0870072	0.112048	0.243438	0.228998	0.248705
i	0.000184173	9.0085e-05	0.000131639	0.000287658	4.98493e-05	0.00345126	0.0138624	0.0119028	0.0072179	0.033408	0.0190151	0.0407282	0.11787	0.154613	0.111371	0.194496	0.29132
a	9.08232e-05	2.91968e-05	3.50685e-05	0.000210851	0.000125031	0.00104749	0.0043002	0.00353677	0.00215956	0.0106663	0.00467647	0.0168088	0.0341122	0.0573871	0.0439337	0.0995099	0.721371
</S>	0.00104495	0.000125088	8.75487e-05	0.000858803	8.97111e-05	0.00235572	0.00388504	0.00515439	0.00787142	0.00642268	0.0248099	0.0436544	0.108212	0.134684	0.263406	0.154802	0.242537
