 	maman	nous	a	laissé	du	manioc	un	morceau	pour	moi	et	deux	pour	toi	</S>
u	0.00034157	0.0107093	0.00271563	0.0026916	0.042378	0.105478	0.246063	0.140522	0.20247	0.0313704	0.134247	0.0282461	0.009612	0.00216338	0.0409915
m	7.11168e-06	0.000655116	0.00318848	0.00202984	0.0216072	0.0198427	0.152157	0.178423	0.312356	0.0910159	0.142344	0.0400488	0.014785	0.00145582	0.0200855
b	0.000281753	0.00216567	0.000852103	0.000687665	0.0157274	0.00593669	0.113058	0.238905	0.276548	0.059015	0.115741	0.0370872	0.0507941	0.00469303	0.0785082
v	0.000422181	0.00136185	0.000610342	0.000729023	0.0157247	0.0131999	0.169735	0.288819	0.267821	0.0468687	0.14766	0.0218177	0.012173	0.006042	0.00701552
ú	0.000304402	0.000894898	0.000581043	0.00121739	0.00929281	0.00676625	0.0638431	0.33616	0.216458	0.0815273	0.148319	0.0495487	0.00870605	0.0119902	0.0643916
u	3.0568e-05	0.000149926	0.00155358	0.0027893	0.0261639	0.00947555	0.17768	0.262365	0.283689	0.0248773	0.113062	0.0383302	0.0305991	0.00264188	0.0265934
e	1.41967e-05	0.000367674	0.00181807	0.00069097	0.012572	0.0122603	0.0841508	0.0801279	0.200645	0.083109	0.316457	0.115863	0.0572931	0.00663156	0.0279993
p	5.68754e-05	0.000633596	0.00471889	0.00920371	0.0145558	0.0195921	0.0268221	0.0243455	0.0790245	0.0374552	0.28651	0.243432	0.19283	0.0240997	0.0367207
ω	7.29636e-05	0.000648419	0.00140075	0.00293125	0.0113559	0.0214913	0.0263343	0.0282772	0.058682	0.0137518	0.233785	0.326403	0.139938	0.0293067	0.105621
ώ	8.65139e-05	0.000641115	0.000671019	0.000363559	0.00839007	0.0311683	0.0794192	0.0940498	0.0777419	0.0709742	0.248158	0.166664	0.0847972	0.0297336	0.107142
y	6.01345e-06	0.00116238	0.00456034	0.00267336	0.00581349	0.00193847	0.0103931	0.0270355	0.0668852	0.0313756	0.146173	0.293762	0.279747	0.0380563	0.0904184
á	8.1768e-05	0.00264371	0.00846755	0.026906	0.0256055	0.0012365	0.0189244	0.0826596	0.111177	0.0874176	0.154727	0.124526	0.186355	0.0674482	0.101825
n	0.000784081	0.00425293	0.00217393	0.00118678	0.00623233	0.000473046	0.00389582	0.0119828	0.0551729	0.169221	0.160023	0.11399	0.206184	0.246866	0.0175603
g	8.05668e-05	0.00073643	0.000238493	0.000458506	0.00138486	6.02634e-05	0.00101075	0.0140437	0.0193469	0.532147	0.0595666	0.0505183	0.0210315	0.290157	0.00921909
á	0.000917269	0.000487193	0.000306159	0.000267999	0.000649909	4.2049e-05	0.000591253	0.00640026	0.00567974	0.772339	0.0304852	0.0169602	0.00539081	0.133618	0.0258645
a	1.49798e-05	0.000297927	0.000501841	0.000128416	0.0017204	0.00137426	0.00779805	0.01159	0.0417808	0.0507415	0.24271	0.190045	0.221311	0.128118	0.101868
m	1.00594e-05	0.000193303	0.00209782	0.00631658	0.00519729	0.00739731	0.00627674	0.00830899	0.0143154	0.00467756	0.0721117	0.265354	0.341797	0.186214	0.0797331
b	0.000132513	0.00208823	0.00523488	0.00867576	0.00899301	0.000623127	0.012887	0.0195557	0.0528434	0.0127752	0.0898294	0.0778306	0.34527	0.153874	0.209387
v	0.000181639	0.00272078	0.00130139	0.00294664	0.00522192	0.00248191	0.0258038	0.0900437	0.0729162	0.00451203	0.0909688	0.220611	0.126203	0.175642	0.178446
ú	6.90425e-05	0.000147708	0.000265554	0.000426296	0.00269271	0.00170362	0.0270423	0.0787454	0.0680784	0.00462785	0.110536	0.245818	0.0851001	0.062433	0.312314
u	0.000159757	0.000930364	0.00151593	0.00446703	0.0109216	0.000751246	0.0116803	0.0334184	0.0267768	0.00545052	0.0527361	0.139091	0.138578	0.0346772	0.538845
á	3.0329e-06	0.000166082	0.000382996	0.000286613	0.00252944	0.00108652	0.00631287	0.0100689	0.0204859	0.00567255	0.0505775	0.0894919	0.179859	0.0336696	0.599407
b	2.31353e-05	0.000427005	0.0107688	0.0456492	0.00933222	0.00534944	0.00711504	0.0105465	0.0175306	0.00423999	0.0329349	0.189299	0.277025	0.10956	0.2802
a	2.76588e-05	0.000641296	0.000722738	0.000908681	0.00155111	0.00437579	0.00316753	0.00386783	0.00972191	0.00258929	0.0316559	0.40495	0.24482	0.211619	0.0793811
á	1.72339e-05	0.000275401	0.000794868	0.00166579	0.00193601	0.00087617	0.00297377	0.00551081	0.0211748	0.0080138	0.0426132	0.154391	0.118413	0.0720684	0.569276
á	2.05833e-05	0.0031291	0.0129546	0.0106832	0.00534881	0.00137221	0.00674978	0.0128341	0.028154	0.00836293	0.0420178	0.104398	0.205318	0.136474	0.422183
n	9.47801e-05	0.00197363	0.015063	0.0982185	0.0215838	0.0103123	0.00784489	0.0122689	0.0145225	0.00545555	0.0218989	0.134819	0.269221	0.18895	0.197773
ω	9.1233e-05	0.000766215	0.00184218	0.00772976	0.00243745	8.88667e-05	0.00100446	0.00713495	0.00892397	0.0215855	0.0250674	0.0552252	0.0839849	0.482809	0.301309
</S>	2.0062e-06	0.000259124	0.000112266	0.000634121	0.000877827	0.000756716	0.00248024	0.0112145	0.0158929	0.0227143	0.0717089	0.127282	0.149098	0.228847	0.368121
