 	le	repas	que	tu	m'	as	donné	est	pourri	car	il	a	été	préparé	depuis	hier	</S>
á	0.00110898	0.000662185	0.00195717	0.00325496	0.0018088	0.00927402	0.0197439	0.0188929	0.0113755	0.0185543	0.0983727	0.225991	0.131279	0.271179	0.0637305	0.0167186	0.106096
l	0.000494283	0.000797175	0.00134314	0.000842679	0.000414288	0.00121427	0.0204644	0.0326435	0.0225977	0.0137651	0.0355873	0.112697	0.181725	0.387268	0.0310041	0.115641	0.0415004
á	0.000355508	0.000385843	0.00117369	0.00259879	0.00175968	0.00367168	0.0230697	0.033871	0.0241266	0.0195766	0.0344676	0.136768	0.168445	0.427006	0.00919268	0.0245694	0.0889626
m	5.66879e-05	3.046e-05	0.000272189	0.000511235	0.000348296	0.000924194	0.00498807	0.0159398	0.0176869	0.025322	0.0401645	0.112941	0.18261	0.357256	0.0313064	0.0583709	0.151271
b	0.000249664	7.97397e-05	0.000282818	0.000178938	0.000142287	0.000156968	0.00175533	0.0132881	0.046189	0.0320098	0.0386011	0.0648216	0.298705	0.251773	0.0416054	0.123661	0.0865014
i	0.000418028	0.000167596	0.000997245	0.00110719	0.000500315	0.00257203	0.00548141	0.019196	0.0342311	0.0707683	0.0603394	0.0801277	0.142991	0.127005	0.23956	0.0536147	0.160924
m	0.000273631	0.00010446	0.0011414	0.00144368	0.00191293	0.00332733	0.0022934	0.00413717	0.0105598	0.0435811	0.0804709	0.0843403	0.0586564	0.156984	0.376501	0.0894782	0.084794
á	0.00163227	0.00845476	0.00422389	0.00227723	0.000848253	0.00060898	0.000691076	0.00585067	0.0231042	0.0531722	0.0964655	0.0741113	0.10029	0.129697	0.188571	0.0707787	0.239223
p	0.000607686	0.000661249	0.00402653	0.00478863	0.00276735	0.0023426	0.00134998	0.00296783	0.00569324	0.0351049	0.0746665	0.0950954	0.0612972	0.111439	0.1241	0.364541	0.108552
ó	0.000244803	0.000900632	0.00112022	0.000444668	0.0005353	0.000327468	0.0010251	0.00230311	0.00593676	0.00585838	0.0166685	0.0473173	0.0638424	0.0473169	0.0464956	0.683437	0.0762261
a	1.59354e-05	2.29308e-05	6.12188e-05	5.07319e-05	8.36565e-05	8.25434e-05	0.000243347	0.00087844	0.00420648	0.00377117	0.00876923	0.014102	0.0340459	0.0190618	0.0467073	0.620186	0.247711
</S>	0.000659962	0.000165197	0.00245259	0.00124136	0.00190881	0.00207133	0.00459537	0.00659059	0.00786486	0.0127709	0.0318952	0.0565748	0.0236072	0.0758573	0.19409	0.180631	0.397024
