 	c'	est	l'	oncle	d'	adoua	qui	a	érigé	les	murs	de	cette	maison	en	terre	battue	</S>
n	0.00151061	0.00187666	0.0212089	0.00216255	0.0357016	0.139259	0.0891794	0.0459558	0.00417386	0.0386834	0.00736169	0.0856002	0.123381	0.0513064	0.160322	0.108062	0.0518965	0.0323581
g	0.000328111	0.00127788	0.0026183	0.00154679	0.0103688	0.00277735	0.0107919	0.0108642	0.00147962	0.0114479	0.0119869	0.0661675	0.0730315	0.0611874	0.186401	0.428887	0.0146056	0.104232
ó	0.000278246	0.000523284	0.00617865	0.0207174	0.00498169	0.000993169	0.00878124	0.00672456	0.000318278	0.00106647	0.00920846	0.0213708	0.0410324	0.0974247	0.0803547	0.645291	0.00417945	0.0505758
l	4.47342e-05	0.000195306	0.00194965	0.0111118	0.00551682	0.00361682	0.0101306	0.00476031	0.000424149	0.00481851	0.00918123	0.038355	0.0729788	0.0381226	0.157006	0.559234	0.0125481	0.0700058
ó	0.000666706	0.00208897	0.00212397	0.00243153	0.00935786	0.011213	0.0147222	0.00762747	0.000606827	0.0107109	0.0114468	0.0557387	0.0612382	0.0313073	0.192173	0.396476	0.0543299	0.135741
m	0.000200384	0.000722795	0.000865613	0.00163048	0.0115204	0.0069722	0.0104478	0.00388793	0.000240023	0.00733343	0.00316906	0.0704202	0.0596811	0.0214444	0.205575	0.103569	0.0691863	0.423133
i	0.0246727	0.0145764	0.00300456	0.000825898	0.0236356	0.00653812	0.0570898	0.00519953	0.000638719	0.00573809	0.00158255	0.050259	0.0777005	0.00280363	0.241646	0.0840314	0.17071	0.229348
y	0.000273377	0.0013583	0.000586217	0.000245719	0.00564445	0.00480976	0.00698307	0.00229764	0.000273966	0.00216567	0.00124551	0.0198085	0.0196777	0.00311705	0.114221	0.0263262	0.238088	0.552878
a	0.00164563	0.00497376	0.00445635	0.000778437	0.00550795	0.00369353	0.0265759	0.00870886	0.000654971	0.00314798	0.00200464	0.0407806	0.0625048	0.013774	0.10364	0.156505	0.345257	0.215391
a	0.00192666	0.00222035	0.00876941	0.000847564	0.00456914	0.00302342	0.0297209	0.00340699	0.000708197	0.00331068	0.00125876	0.0265827	0.0692923	0.00987992	0.129296	0.0506026	0.194206	0.460378
d	0.000145525	0.000821226	0.000958	0.00028035	0.00659653	0.00461375	0.00279938	0.00199247	0.000482327	0.00261455	0.000559153	0.0168502	0.016108	0.00279815	0.0860935	0.0120039	0.260819	0.583464
u	0.000917723	0.00146975	0.000564215	0.000131609	0.00448719	0.00150216	0.00341638	0.00361371	0.00108481	0.00160603	0.000419121	0.0115819	0.00741469	0.0017572	0.0616187	0.0158599	0.047233	0.835322
a	0.00121479	0.000789052	0.000287856	2.11073e-05	0.00796898	0.012294	0.0190532	0.00288426	0.000705193	0.0025254	0.000358405	0.0233483	0.019122	0.0024268	0.0872895	0.015944	0.125099	0.678668
</S>	0.000741545	0.00276012	0.0062135	0.000794289	0.0263304	0.0221518	0.0157999	0.00601218	0.00187447	0.0057858	0.000821011	0.020319	0.0277572	0.00764741	0.102284	0.00634842	0.103218	0.643141
