 	le	feuillage	des	arbres	est	encore	couvert	de	rosée	attends	que	le	soleil	brille	pour	qu'	on	puisse	partir	</S>
á	0.00629338	0.00308232	0.00730239	0.0069193	0.00541082	0.00257024	0.0523152	0.214653	0.091945	0.435186	0.071355	0.0380461	0.047555	0.00275303	0.00283156	0.0013341	0.00289791	0.000416427	0.000252312	0.00688089
á	0.00134806	0.000638756	0.00504358	0.0027495	0.00734593	0.00689387	0.00802175	0.0136148	0.00398372	0.00801549	0.34627	0.303806	0.154387	0.0466427	0.0300416	0.0206511	0.0128195	0.0121848	0.00265042	0.0128909
m	0.00338916	0.0011901	0.00581998	0.00235285	0.00828932	0.0150267	0.0064414	0.00378232	0.00207515	0.00399051	0.148648	0.291813	0.150948	0.266537	0.0240403	0.0104775	0.00898725	0.0299836	0.0112887	0.0049195
w	0.00296154	0.000577099	0.0115589	0.000731684	0.00397865	0.00134359	0.00534277	0.0196587	0.0243958	0.00239909	0.0440266	0.232331	0.36457	0.0631443	0.0439157	0.0131386	0.0100753	0.0388592	0.102131	0.0148608
é	0.000295241	1.25905e-05	0.000149167	3.55658e-05	7.08073e-05	2.51468e-05	0.00026507	0.00306268	0.0429344	0.00397401	0.00356774	0.0300281	0.862416	0.00656983	0.0208452	0.00332758	0.00332412	0.00539481	0.0120286	0.00167309
s	0.0011133	0.000350011	0.00109994	0.00126699	0.00129684	0.00112365	0.0245523	0.0671364	0.0527512	0.0188415	0.0331592	0.29557	0.317409	0.0592445	0.0354207	0.0120309	0.00617177	0.0269885	0.0356407	0.00883199
é	0.00167912	0.00064812	0.0015033	0.000588449	0.00147906	0.00123681	0.00229403	0.0104703	0.0102223	0.00768369	0.0435248	0.169629	0.593004	0.0178927	0.0530783	0.0257021	0.0204512	0.00690344	0.0188434	0.0131664
ó	0.00220987	0.000350199	0.00382428	0.000832435	0.0033596	0.00153053	0.00369884	0.00788261	0.00116654	0.00294087	0.108831	0.114822	0.0545993	0.095905	0.121842	0.0838119	0.134707	0.146424	0.0217091	0.0895526
b	0.00113255	0.000559119	0.00547609	0.00198923	0.00674819	0.00873355	0.00849304	0.00459714	0.00161853	0.00235995	0.044032	0.069736	0.0289553	0.389261	0.0514039	0.0262977	0.021372	0.231216	0.0826033	0.0134154
á	0.000100831	0.000167997	0.00252267	0.00435982	0.00426802	0.0022733	0.0054729	0.00320695	0.00135256	0.0073535	0.0155169	0.0447658	0.0168966	0.656597	0.0228935	0.01305	0.00489538	0.143948	0.025652	0.0247058
l	9.81449e-05	0.000122321	0.00121546	0.00116719	0.00148423	0.00135736	0.000456995	0.00101701	0.000495129	0.00202857	0.0167982	0.0184595	0.00881532	0.35123	0.0287475	0.0348833	0.0109599	0.0409749	0.111129	0.368559
a	7.40351e-05	0.000250059	0.000240707	0.000801495	0.000465535	0.000660767	0.0014671	0.00238149	0.000385615	0.00227733	0.036699	0.056211	0.0104745	0.148536	0.216224	0.223615	0.0780062	0.0376295	0.0145643	0.169037
b	9.08666e-05	2.04854e-05	0.000398594	0.000139219	0.000385549	0.000193329	0.000481235	0.00110021	0.000349412	0.000711374	0.014909	0.0167362	0.00277783	0.033876	0.121605	0.0996747	0.109186	0.234057	0.108278	0.25503
a	0.000713876	0.000484584	0.014654	0.0204495	0.016443	0.00362284	0.00193136	0.00332196	0.000735065	0.0176877	0.045627	0.0408789	0.0110827	0.387369	0.0939747	0.0852143	0.0611569	0.133893	0.0379637	0.0227953
á	0.000761952	0.000284721	0.00839848	0.00899258	0.0045249	0.00110848	0.000880509	0.00458063	0.000812515	0.00649024	0.0101987	0.0184975	0.00492938	0.127604	0.0507997	0.0727168	0.107073	0.128434	0.200117	0.242795
l	0.000583558	9.99009e-05	0.00148068	0.000642462	0.00155756	0.00143808	0.00279843	0.00232909	0.000367322	0.000617309	0.0180498	0.0110607	0.00386149	0.041033	0.03261	0.0223642	0.149056	0.329331	0.0816743	0.299045
é	0.000474266	0.000196259	0.00405965	0.000471363	0.00468059	0.00336601	0.00592912	0.00488949	0.000467734	0.00148773	0.0209007	0.0150215	0.00384662	0.053216	0.0499746	0.0339357	0.0401878	0.142405	0.26918	0.34531
d	6.82262e-05	2.44864e-05	0.00133752	0.000496111	0.00146621	0.000653581	0.00118777	0.00317627	0.000384186	0.00153867	0.00830705	0.01352	0.00186165	0.0139529	0.0606011	0.0553435	0.0921167	0.173826	0.32264	0.247498
z	4.78016e-05	2.26519e-05	0.000343202	3.45201e-05	0.000459574	0.000953428	0.000734735	0.00112873	0.000746342	9.46548e-05	0.00120543	0.00351942	0.00547778	0.0312013	0.031085	0.00978692	0.00811514	0.0155675	0.598346	0.291129
w	9.65581e-05	2.59886e-05	0.000195139	2.36869e-05	0.000159062	0.000235921	0.000249876	0.000985671	0.00171267	7.00874e-05	0.000546987	0.0060083	0.0100815	0.00304225	0.042946	0.0132307	0.00195913	0.00249955	0.875059	0.0408715
a	0.000271652	1.07364e-05	0.000165276	5.98018e-05	0.000123128	0.000151704	0.00036834	0.00190376	0.00225035	0.000137882	0.00244358	0.0248066	0.0269239	0.006545	0.128748	0.069785	0.00944913	0.0138689	0.620096	0.0918915
</S>	5.72431e-05	3.27619e-06	4.55209e-05	5.89184e-05	4.30402e-05	3.44066e-05	0.000110556	0.000572946	0.000351033	4.25386e-05	0.000848243	0.0105778	0.00631679	0.00437441	0.0403054	0.0380888	0.011903	0.0119321	0.194828	0.679507
