 	lorsqu'	on	l'	a	poussé	il	n'	est	pas	tombé	parce	qu'	il	s'	est	appuyé	contre	le	mur	</S>
a	0.00049266	0.00461529	0.0104352	0.0114007	0.00639693	0.0512216	0.0708262	0.0518732	0.0474009	0.103463	0.217212	0.222387	0.131376	0.0291187	0.013806	0.00326036	0.00594067	0.0045412	0.00396246	0.01027
w	0.00475746	0.00628128	0.0115677	0.0261049	0.0579015	0.0934854	0.20362	0.166541	0.0957539	0.103863	0.0568012	0.0429168	0.0341284	0.0289793	0.0159192	0.0108889	0.00921867	0.00259798	0.00288677	0.0257867
a	0.000992714	0.00578415	0.0128329	0.0178817	0.0319349	0.0348921	0.0324838	0.0403987	0.0387514	0.07719	0.198901	0.08141	0.104561	0.104107	0.063122	0.0276857	0.0650831	0.0172425	0.00812949	0.0366155
w	0.000729456	0.00118787	0.008602	0.012264	0.0130744	0.0821052	0.0978905	0.112453	0.0953265	0.112485	0.13883	0.11278	0.0665689	0.0423047	0.0229478	0.00961193	0.0144462	0.00920535	0.00290382	0.0442832
a	0.00156399	0.00216454	0.00662542	0.00967804	0.0100464	0.0426203	0.0291804	0.0326445	0.0361282	0.054228	0.0938005	0.262971	0.125179	0.0943678	0.0497331	0.0129192	0.0407209	0.0564821	0.0188695	0.0200776
á	0.00147059	0.00139855	0.00847408	0.0077435	0.00106894	0.0230226	0.0641201	0.108545	0.136057	0.092258	0.0575083	0.15422	0.155498	0.114797	0.0358486	0.0131608	0.00709995	0.00522672	0.000803487	0.0116795
d	0.00409698	0.00399653	0.0100016	0.011729	0.0294269	0.00538026	0.0207075	0.0559683	0.0820362	0.081812	0.0218265	0.0125133	0.0402755	0.19797	0.143187	0.197784	0.0487146	0.00630581	0.00286415	0.0234044
z	0.00205381	0.00184196	0.00471586	0.00382729	0.00335171	0.00862512	0.0432566	0.0947211	0.100491	0.0679452	0.0156091	0.0156577	0.0358319	0.125005	0.143778	0.227581	0.0460523	0.00859549	0.00246233	0.048598
e	0.00460023	0.00257862	0.0102097	0.0120586	0.00126752	0.022187	0.0561773	0.104605	0.169893	0.0450792	0.0492117	0.0291262	0.0667594	0.139621	0.0956613	0.0946109	0.0703538	0.0134921	0.000589507	0.0119179
o	0.000584249	0.000556309	0.00559818	0.00469747	0.000963074	0.0126201	0.0415873	0.0754752	0.132427	0.0898567	0.0268413	0.0526503	0.0805052	0.13809	0.150483	0.120927	0.0373479	0.0146303	0.00494099	0.00921946
b	0.000803483	0.0012231	0.00151828	0.000815347	0.011082	0.00118593	0.00340157	0.0100968	0.0359479	0.052636	0.0284882	0.0124534	0.0335491	0.199079	0.185016	0.171234	0.204335	0.0192446	0.014604	0.0132858
v	0.002057	0.00277404	0.00374036	0.00507447	0.00951417	0.00566227	0.0065185	0.0181666	0.0555342	0.185508	0.0768255	0.00942528	0.0323118	0.0883791	0.119252	0.162055	0.155222	0.00951089	0.0132994	0.0391685
a	0.00127661	0.000925594	0.00270453	0.00181827	0.00770766	0.00340068	0.00814176	0.0214238	0.0382919	0.106582	0.0496483	0.0128651	0.0281263	0.131519	0.119104	0.134267	0.26064	0.0213902	0.0302408	0.0199251
k	0.000536576	0.000475887	0.00112623	0.000384269	0.000515309	0.00147319	0.0116329	0.0322042	0.0641103	0.0589017	0.0200371	0.0179871	0.0288806	0.0771264	0.222831	0.155931	0.109762	0.0342052	0.0287699	0.133109
a	5.25805e-05	0.000207181	0.000300617	0.000161578	0.00225945	0.000628516	0.00306353	0.0093788	0.0373652	0.0439156	0.0222641	0.0151651	0.00913521	0.052771	0.187193	0.116988	0.393062	0.0219467	0.043454	0.0406878
á	8.58554e-05	0.000131023	0.000122996	5.56186e-05	0.0013778	0.00041164	0.00323563	0.00906599	0.0205619	0.0615603	0.0384171	0.0277049	0.0242846	0.0435285	0.118932	0.259885	0.305025	0.0193806	0.0328213	0.0334125
t	0.000218146	0.000230453	0.000832209	0.00113957	0.000941679	0.00488811	0.00595409	0.00891486	0.00844899	0.0104996	0.00599321	0.0216546	0.0452798	0.0637514	0.191331	0.19097	0.18538	0.13208	0.0208069	0.100685
s	0.000146716	0.00066639	0.00152579	0.00100646	0.00449338	0.00335916	0.00636652	0.0111374	0.0204827	0.0251437	0.0148178	0.0214036	0.0180741	0.0430216	0.108321	0.0595778	0.261933	0.135627	0.152909	0.109988
í	4.26188e-05	8.40992e-05	0.000445844	0.000169456	0.000408247	0.000649178	0.00157999	0.00451184	0.0120232	0.022034	0.0125266	0.0193355	0.0174219	0.0495483	0.152981	0.322474	0.206236	0.0570589	0.0883521	0.032117
n	0.000531693	0.00143927	0.00208446	0.000668025	0.000429611	0.0010074	0.00324612	0.00844323	0.0207939	0.0481385	0.0453448	0.0371565	0.0504006	0.0525244	0.113134	0.19786	0.203454	0.0480832	0.106785	0.058474
a	0.00163042	0.00743903	0.0124895	0.00971306	0.000369607	0.00445417	0.00181671	0.00303227	0.00460306	0.00831541	0.0261204	0.0201162	0.0577641	0.0524827	0.152212	0.283276	0.147953	0.0453481	0.0193604	0.141504
á	0.000279945	0.00019511	0.00197126	0.00129034	0.000305423	0.00270754	0.00392582	0.00636497	0.0107445	0.00813118	0.005489	0.0160804	0.031073	0.053363	0.152202	0.129378	0.213472	0.218232	0.0168237	0.127971
s	0.00083566	0.000617942	0.0030824	0.00373815	0.0048239	0.00231969	0.00423545	0.00677173	0.00547386	0.00659092	0.00168443	0.00193599	0.00511008	0.0253871	0.0976812	0.213245	0.198704	0.173224	0.0833385	0.161199
i	0.000356113	0.000454649	0.00184858	0.00175795	0.000266807	0.00045217	0.00100182	0.00276637	0.00496042	0.00559531	0.00182584	0.000470787	0.00382255	0.0193242	0.0939098	0.537845	0.0916435	0.0362161	0.0121538	0.183328
b	2.83881e-05	2.70633e-05	0.000200903	0.000186945	0.000152791	0.00114411	0.00329371	0.0148192	0.0398001	0.0229247	0.00575806	0.00230986	0.0058429	0.0284635	0.11178	0.185797	0.185642	0.220595	0.0271196	0.144114
h	4.83282e-05	0.000182179	0.000474587	0.000519317	0.000615303	0.00078528	0.00267647	0.00759982	0.0161884	0.0222222	0.00683251	0.00384485	0.00757565	0.0200882	0.097845	0.282943	0.222763	0.0972527	0.134761	0.0747815
i	2.56776e-05	3.12268e-05	0.000184321	7.12768e-05	0.000275603	0.00122704	0.00189863	0.00308874	0.00411482	0.00788503	0.00832125	0.0114075	0.0107526	0.0256699	0.0566	0.0352625	0.122551	0.0875656	0.148246	0.474821
m	4.63712e-05	7.00846e-05	0.000311912	0.0002747	0.000706874	0.00219027	0.00246655	0.00407734	0.00672142	0.00876018	0.0091233	0.0114843	0.0104122	0.0213798	0.0723071	0.0567008	0.18291	0.268316	0.178919	0.162822
é	0.000774612	0.0011321	0.000562995	0.000720598	0.000364492	0.00311062	0.00272088	0.00279302	0.00152126	0.00191031	0.00202055	0.00254807	0.0104919	0.00759839	0.0122446	0.00292268	0.0202272	0.357394	0.330149	0.238793
b	8.95577e-05	7.58982e-05	0.000386468	0.000300882	0.000114284	0.000754896	0.000890236	0.00128993	0.00201213	0.00226108	0.00242308	0.00458273	0.00736736	0.00969813	0.0260106	0.0104582	0.0534919	0.15276	0.552503	0.17253
a	0.000151697	0.00045861	0.00140531	0.00109955	0.000492998	0.000417644	0.000683412	0.000890488	0.00113071	0.00169808	0.000849391	0.000643474	0.00103401	0.00269673	0.00889711	0.00991556	0.0439727	0.0794697	0.81764	0.0264522
á	2.0832e-05	5.12658e-05	0.000198516	6.43441e-05	4.98381e-05	0.000175914	0.000375773	0.000625792	0.000901557	0.00185631	0.00244565	0.00280946	0.00367326	0.00444654	0.0180866	0.016452	0.0340825	0.0603258	0.773594	0.0797642
</S>	0.000273169	0.000340219	0.00153381	0.00142189	0.000353527	0.00383307	0.00396552	0.00409589	0.00305139	0.00332361	0.00319081	0.0102376	0.0141912	0.0129317	0.0332876	0.0322051	0.0191235	0.148375	0.163217	0.541049
