 	avant	de	mourir	jésus	lança	une	parole	"	tout	est	accompli	"	</S>
p	0.000170774	0.0321115	0.157992	0.142164	0.131034	0.175263	0.153086	0.143551	0.0246175	0.0134313	0.00576195	0.00676704	0.0140499
f	0.000151985	0.0165106	0.0696018	0.0247325	0.384213	0.137334	0.0752222	0.0407784	0.105502	0.05734	0.0384192	0.0155474	0.0346472
e	0.000930334	0.0123216	0.0174845	0.0500377	0.390934	0.163513	0.112479	0.0476175	0.082949	0.0512105	0.031523	0.0104587	0.0285411
e	0.000160989	0.00471505	0.0096713	0.0418378	0.525032	0.130855	0.0905023	0.0529222	0.051484	0.0271195	0.0154756	0.00798472	0.0422404
s	4.83361e-05	0.00695274	0.0284839	0.0421682	0.0374406	0.201459	0.129609	0.366068	0.114944	0.0464065	0.00991488	0.00450241	0.0120018
í	0.000113608	0.005997	0.00727757	0.0304208	0.0263423	0.12557	0.438567	0.25002	0.0368156	0.016842	0.00315218	0.0258655	0.033016
e	5.08719e-05	0.00192947	0.00689017	0.0414849	0.0214132	0.111896	0.0973243	0.472994	0.137469	0.0479245	0.0230926	0.00990265	0.0276285
w	0.000467466	0.002585	0.0122452	0.00644759	0.0201908	0.0261067	0.0223909	0.210923	0.481481	0.127575	0.0440973	0.020278	0.0252116
ó	0.000244634	0.00242183	0.00277236	0.00737472	0.0237562	0.0208913	0.045889	0.109915	0.399682	0.120979	0.105795	0.0617925	0.0984876
l	3.18193e-05	0.00182233	0.00643677	0.0290925	0.0883973	0.0442475	0.0635064	0.173838	0.351771	0.092645	0.0619901	0.0119839	0.0742379
á	5.67773e-05	0.00255102	0.00601876	0.0105425	0.0725185	0.0572609	0.0453821	0.109614	0.353899	0.130607	0.106565	0.0206703	0.0843149
w	4.01626e-05	0.00195023	0.00271296	0.012834	0.00958272	0.0218531	0.0243016	0.216741	0.195658	0.208001	0.242901	0.02475	0.0386743
á	0.000324481	0.00301969	0.00752805	0.0101418	0.00926744	0.0911563	0.0513846	0.105677	0.253658	0.166819	0.178802	0.035332	0.0868886
r	0.0002803	0.00162774	0.00183006	0.00894928	0.00613674	0.0108665	0.0100953	0.0497655	0.132512	0.167304	0.43119	0.07863	0.100813
e	0.00011253	0.000887019	0.00163747	0.00469368	0.00189127	0.0162337	0.0378257	0.172793	0.174521	0.124062	0.0688876	0.261243	0.135212
é	2.01294e-06	0.000584242	0.00209463	0.00372607	0.00238922	0.0237421	0.0215324	0.166884	0.263727	0.169814	0.0957517	0.0808193	0.168933
t	9.46847e-05	0.00291951	0.00758597	0.0069362	0.00422267	0.00730355	0.00262369	0.0296503	0.119986	0.273051	0.318278	0.114385	0.112963
s	1.14682e-05	0.000373429	0.000490695	0.000718944	0.00688615	0.00312113	0.000603327	0.00370621	0.118699	0.167526	0.564282	0.0341293	0.0994528
ω	1.99074e-05	0.000892552	0.000579493	0.00211354	0.00878586	0.0107456	0.00410694	0.00991885	0.0997871	0.146109	0.618631	0.0346372	0.0636735
é	1.07212e-05	0.000853694	0.000476132	0.000729392	0.00500737	0.00933167	0.0040493	0.0194408	0.0688185	0.138217	0.240545	0.139055	0.373466
m	4.90711e-05	0.00194793	0.00699871	0.00659649	0.00165353	0.00440237	0.00315931	0.0360168	0.0668879	0.161027	0.182146	0.150833	0.378281
i	0.000182848	0.00623829	0.0127124	0.100663	0.00299238	0.0145069	0.0127115	0.0381678	0.0244123	0.158836	0.0176511	0.185376	0.42555
s	0.000343594	0.00132563	0.00297615	0.00334263	0.00142871	0.00219757	0.00137251	0.0056677	0.0237519	0.100343	0.0581718	0.221485	0.577594
á	5.42581e-05	0.00013794	0.000615075	0.0103255	0.00431617	0.0012433	0.00283202	0.00452996	0.044063	0.0911951	0.0941668	0.240618	0.505902
á	3.12851e-05	0.000229313	0.000378635	0.00793153	0.00441635	0.00197137	0.00104162	0.003886	0.0431234	0.0914787	0.226533	0.104961	0.514018
o	9.88926e-05	0.00239727	0.00598372	0.0113229	0.00833186	0.0125519	0.0119816	0.0226762	0.0470477	0.111106	0.212065	0.353672	0.200765
k	0.000380794	0.00147663	0.00240141	0.00381142	0.002632	0.0019621	0.00111627	0.00332773	0.0128631	0.0387379	0.0642511	0.525555	0.341485
y	0.00176998	0.0010661	0.000570938	0.000560985	0.00584154	0.00225861	0.000600351	0.00101433	0.0244016	0.0569138	0.439978	0.146589	0.318434
e	0.00520882	0.00223517	0.000384196	0.00143131	0.0101471	0.00598562	0.00313628	0.00473798	0.0425528	0.092055	0.21983	0.327416	0.28488
e	6.42119e-05	0.0022713	0.000406326	0.00165251	0.00954778	0.00517907	0.00339755	0.0063759	0.0205954	0.0820002	0.0560006	0.332828	0.479682
m	0.000113364	0.00282295	0.0019298	0.00227341	0.00260863	0.00612314	0.00186267	0.00989125	0.0207204	0.0638721	0.0232205	0.31889	0.545672
a	5.53176e-05	0.00150027	0.00410987	0.0514475	0.00306699	0.0139136	0.012724	0.00905376	0.00695163	0.0633764	0.00442939	0.182132	0.647239
</S>	0.000383282	0.000943486	0.000898178	0.00306731	0.00212034	0.00395939	0.00278681	0.00445212	0.0153082	0.0345099	0.052148	0.190418	0.689005
