 	l'	enfant	a	sali	l'	habit	avec	le	jus	de	de	tswiteke	</S>
a	0.000925491	0.000296554	0.00431182	0.000869572	0.0178952	0.0113584	0.115822	0.270271	0.258205	0.143488	0.142551	0.0162239	0.0177828
m	0.000119786	6.25015e-06	0.000647368	0.000550337	0.00161281	0.00968083	0.0608888	0.153574	0.202322	0.326883	0.168698	0.0176412	0.0573762
á	0.000838351	5.99395e-05	0.00185586	0.000418805	0.0038846	0.00174309	0.0478767	0.172185	0.505587	0.139435	0.0708559	0.00852185	0.0467382
l	0.000507379	0.000127783	0.00229428	0.00220271	0.0209357	0.0101082	0.0498048	0.14617	0.244537	0.166412	0.263508	0.0609994	0.0323936
e	0.00140702	1.8918e-05	0.000648696	0.00175982	0.00369941	0.009655	0.0305535	0.0685293	0.326475	0.239137	0.17593	0.0333731	0.108813
t	0.000158398	8.09574e-06	0.000356812	0.000365646	0.00268306	0.00534372	0.0354731	0.127946	0.228684	0.223532	0.148761	0.152316	0.0743716
s	0.000321212	1.8018e-05	0.00118921	0.000709794	0.00399273	0.00340982	0.0169851	0.0683401	0.0723723	0.0783623	0.0465465	0.671141	0.0366119
w	5.54127e-05	1.16386e-06	3.36516e-05	0.00258309	0.000666708	0.00251012	0.0143328	0.0454894	0.0450777	0.0385866	0.0277619	0.780488	0.0424133
í	0.000208139	3.82465e-06	5.80602e-05	0.00847356	0.00139306	0.00386304	0.0197252	0.0545805	0.0622861	0.0653882	0.0426274	0.649333	0.0920597
i	0.00134615	7.90408e-06	0.00020101	0.00212787	0.00145124	0.00143578	0.00700647	0.0231602	0.102212	0.0497302	0.0242846	0.348621	0.438416
</S>	0.000957822	6.53514e-06	0.00225977	0.00203942	0.00264672	0.00193084	0.00848729	0.021603	0.0350952	0.0968489	0.15954	0.0704917	0.598093
