 	pourquoi	t'	immisces-tu	dans	les	affaires	de	tes	petits	fils	au	moment	où	ils	ont	encore	un	père	</S>
ú	0.00131554	0.002804	0.00837305	0.0242283	0.175042	0.430878	0.310778	0.0115266	0.00458438	0.00245562	0.0101722	0.00707981	0.00358036	0.00012807	0.00139949	0.000891265	0.00091242	0.00108207	0.0027686
ω	0.000884655	0.00270846	0.00741882	0.0155866	0.160503	0.451496	0.288246	0.0323883	0.0133455	0.003443	0.00935702	0.00540194	0.00205246	0.000308048	0.00104694	0.00144966	0.00116587	0.000863072	0.00233493
y	0.00178187	0.00844716	0.00930523	0.0758497	0.156977	0.152883	0.242541	0.160984	0.0604244	0.0199331	0.0720864	0.00975518	0.00817124	0.00101217	0.00571663	0.0049404	0.00389796	0.000401967	0.004891
á	0.0129538	0.0292707	0.0162265	0.0220027	0.0846621	0.180965	0.28029	0.129844	0.0828235	0.0130691	0.0825965	0.0140494	0.0227637	0.000879007	0.00860174	0.0020346	0.00444975	0.00569911	0.00681936
n	0.00381706	0.0139926	0.00716657	0.0111711	0.0565685	0.0841328	0.145546	0.29765	0.223597	0.0263474	0.0578418	0.0233708	0.0199163	0.00992376	0.00551929	0.00233734	0.00381477	0.00372485	0.00356258
d	0.00408544	0.0168767	0.00282582	0.00418244	0.0263217	0.0318235	0.106652	0.475831	0.191375	0.0358197	0.0233868	0.0177667	0.0456892	0.00612782	0.00303681	0.00298185	0.00171292	0.000347275	0.00315804
a	0.00132103	0.0124072	0.00349582	0.00280959	0.0164754	0.0696039	0.1276	0.272109	0.225722	0.107376	0.0325815	0.053091	0.0451173	0.0051811	0.00335378	0.00298921	0.00264662	0.00341046	0.0127094
a	0.000162656	0.00151268	0.00467284	0.00858402	0.0218444	0.0386634	0.161731	0.168965	0.078339	0.0407863	0.158024	0.167663	0.0579469	0.00213687	0.0164899	0.0146702	0.00741247	0.00951723	0.0408775
t	0.0011909	0.00365903	0.00682367	0.0110088	0.017772	0.0229593	0.0609879	0.1239	0.112296	0.0864416	0.399032	0.0951273	0.0270829	0.00068853	0.0132894	0.00675859	0.00408608	0.00158074	0.00531521
s	0.00200968	0.00519434	0.0082833	0.00373348	0.0573027	0.149498	0.111819	0.0570252	0.0433997	0.0145911	0.241444	0.101184	0.0800573	0.00336141	0.030084	0.0102043	0.0190376	0.0369999	0.0247725
í	0.000207726	0.000449022	0.00171417	0.00336845	0.0170535	0.0220859	0.0580444	0.115076	0.0512778	0.032652	0.319502	0.131878	0.0870463	0.0101955	0.0345054	0.0397155	0.0266859	0.0118182	0.0367243
n	0.00121209	0.00582752	0.00600524	0.0176892	0.0202149	0.0163541	0.0556162	0.242504	0.0722332	0.0380588	0.252304	0.105642	0.0519762	0.0526498	0.00842003	0.0145588	0.00426697	0.00379378	0.0306734
a	0.00453792	0.0215427	0.00508971	0.00654824	0.00783346	0.020736	0.0414458	0.344264	0.167471	0.0529243	0.0701047	0.0503492	0.0928244	0.0154648	0.0126628	0.00646638	0.00692619	0.00948162	0.0633262
n	0.000870633	0.00230121	0.000904817	0.00172001	0.00568819	0.00928127	0.0213257	0.133178	0.162861	0.0445236	0.33239	0.077696	0.140224	0.0106368	0.0255805	0.00822225	0.0118433	0.00195896	0.00879357
d	0.00873751	0.0397343	0.00417383	0.00454827	0.00700212	0.0116122	0.0254512	0.222706	0.194889	0.0945259	0.0829528	0.0678374	0.176353	0.00689226	0.0120832	0.00582927	0.00553448	0.0017714	0.0273652
e	0.000208287	0.00300314	0.00151823	0.00113564	0.00390848	0.0123451	0.0281203	0.142622	0.128834	0.127795	0.137669	0.268084	0.114866	0.00292117	0.00558435	0.0049628	0.00336215	0.00208055	0.0109806
b	0.000336748	0.00350919	0.00461728	0.00698317	0.0142199	0.0297248	0.0712675	0.109606	0.0786697	0.0345651	0.219736	0.212037	0.12991	0.00239269	0.0338193	0.01502	0.0130607	0.00626568	0.0142596
á	0.00198028	0.00218453	0.00113886	0.00238508	0.0270933	0.073217	0.139379	0.205678	0.101461	0.0451399	0.159744	0.089301	0.0698759	0.00677317	0.0334184	0.0154973	0.00529106	0.002434	0.0180077
a	0.000497246	0.00283385	0.00113387	0.00330558	0.00729617	0.00497243	0.010094	0.0439191	0.0311533	0.00947837	0.1959	0.127976	0.205976	0.0540637	0.14546	0.0681326	0.0637882	0.00610283	0.0179165
m	0.000477114	0.00149721	0.00447295	0.0185346	0.00365315	0.00124118	0.0037092	0.0131322	0.011034	0.0180385	0.200659	0.315854	0.0698661	0.0192693	0.108464	0.130591	0.037365	0.00385123	0.0382904
b	0.000194198	0.000886963	0.000646678	0.0019489	0.00317983	0.00195167	0.00542697	0.0176769	0.0547443	0.182679	0.112851	0.276527	0.062184	0.0989142	0.079078	0.0620985	0.0158171	0.00542181	0.0177721
í	5.87367e-05	0.000185645	0.000703663	0.00169609	0.00221819	0.00181789	0.00479672	0.00900262	0.0146469	0.182625	0.0891166	0.579286	0.0353574	0.0178767	0.015067	0.0263026	0.0033553	0.0016688	0.0142188
á	4.45327e-05	0.000242198	0.000921157	0.00242879	0.00602016	0.00453092	0.00584783	0.0169253	0.0159316	0.0307296	0.146843	0.453371	0.0789873	0.0131834	0.0400824	0.0720953	0.0288319	0.00338073	0.0796032
s	0.000400946	0.000969923	0.000488001	0.00288483	0.00473908	0.00493975	0.0061307	0.0155444	0.0213151	0.0171171	0.0426899	0.0533319	0.203402	0.074979	0.271004	0.101578	0.141149	0.0154672	0.0218694
á	0.00040872	0.00315448	0.00126066	0.00952452	0.00408396	0.00152066	0.00631062	0.0342061	0.0170612	0.00599088	0.0943586	0.260918	0.185813	0.0481305	0.0968989	0.092485	0.0315657	0.0359347	0.0703734
a	0.000354582	0.0015662	0.000638038	0.00115784	0.00316031	0.00275757	0.00567097	0.0253586	0.040313	0.006978	0.030899	0.0714792	0.226182	0.235115	0.144056	0.036638	0.0619086	0.0973253	0.00844078
l	0.000148048	0.00101965	0.00189165	0.00520068	0.00275743	0.000735773	0.00212567	0.0048471	0.00453143	0.00585306	0.0397581	0.1785	0.0372308	0.0465693	0.132587	0.348424	0.0939217	0.0517739	0.0421241
a	0.000183521	0.00198608	0.00583779	0.0164446	0.00627371	0.0012854	0.00314885	0.00544227	0.00322062	0.00224687	0.0593455	0.185782	0.0385548	0.00690811	0.0774713	0.265282	0.0874437	0.11246	0.120683
t	1.29584e-05	0.000106321	0.000508238	0.000986945	0.00108313	0.000959081	0.00149337	0.0043887	0.00540592	0.00535636	0.0371405	0.165256	0.0497568	0.0184012	0.0627529	0.266837	0.0849127	0.114731	0.179911
á	3.46889e-05	0.000128492	0.000332647	0.000285632	0.000779806	0.00107666	0.00170007	0.00344996	0.00249404	0.000603733	0.0357297	0.0397862	0.04713	0.017125	0.103566	0.09051	0.166547	0.364954	0.123767
á	3.75445e-05	7.79676e-05	0.000123282	0.000222711	0.000381863	0.000635248	0.00131313	0.00222157	0.00219688	0.00084584	0.0147217	0.0120094	0.023966	0.0286868	0.0580287	0.047013	0.0793169	0.636472	0.0917295
</S>	0.000616718	0.00135329	0.000867471	0.0051372	0.00544362	0.0045139	0.00694889	0.0142924	0.0142372	0.00779026	0.0125725	0.00902481	0.04538	0.0368577	0.127881	0.125977	0.252868	0.152515	0.175722
