 	le	sorcier	connait	la	maison	du	fou	de	la	même	manière	qu'	un	pêcheur	connait	les	caches	des	poissons	</S>
ώ	0.0336719	0.0457057	0.508516	0.07719	0.0370545	0.0339106	0.0121121	0.008405	0.00758824	0.011142	0.0118997	0.0037759	0.0140723	0.0150273	0.0285659	0.0229143	0.0316788	0.0388951	0.00523494	0.0526394
n	0.0379106	0.00209559	0.10508	0.5119	0.124455	0.0629853	0.0176996	0.00610011	0.00334767	0.00306327	0.0228315	0.0301063	0.0299984	0.00282099	0.00222782	0.0144193	0.00169153	0.00644234	0.00680925	0.00801492
d	0.0112945	0.00150247	0.0332758	0.204572	0.517985	0.06221	0.0148238	0.0133132	0.022017	0.00875381	0.0159331	0.0269717	0.0299062	0.00128421	0.00160211	0.00378815	0.000588025	0.00406061	0.00281069	0.0233072
é	0.000735122	0.000268844	0.0146175	0.162992	0.739326	0.0216841	0.00601002	0.0023261	0.00442188	0.00194542	0.00727376	0.0075711	0.00701709	0.00104389	0.00160885	0.000823973	0.000653376	0.00188957	0.00110041	0.0166913
e	0.00365639	0.00149881	0.0183563	0.2647	0.302431	0.147526	0.0318657	0.00614876	0.00590634	0.00320746	0.0392877	0.06241	0.0745994	0.00505886	0.00350352	0.00389677	0.00150853	0.00572342	0.00248372	0.0162309
y	0.00349692	0.00109322	0.00601473	0.188787	0.135825	0.289202	0.103186	0.0351308	0.0122842	0.0182065	0.110991	0.0399598	0.036669	0.00570206	0.00163421	0.00547521	0.000691519	0.00184318	0.00103729	0.00276993
á	0.0068823	0.000792892	0.000890064	0.084659	0.0774556	0.228805	0.139787	0.123051	0.0873397	0.0637047	0.0796549	0.0424195	0.0464471	0.00407166	0.00207868	0.00359728	0.00161733	0.00228613	0.00115971	0.00330126
e	0.00519473	0.00196034	0.00106716	0.0849372	0.0964424	0.167524	0.176485	0.0387618	0.0291684	0.0184747	0.0605418	0.142728	0.118453	0.0143571	0.00597148	0.00556002	0.00783203	0.00666271	0.00961609	0.00826164
b	0.00131439	0.00342775	0.00555739	0.012544	0.0407555	0.0324693	0.129977	0.0356712	0.0259074	0.0154042	0.0105692	0.018344	0.0710923	0.446585	0.088989	0.00673133	0.0357218	0.0053553	0.0035642	0.010019
h	0.000682739	0.00265785	0.00661554	0.00457792	0.00406602	0.00767708	0.0364263	0.0117233	0.010608	0.00440217	0.00036909	0.000893026	0.0138342	0.714459	0.121382	0.00737894	0.02681	0.00182929	0.0132702	0.0103373
ó	0.00103897	0.00813815	0.0265092	0.00582945	0.00986506	0.00452999	0.0202288	0.00531417	0.00663553	0.00260598	0.000283214	0.000445077	0.00668361	0.62837	0.137589	0.00535932	0.0636037	0.00486345	0.0116048	0.0505032
a	0.00296015	0.00186	0.0118077	0.0357077	0.0555631	0.0390137	0.150389	0.0261759	0.0443333	0.0561769	0.0383105	0.00975209	0.0518949	0.138367	0.0382896	0.0193232	0.0909928	0.0411866	0.0242172	0.123679
n	0.00157469	0.00103333	0.00268941	0.0106674	0.0129525	0.0368131	0.0510557	0.0315191	0.0195848	0.0228208	0.0212792	0.106763	0.341006	0.15793	0.0384652	0.048432	0.0195122	0.0200351	0.00475974	0.0511072
d	0.0060712	0.0011661	0.00186545	0.0361237	0.393035	0.0579249	0.0261443	0.0301775	0.0567502	0.0280585	0.00916789	0.113806	0.145147	0.0145984	0.00949622	0.00772622	0.0020892	0.00691749	0.0029622	0.0507722
é	0.000433227	0.000198479	0.000412999	0.0182768	0.48296	0.0372414	0.0272206	0.0258591	0.0463249	0.022173	0.0134367	0.108948	0.127183	0.0229641	0.0152361	0.00294729	0.00221325	0.00390513	0.00132918	0.040737
n	0.000133551	0.000277976	0.000553262	0.0229822	0.0911747	0.065274	0.0331074	0.0259722	0.0348948	0.0278401	0.0376098	0.117859	0.308637	0.0715758	0.0805467	0.0184419	0.0136703	0.0152967	0.00136959	0.032783
g	0.00356818	0.00322962	0.00249321	0.0210336	0.134617	0.0671751	0.0439873	0.0665068	0.0676827	0.0478845	0.0266793	0.125203	0.254466	0.0533736	0.0287361	0.00751953	0.00434602	0.00474894	0.00101351	0.0357359
é	0.000807414	0.000593226	0.000759718	0.0193386	0.219733	0.0824347	0.0508093	0.0258005	0.039519	0.0281924	0.0655303	0.14694	0.210085	0.0326579	0.0221343	0.00448548	0.0058996	0.00771249	0.00281542	0.0337509
y	0.00069646	0.000255346	0.000419549	0.00698381	0.012637	0.0455066	0.028585	0.0501408	0.0398772	0.0492503	0.0304847	0.120881	0.255343	0.127936	0.0673364	0.0909653	0.0229955	0.0239611	0.00265463	0.02309
é	0.00282848	0.000594771	0.000234383	0.0130511	0.0170036	0.0706925	0.0328266	0.0964023	0.0936818	0.053973	0.0220853	0.204085	0.2444	0.0303618	0.0470079	0.0227836	0.0221412	0.0128838	0.00430526	0.0086572
é	0.00056341	0.000940378	0.000153536	0.00330373	0.00554611	0.0237752	0.0143763	0.0539944	0.0927256	0.11907	0.0275361	0.214868	0.190871	0.0330447	0.0419245	0.0503979	0.0466704	0.0331592	0.00466852	0.0424119
s	0.000225732	0.00169678	0.0010234	0.000935762	0.00149761	0.00196729	0.00273282	0.00233395	0.00252121	0.00259155	0.00023805	0.00303239	0.0490366	0.109033	0.387092	0.128425	0.200097	0.062528	0.00525835	0.0377327
ω	0.000295928	0.00112666	0.000650166	0.00342909	0.0113529	0.0020523	0.00331232	0.00207653	0.00603712	0.00204442	8.76505e-05	0.00279335	0.0630834	0.082489	0.565472	0.0543623	0.0737398	0.0377147	0.00771198	0.0801688
l	2.82782e-05	2.79721e-05	0.000123624	0.000633877	0.00155254	0.00172226	0.00452063	0.00151814	0.00395867	0.00459187	0.000639822	0.000749846	0.0157812	0.0600959	0.420882	0.0716587	0.303199	0.0629968	0.00306489	0.0422541
ώ	2.33934e-05	4.46998e-05	0.000105537	0.00068878	0.00223997	0.00461736	0.00344608	0.00481952	0.00606877	0.0183303	0.00348025	0.00382009	0.0120105	0.0949976	0.401143	0.0443566	0.272245	0.0536997	0.0028108	0.0710517
o	0.000320509	8.62679e-05	0.000267214	0.00120664	0.00197741	0.00280555	0.00291958	0.00472855	0.00722936	0.00851076	0.00269022	0.0342827	0.0555163	0.0310495	0.116959	0.222082	0.118436	0.184069	0.0477456	0.157117
t	0.000156803	0.00110878	0.00113785	0.00103428	0.00197071	0.00105779	0.00130868	0.00131745	0.00151719	0.00104979	0.000200832	0.00196877	0.0156964	0.0408805	0.282358	0.0897608	0.204804	0.159457	0.0604321	0.132782
o	1.67403e-05	0.000203546	0.000422841	0.000171515	0.000296511	0.00057363	0.000669509	0.000575875	0.000936715	0.00155104	0.000245243	0.000349084	0.00424209	0.0230144	0.236621	0.00692585	0.520884	0.089514	0.00803274	0.104754
í	6.15279e-05	0.000192755	0.000124618	0.00022496	0.000416192	0.000396158	0.000742192	0.000563327	0.000990567	0.00107777	0.000484443	0.000590383	0.00410561	0.0151112	0.148391	0.0059219	0.660115	0.0644165	0.00816093	0.0879122
i	0.000126509	9.47149e-05	0.000236492	0.00102706	0.000906203	0.00285018	0.00144324	0.00227575	0.00325771	0.00633402	0.00213506	0.0100999	0.026152	0.00702319	0.0499814	0.248698	0.0728669	0.337652	0.0712236	0.155615
d	0.000389678	0.000153028	0.000614121	0.00192205	0.00226034	0.00431601	0.00459262	0.00517806	0.00612519	0.0067175	0.0015796	0.00560884	0.0143457	0.0088248	0.026946	0.0938826	0.0456782	0.357796	0.0846369	0.328433
u	3.03679e-05	0.000253078	0.000266435	0.00154837	0.00387515	0.0023618	0.00298027	0.0050472	0.0157121	0.0083902	0.000420701	0.000969548	0.00581543	0.00573328	0.0379266	0.0492931	0.0196812	0.131087	0.0486694	0.659939
u	0.000116182	0.000210442	0.000106014	0.00196489	0.00357378	0.00505854	0.00423067	0.00620496	0.0117349	0.0117246	0.000238265	0.00366002	0.0230401	0.00430326	0.0308974	0.163695	0.0492022	0.225286	0.103367	0.351385
</S>	0.000248148	0.000102818	0.000213958	0.00112391	0.00155839	0.00318596	0.00172432	0.00302333	0.0039179	0.00611265	0.00177149	0.00923504	0.0191891	0.00393723	0.015613	0.125899	0.0313719	0.333243	0.0635742	0.374954
