 	il	avait	si	peur	d'	être	en	retard	qu'	il	arriva	en	avance	</S>
y	5.89836e-05	0.000766625	0.000942817	0.00045076	0.000857708	0.000609823	0.00512099	0.00715077	0.00662094	0.0175386	0.541668	0.241623	0.110692	0.0659001
a	2.58161e-05	0.000189144	0.000361062	0.000110217	0.000653021	7.74655e-05	0.00298111	0.0217402	0.0145825	0.0200354	0.722503	0.177004	0.0136333	0.026104
a	2.54987e-05	9.57309e-05	0.000148087	0.000120155	0.000285007	4.25954e-05	0.00130407	0.00275899	0.012268	0.0173658	0.59968	0.19059	0.00979731	0.165519
o	5.84476e-05	5.41186e-05	0.000241954	0.000561417	0.000480213	0.000452113	0.00234459	0.00187985	0.00621607	0.0110509	0.162855	0.324039	0.106343	0.383424
b	1.87305e-05	0.000187247	0.000445609	0.000321427	0.000675659	0.00027141	0.00658768	0.00316639	0.00617284	0.00610982	0.263452	0.483449	0.0324979	0.196644
o	4.15201e-05	0.000444645	0.00163866	0.00121253	0.00227278	0.00292207	0.00745737	0.0010423	0.00406	0.0106103	0.152048	0.301856	0.480264	0.0341293
s	5.90819e-05	0.000316413	0.000659685	0.000812832	0.00141949	0.000586224	0.00557121	0.00311712	0.00951293	0.0118376	0.239294	0.261573	0.387434	0.077806
ó	0.000216145	0.000613516	0.000623613	0.000694469	0.000910068	0.000332407	0.00384902	0.00479798	0.00954293	0.0117149	0.332513	0.236918	0.241544	0.15573
b	0.00109736	0.00117511	0.00204179	0.00675423	0.00372429	0.00295812	0.00612286	0.00189529	0.0203742	0.0236035	0.182102	0.279678	0.0454936	0.42298
i	0.00104733	0.00252491	0.0207284	0.0252185	0.00676505	0.0191305	0.0200595	0.00493744	0.0107009	0.0172211	0.0862174	0.368765	0.16653	0.250154
k	0.000373588	0.00205253	0.00234105	0.0156735	0.00343406	0.00270753	0.00446875	0.000834644	0.0053704	0.0140797	0.0807683	0.191194	0.0640174	0.612684
á	0.00138869	0.0040432	0.0130143	0.0129184	0.0063097	0.0110629	0.0118261	0.00800684	0.00681871	0.013531	0.0471224	0.167402	0.21096	0.485595
n	0.0010758	0.00188691	0.0028301	0.00884815	0.0025297	0.00542248	0.00567286	0.00289849	0.00613741	0.0186165	0.0806504	0.0939669	0.049377	0.720087
g	0.000667708	0.00133121	0.00408606	0.00244748	0.00324045	0.0012262	0.0076054	0.0245473	0.00859933	0.0210437	0.0934034	0.214802	0.03375	0.58325
a	0.000410532	0.00158148	0.00127673	0.00209772	0.00363262	0.000386083	0.00177488	0.00411965	0.00808062	0.0128184	0.402169	0.181026	0.0132207	0.367406
</S>	0.0023047	0.00275008	0.00262931	0.0122577	0.00792907	0.00350145	0.00720808	0.00262349	0.0172064	0.0146814	0.170207	0.386932	0.0257103	0.344059
