 	les	jeunes	gens	assassinent	les	vieillards	sous	prétexte	que	ceux-ci	sont	des	sorciers	</S>
ú	0.000937353	0.000647977	0.000166954	0.0150725	0.113705	0.540367	0.195788	0.0125514	0.0775607	0.0336355	0.00277996	0.00177616	0.00226206	0.00274877
w	0.000922312	0.000143065	0.000199413	0.00109805	0.0812597	0.0601416	0.434715	0.0483034	0.217889	0.0819153	0.0288794	0.028017	0.00199439	0.0145223
á	0.0059948	0.00770585	0.0035125	0.00174549	0.0387785	0.0212826	0.16576	0.0463556	0.296935	0.227053	0.11061	0.0414769	0.00363689	0.0291524
r	0.00447083	0.00221064	0.00146677	0.0138099	0.0120943	0.0465166	0.0603114	0.192949	0.104113	0.357435	0.109142	0.0570612	0.0258936	0.0125249
e	0.00695147	0.000535775	0.000260417	0.00137745	0.0125707	0.071463	0.160993	0.0622176	0.298452	0.264468	0.0477796	0.0416515	0.00755056	0.0237293
b	0.00363054	0.000284206	0.000177661	0.0012781	0.00946468	0.070326	0.140382	0.0713692	0.201062	0.208042	0.0831881	0.087029	0.0715092	0.0522567
í	0.00704466	0.00829745	0.00140192	0.000401179	0.0187881	0.00544969	0.0408017	0.0925291	0.135206	0.34143	0.171272	0.045801	0.020518	0.11106
a	0.00280657	0.000546481	0.00112995	0.000462603	0.00511079	0.00272983	0.0248719	0.155153	0.0330821	0.127875	0.169119	0.104447	0.226884	0.145782
í	0.0011646	0.000373431	0.000252229	0.00273109	0.00542948	0.00351741	0.0105042	0.0301086	0.0383057	0.0977445	0.196497	0.320566	0.0459277	0.246878
d	0.00651639	0.0037769	0.000889419	0.0124913	0.0239954	0.00543533	0.0126962	0.0216408	0.0293968	0.0514645	0.108815	0.439899	0.188702	0.0942805
i	0.00122482	0.00046485	5.63569e-05	0.00936849	0.0151295	0.0180233	0.011885	0.0228881	0.0246942	0.0634949	0.0659505	0.240768	0.321948	0.204103
a	0.000443649	0.000225434	7.87248e-05	0.00194274	0.0150645	0.00677898	0.0404441	0.0404988	0.0573664	0.102513	0.0962477	0.375191	0.124895	0.13831
n	0.00218857	0.000624553	0.000216768	0.00689091	0.00972366	0.00637992	0.00871637	0.0149905	0.0159008	0.030449	0.0501116	0.206745	0.248408	0.398655
d	0.0156964	0.00076251	0.000178024	0.00851515	0.00909559	0.0359162	0.00896291	0.00537765	0.0251419	0.0211038	0.0162873	0.0904549	0.600881	0.161627
z	0.00343928	0.000285289	0.000162859	0.00075728	0.00475093	0.0170899	0.00575249	0.00391864	0.0113548	0.00538771	0.00861782	0.0489333	0.796675	0.0928748
i	8.83366e-05	4.07498e-05	8.19799e-06	0.000860975	0.000830625	0.0132711	0.00601138	0.000946745	0.0130038	0.00636145	0.0041218	0.00688398	0.863325	0.0842458
m	0.000139268	8.81916e-05	3.52612e-05	0.00744873	0.00795315	0.0315556	0.0109883	0.00258003	0.0164361	0.0137693	0.00645799	0.00823405	0.526763	0.367551
b	0.000386737	0.000172741	0.000104358	0.000765448	0.00634333	0.0177755	0.120015	0.0127612	0.104353	0.101491	0.0792207	0.0982397	0.205927	0.252443
á	0.00504523	0.000833768	0.000339796	0.00276964	0.00882301	0.0127626	0.0422798	0.00818856	0.0723168	0.12261	0.0331989	0.0161585	0.209445	0.465229
</S>	0.00287651	0.000951982	0.000710289	0.0023638	0.00755855	0.00376381	0.0203525	0.00702737	0.0224169	0.0350835	0.0648525	0.162738	0.0717731	0.597532
