 	de	la	manière	qu'	elle	fait	goûter	ses	plats	aux	gens	ils	ne	coûtent	pas	cher	</S>
é	0.0348007	0.0109639	0.0264453	0.199574	0.421058	0.182021	0.0231938	0.0343118	0.0161302	0.0119056	0.00421494	0.00279441	0.00255755	0.00421985	0.00640157	0.00237636	0.0170304
m	0.00371625	0.00179084	0.0019478	0.0262537	0.0480053	0.143479	0.603429	0.0659391	0.0173746	0.0151605	0.00844327	0.00366957	0.00971443	0.00767503	0.00491576	0.00852609	0.0299601
a	0.00268813	0.00398535	0.00108173	0.00124881	0.0131957	0.0415195	0.730225	0.0836673	0.0657373	0.0342915	0.0126044	0.00240961	0.00181589	0.00125909	0.000684832	0.000112354	0.00347373
b	0.00197098	0.000814775	0.000390442	0.00302432	0.00874717	0.0595599	0.815262	0.0561927	0.0114978	0.0116707	0.00513474	0.0011989	0.00356255	0.00285975	0.00114461	0.000828375	0.0161406
í	0.0025177	0.00117719	0.0006512	0.00538314	0.0138852	0.204791	0.211383	0.173106	0.0788142	0.124977	0.0718153	0.0182897	0.0492782	0.0281295	0.00364519	0.00102425	0.0111336
s	0.000280994	0.000948069	0.00266245	0.0198665	0.0863131	0.151631	0.0777118	0.150718	0.197289	0.133039	0.094989	0.0292811	0.0138655	0.0126171	0.00478159	0.00207919	0.0219274
á	0.00378888	0.00163973	0.00355229	0.0382858	0.0888675	0.166216	0.0161397	0.189262	0.134539	0.176407	0.0589018	0.0365681	0.017686	0.0319297	0.014826	0.000879613	0.0205104
w	0.00138885	0.00118187	0.00917959	0.0298351	0.122017	0.0610512	0.00782418	0.209276	0.27475	0.166077	0.059554	0.0296431	0.0069334	0.00927247	0.00875281	0.000493761	0.00276933
á	0.00493126	0.00463367	0.00993769	0.0655513	0.202248	0.102116	0.00343765	0.0884211	0.116891	0.100593	0.0846851	0.0979031	0.0496716	0.0424338	0.0196581	0.000405122	0.00648167
b	0.00254328	0.00205508	0.00175467	0.00669784	0.0427401	0.0157552	0.000338397	0.0891162	0.333225	0.206509	0.134433	0.109326	0.0168579	0.0197792	0.00805551	0.000120388	0.0106922
a	0.000284125	0.000331351	8.80669e-05	0.00134617	0.00656759	0.00710713	0.0155357	0.0317287	0.54404	0.0950273	0.0904702	0.189211	0.00889383	0.00741899	0.00041541	0.000722425	0.000812452
r	0.000149481	0.000317235	0.000189195	0.000500194	0.00567822	0.00564652	0.00101236	0.0260573	0.418603	0.163391	0.177212	0.188934	0.0044522	0.00659471	0.000804791	1.64513e-05	0.00044053
e	0.00892731	0.00482704	0.00250775	0.00421017	0.0285866	0.0246845	0.00359783	0.0867307	0.313695	0.215826	0.139741	0.123439	0.00580756	0.00696826	0.00816964	4.25559e-05	0.0222398
b	0.000298476	0.000276878	0.00137744	0.00392065	0.011991	0.0268307	0.00322597	0.169224	0.0655269	0.230379	0.235913	0.0874586	0.0503418	0.0702178	0.0341386	0.000695027	0.00818312
e	0.0030408	0.00603318	0.00184465	0.00685206	0.018835	0.0290265	0.00225234	0.071149	0.18622	0.158991	0.14929	0.156549	0.0914102	0.0844394	0.0262774	0.000323382	0.00746577
a	0.000496127	0.00187976	0.00181581	0.00254295	0.00906453	0.00946799	0.000203533	0.077237	0.0943032	0.111387	0.125187	0.199579	0.134264	0.13398	0.0777501	0.000951026	0.0198915
y	0.0011549	0.0011019	0.003589	0.00535277	0.00176492	0.00643921	0.00382694	0.0504961	0.0215818	0.0434937	0.0579008	0.0534625	0.233437	0.291852	0.126158	0.0306355	0.067753
é	0.000618882	0.00420896	0.00204045	0.00407619	0.00569233	0.0127747	0.00832807	0.0547775	0.0332696	0.0516538	0.0598947	0.0312788	0.0859388	0.132046	0.105258	0.279804	0.128339
í	0.000960204	0.00106922	0.000965623	0.00157924	0.00209814	0.00333892	0.00114118	0.0363464	0.0310392	0.0528774	0.0600885	0.0352564	0.107808	0.176237	0.150684	0.119303	0.219207
d	0.000749629	0.000442209	0.00310876	0.00599111	0.00211496	0.00222491	0.000355512	0.0129065	0.011199	0.0152338	0.0127443	0.0341884	0.110288	0.165468	0.473364	0.0427739	0.106847
i	0.000171639	0.000302848	0.000222587	0.0012247	0.00209272	0.0011273	0.000384913	0.0150042	0.0128443	0.0208003	0.0227664	0.0265845	0.0717131	0.186946	0.128233	0.0546362	0.454945
t	0.000146737	0.000365453	0.000167779	0.0003395	0.000509828	0.000635384	0.00012973	0.0143876	0.0197928	0.0230553	0.0177585	0.02458	0.110614	0.108254	0.238884	0.234318	0.206061
á	0.000120387	0.00056128	0.000175174	0.000424941	0.000365998	0.000567933	2.54579e-05	0.00322329	0.00468272	0.00845789	0.01311	0.0183014	0.0997437	0.0719637	0.0446181	0.676676	0.0569816
l	6.28785e-05	0.000118259	9.51774e-05	0.0011181	0.000635469	0.000626713	0.000182785	0.00557696	0.00899921	0.0121792	0.0204742	0.0233045	0.112269	0.133988	0.0751878	0.406047	0.199136
e	3.73021e-05	4.13459e-05	8.39871e-05	0.00034593	0.000127439	0.000302284	0.000112354	0.00442317	0.00318424	0.00861396	0.0118267	0.0114629	0.0982002	0.178317	0.083848	0.310911	0.288162
k	0.000115648	9.80733e-05	0.000243011	0.000772414	0.000297821	0.000549981	0.000160755	0.00802807	0.00469521	0.00884052	0.0073459	0.00823659	0.0793953	0.101853	0.126764	0.23477	0.417833
a	9.41812e-05	0.00062207	0.000195986	0.00100189	0.000887825	0.00137229	4.5937e-05	0.0057399	0.00545686	0.0126981	0.0164406	0.0129996	0.164469	0.119171	0.0615889	0.33228	0.264936
á	0.000118717	0.00033635	0.000107579	0.00107567	0.00112193	0.00102041	0.000214363	0.0077191	0.0146959	0.0152589	0.0239057	0.0199977	0.0863983	0.0701856	0.0266631	0.254781	0.4764
</S>	0.000670696	0.000183135	0.00148645	0.00893263	0.00768647	0.00408045	0.000399177	0.0142496	0.0159575	0.0135107	0.00978379	0.0213997	0.0273759	0.0260895	0.196342	0.0354487	0.616403
