 	pour	arriver	chez	nous	il	faut	suivre	le	côté	droit	de	cette	route	</S>
b	0.000182686	0.000406028	0.00180577	0.0011085	0.00238914	0.00179443	0.00391832	0.0440132	0.0435912	0.133363	0.161697	0.197238	0.336968	0.071526
ώ	0.000710665	0.000592837	0.00634855	0.00415245	0.00219884	0.00709754	0.00197225	0.0499558	0.165025	0.195853	0.220043	0.0642522	0.22204	0.0597582
ω	0.000152325	0.000114121	0.000400255	0.00141602	0.000664239	0.00179598	0.00243357	0.0275132	0.112637	0.133337	0.155237	0.10509	0.327019	0.132192
y	0.00076259	9.43395e-05	0.000389038	0.000192999	0.000778999	0.000739149	0.00207081	0.0108023	0.0114531	0.0584219	0.164693	0.254819	0.0672403	0.427542
é	0.000744857	0.00188114	0.0026053	0.0036682	0.00330528	0.00373553	0.0176535	0.0545045	0.0436307	0.115528	0.175892	0.287738	0.0429267	0.246185
l	0.00305056	0.00139137	0.00286699	0.0384895	0.00970028	0.00942203	0.0113799	0.0276346	0.0291116	0.0880439	0.0931407	0.29243	0.158375	0.234964
ó	0.0044562	0.00170592	0.00487373	0.0513579	0.00610841	0.0092616	0.0314357	0.0317456	0.0488741	0.0644463	0.12093	0.17519	0.0422208	0.407394
m	0.000376213	0.000168771	0.0004326	0.00610338	0.00244972	0.00163646	0.00967778	0.0163523	0.031871	0.0504366	0.144868	0.236707	0.0943612	0.404559
i	0.000249513	0.000490894	0.00577716	0.000849347	0.00215098	0.000790003	0.00134884	0.0285717	0.016359	0.149931	0.141231	0.352814	0.0171232	0.282314
</S>	4.67955e-05	4.92732e-05	0.000467984	9.30778e-05	0.000396747	0.000493801	0.0015081	0.00875864	0.00951526	0.0392652	0.106413	0.267867	0.0495148	0.515611
