 	ce	jeune	garçon	est	avare	si	bien	que	tous	ses	parents	murmurent	contre	lui	</S>
ó	0.000466071	0.000294902	0.00143117	0.00429547	0.00829473	0.0068261	0.118069	0.0525179	0.0716827	0.17519	0.205403	0.234527	0.0470357	0.0605016	0.0134645
r	0.000415889	7.29373e-05	0.000401171	0.00139528	0.00575142	0.0209554	0.0676989	0.0291047	0.0611458	0.105044	0.166222	0.396159	0.0483312	0.0194709	0.0778314
o	0.00141952	0.000316709	0.00117231	0.00455335	0.0107803	0.0254756	0.0543348	0.0918993	0.188947	0.180776	0.203835	0.0476475	0.0267837	0.0183772	0.143681
í	0.0191098	0.000403637	0.00106055	0.00382102	0.00232589	0.0293241	0.032251	0.0701872	0.10419	0.214141	0.198382	0.10641	0.125533	0.00840598	0.0844537
t	0.00154708	4.11427e-05	0.00163329	0.00776477	0.00121135	0.0236883	0.0189267	0.0255521	0.0264279	0.122712	0.0345591	0.371569	0.287102	0.0217889	0.055477
s	3.49263e-05	2.08519e-06	4.90199e-05	0.00363904	0.000397566	0.00308958	0.0106582	0.0138999	0.0604762	0.0790877	0.018324	0.641224	0.0534913	0.0334249	0.0822018
ω	7.66305e-05	5.78741e-06	0.000110692	0.0041534	0.00249955	0.00299187	0.0193271	0.0357478	0.129646	0.144223	0.0418472	0.457953	0.0747038	0.047739	0.0389747
b	0.000884128	3.4598e-05	0.000454492	0.0033927	0.00243199	0.00575451	0.0186364	0.0485473	0.0681805	0.0943898	0.0582399	0.361554	0.100485	0.0340145	0.203
í	0.000120563	6.57391e-06	0.000169346	0.00596639	0.0016962	0.00739679	0.0260664	0.0572417	0.100352	0.126874	0.0402158	0.436665	0.0626512	0.0547471	0.0798315
i	0.000305029	3.48519e-05	0.000404195	0.00238575	0.00318588	0.00366032	0.0124995	0.0465013	0.0683784	0.100311	0.0834732	0.222344	0.108228	0.146644	0.201645
t	0.000245674	1.16884e-05	0.000405894	0.00364923	0.000425794	0.00783534	0.00795573	0.0138424	0.0119824	0.0402964	0.0241971	0.226482	0.211891	0.115731	0.335048
i	0.000597717	9.46581e-05	0.000125747	0.0035643	0.00152082	0.00914196	0.0226301	0.0238561	0.0808465	0.158823	0.0417332	0.317078	0.118383	0.11332	0.108286
á	0.000354429	1.65233e-05	6.77499e-05	0.00168931	0.000910692	0.00480088	0.00867145	0.0148025	0.0367295	0.0704418	0.0302294	0.228252	0.0950209	0.110513	0.3975
m	0.000493107	5.03473e-05	0.000972246	0.00384124	0.00109083	0.00647181	0.00848818	0.0276154	0.00850961	0.0308675	0.0230822	0.0169638	0.407998	0.264814	0.198741
ó	0.000270643	0.000211996	0.00341907	0.00936627	0.00177601	0.0274583	0.0319464	0.0315225	0.00805296	0.0464098	0.0373125	0.0118972	0.233985	0.387403	0.168969
w	0.00187834	0.000240078	0.000700175	0.00344597	0.00207589	0.0130102	0.0216863	0.0244868	0.00987224	0.0443636	0.0352418	0.0245642	0.396651	0.273299	0.148485
a	0.00138198	0.000119753	0.000437391	0.00463378	0.00364302	0.0107591	0.031683	0.0372518	0.0298064	0.092299	0.055007	0.0537981	0.350862	0.243141	0.0851767
o	0.00044114	0.000101233	6.39575e-05	0.000361774	0.000424975	0.0017367	0.00325755	0.00631663	0.00573855	0.0226974	0.0239296	0.0578101	0.291448	0.156974	0.428699
b	6.3991e-05	5.54236e-05	0.00105045	0.00940301	0.000775906	0.022361	0.0226085	0.0109984	0.0128817	0.0537802	0.0110556	0.0738179	0.366136	0.0838842	0.331127
é	2.46037e-05	7.03876e-05	0.000408305	0.00502185	0.00346864	0.00915077	0.0298485	0.0103042	0.0544524	0.102746	0.0666024	0.260066	0.158374	0.156146	0.143315
</S>	7.36594e-05	1.84095e-05	4.79671e-05	0.00190739	0.00113156	0.00220785	0.0100942	0.0103885	0.0377885	0.101138	0.0263284	0.180775	0.144192	0.105102	0.378807
