 	je	ne	suis	plus	parti	en	voyage	car	mon	oncle	m'	a	retenu	</S>
z	0.000165624	0.00384358	0.0084572	0.0107382	0.210889	0.0883487	0.647248	0.00455013	0.000108685	0.00121814	0.000707943	0.00168814	0.00815515	0.0138812
w	0.000312532	0.0029617	0.00432786	0.00769856	0.768539	0.0245452	0.178877	0.00273995	0.00018447	0.00136383	0.000643844	0.0004822	0.00081423	0.00651009
á	0.000105194	0.0063395	0.0213292	0.026216	0.230753	0.0753055	0.466887	0.0435714	0.0043404	0.00090828	0.0114325	0.0188216	0.0137448	0.0802458
i	0.000539031	0.00202639	0.0106398	0.0211225	0.0412441	0.166559	0.454089	0.200113	0.0521691	0.00371758	0.00770328	0.00356883	0.00538395	0.0311252
b	0.000256068	0.00513181	0.00894129	0.00709678	0.0179703	0.0563214	0.540227	0.206087	0.00880845	0.0646914	0.0104277	0.0134911	0.0240454	0.0365044
h	0.000413683	0.0105717	0.0345846	0.0106937	0.00454939	0.09463	0.556764	0.182498	0.00854754	0.0038915	0.0127986	0.00684463	0.0589318	0.0142812
é	1.14692e-05	0.000985189	0.00477203	0.00169968	0.00715178	0.0478365	0.876267	0.024383	0.000388519	0.00036765	0.00178993	0.00427144	0.0238729	0.00620267
m	1.71226e-05	0.000503385	0.00492613	0.0071718	0.0113204	0.0869416	0.754322	0.0993214	0.00296378	0.00373821	0.00222339	0.00449359	0.00376124	0.0182964
b	0.000759029	0.00114671	0.0030418	0.00236458	0.0190209	0.0886989	0.354917	0.380866	0.0281344	0.0141268	0.0172531	0.00481257	0.0255171	0.059341
a	0.00136795	0.00233211	0.00503807	0.0032792	0.052467	0.0430615	0.484084	0.296861	0.0140266	0.00908697	0.00781724	0.00198029	0.0163643	0.0622339
k	0.000634321	0.00454802	0.0141574	0.0202676	0.00497501	0.0900047	0.10293	0.432248	0.165351	0.0241405	0.0585028	0.0328566	0.00442809	0.0449556
a	0.00165151	0.00365043	0.0188568	0.018459	0.00154918	0.0114444	0.0481807	0.453401	0.111867	0.0113679	0.0851487	0.0910618	0.0169055	0.126456
á	0.000383812	0.000539054	0.00226461	0.00364546	0.000965714	0.0116307	0.049096	0.194652	0.0357532	0.0259216	0.186357	0.0588569	0.0252916	0.404642
t	0.000460444	0.00238268	0.00352447	0.00438818	0.00164364	0.00582571	0.00551221	0.081778	0.163593	0.0543609	0.315964	0.156907	0.0223342	0.181326
s	0.000575515	0.00276433	0.00815248	0.00872746	0.00107725	0.00594201	0.0153107	0.0673778	0.0549599	0.0258131	0.130907	0.448207	0.0411581	0.189027
í	0.000105072	0.000593238	0.00265428	0.0035091	0.00130204	0.00509899	0.0386287	0.123584	0.0803839	0.045715	0.315574	0.210027	0.0516527	0.121172
n	0.00208071	0.00265976	0.00836475	0.00613424	0.000507452	0.00482016	0.0117796	0.0858109	0.101365	0.32278	0.179538	0.138929	0.0661113	0.0691196
a	0.00338194	0.00144873	0.00307273	0.00152077	0.000464428	0.000621556	0.00155447	0.0691045	0.374292	0.092938	0.309645	0.0315219	0.0151522	0.0952822
n	0.00070326	0.000854089	0.00205785	0.00249479	0.00064921	0.00156638	0.00100484	0.0450672	0.312146	0.04452	0.404268	0.114661	0.0128878	0.0571197
g	0.00635132	0.000753946	0.00227529	0.000670451	0.000255612	0.000790699	0.000895208	0.0463502	0.39419	0.25217	0.242746	0.0194598	0.00991807	0.0231742
ó	0.000320744	0.000111368	0.000398557	0.000190555	0.000480262	0.000312248	0.000430101	0.045661	0.132297	0.557454	0.195617	0.017961	0.0328903	0.0158759
l	0.00025119	5.85973e-05	0.000203819	0.000131347	0.000406935	0.000437481	0.000692778	0.0337073	0.0425248	0.750005	0.0745108	0.00959842	0.0264806	0.0609912
á	0.000377153	0.000875525	0.00227013	0.00265185	0.00100984	0.00774789	0.00617613	0.0591355	0.0435359	0.427697	0.188653	0.174725	0.0553482	0.0297956
m	0.000570764	0.000788677	0.0015432	0.00307973	0.00147577	0.00706494	0.00736671	0.0658135	0.0885665	0.0571624	0.210832	0.241261	0.111765	0.20271
i	0.000695502	0.00684214	0.00604492	0.00676682	0.00426194	0.0150951	0.00321951	0.0251592	0.0749579	0.0159388	0.136978	0.198651	0.338045	0.167345
á	7.24851e-06	0.000654999	0.00146437	0.00111909	0.00104227	0.00332093	0.00191477	0.0167661	0.00679585	0.000875044	0.11366	0.479149	0.156147	0.217083
s	0.000127447	0.00105877	0.00157708	0.00212254	0.00124789	0.00158311	0.00212924	0.00451753	0.0101377	0.00284116	0.117288	0.383527	0.188767	0.283076
i	4.25421e-05	0.00159136	0.00303361	0.00170192	0.00123074	0.000699988	0.00147713	0.00566523	0.0420202	0.00296635	0.150224	0.427884	0.148787	0.212676
m	1.65254e-06	0.000110876	0.000491894	0.000406317	0.000382166	0.000670633	0.00117005	0.00399533	0.00938555	0.000656939	0.0340187	0.239965	0.271883	0.436861
b	1.37117e-05	0.000269682	0.000575909	0.000283301	0.00079177	0.00180451	0.00132072	0.00266505	0.00855379	0.00021722	0.0238215	0.03777	0.819207	0.102706
i	3.98941e-05	9.02721e-05	0.000608138	0.000191782	0.000465315	0.00180297	0.00762997	0.0188439	0.00510275	0.000122595	0.0403738	0.0293416	0.506832	0.388555
s	1.36636e-06	6.0476e-05	0.000231807	0.000264856	0.000255419	0.00111995	0.00254421	0.00445587	0.00270333	0.000830292	0.0516116	0.149417	0.322373	0.464131
i	1.08344e-05	8.04366e-05	0.000306058	0.000112638	0.000240615	0.000270715	0.00074689	0.00485443	0.00535068	0.00271405	0.0484352	0.0636564	0.578509	0.294712
n	4.39312e-05	9.62947e-05	0.000357608	0.00040303	7.74212e-05	0.000561871	0.000287914	0.00619509	0.0176163	0.00107744	0.153615	0.199214	0.0838361	0.536618
g	0.00107734	0.000448478	0.00165298	0.000713418	0.000283133	0.000391153	0.000747404	0.0159288	0.0551842	0.00259266	0.265195	0.0919342	0.374421	0.189431
á	0.000696913	0.00016079	0.000436239	0.00020365	0.000393679	0.000164961	0.000223101	0.0114109	0.086871	0.0220577	0.280587	0.0339795	0.288133	0.274682
</S>	5.24952e-05	0.000143915	0.000552515	0.000749884	0.000288213	0.00142448	0.00118094	0.00790467	0.0124911	0.000598353	0.102009	0.192443	0.344573	0.335589
