 	au	bout	d'	un	moment	le	voyageur	a	eu	chaud	et	ôta	son	manteau	</S>
ó	0.00442809	0.00396402	0.00933535	0.0166265	0.039854	0.0642563	0.630518	0.0689455	0.0356247	0.0229959	0.0107601	0.0572485	0.00855761	0.014122	0.0127638
n	0.000692133	0.000853468	0.00573159	0.0125966	0.030598	0.0901256	0.615552	0.110417	0.0287037	0.00501035	0.00993788	0.049264	0.0107435	0.00429548	0.025479
d	0.0089024	0.00565871	0.022554	0.0400054	0.111675	0.16173	0.141735	0.220012	0.12166	0.0155779	0.0241776	0.0184984	0.0129222	0.00976405	0.0851288
i	0.00875549	0.0130071	0.0163878	0.0390685	0.0989789	0.0946106	0.0329322	0.196465	0.187318	0.181784	0.0173114	0.0141314	0.00604535	0.0116132	0.0815922
y	0.00248938	0.00194294	0.0142359	0.0146245	0.0283785	0.0957819	0.0284428	0.336642	0.275343	0.0653015	0.0929626	0.021163	0.0121657	0.00119779	0.00932878
á	0.00790519	0.0132204	0.0274142	0.0191876	0.0159189	0.0398068	0.00320106	0.103745	0.224865	0.422668	0.0865223	0.0121375	0.0144256	0.00195997	0.00702224
n	0.00231861	0.00303008	0.013855	0.0125127	0.00897819	0.0330076	0.003887	0.132401	0.29917	0.281106	0.136974	0.0278035	0.0259499	0.0121405	0.00686601
g	0.000274991	0.000200543	0.00036663	0.000662581	0.00206683	0.00255704	0.000179533	0.0140093	0.0353518	0.915769	0.0152056	0.00891085	0.00226582	0.000237474	0.00194234
a	0.000154809	0.000278974	0.000631057	0.000919565	0.00245651	0.00322531	0.000178059	0.015235	0.088939	0.846798	0.0159345	0.0153547	0.00292593	0.000978115	0.00599045
l	0.000236825	0.000219895	0.00328058	0.00364845	0.00587621	0.0319273	0.00210156	0.150209	0.368269	0.155469	0.199138	0.0338119	0.0302417	0.00299183	0.0125792
á	0.00116465	0.00111566	0.00614021	0.00441524	0.00564263	0.0132253	0.00176508	0.0594647	0.153631	0.353388	0.233125	0.063257	0.0342092	0.00778888	0.0616682
a	0.000916574	0.000896208	0.00714949	0.00556975	0.00446388	0.0150238	0.00257792	0.0698283	0.120748	0.0902782	0.353366	0.114866	0.134412	0.0343618	0.0455422
s	0.00104997	0.00187277	0.00485166	0.00332766	0.00568698	0.00684514	0.00350962	0.0162878	0.0186132	0.0495522	0.107773	0.594657	0.0967521	0.058607	0.0306139
ó	0.000214667	0.00108884	0.00142048	0.00152824	0.00442904	0.00221871	0.000524555	0.00576702	0.00845317	0.0636362	0.0135334	0.854803	0.0250187	0.00731195	0.0100525
r	0.000122482	0.000201476	0.001098	0.00228293	0.00507633	0.016926	0.00167213	0.0560081	0.0593684	0.0662919	0.068118	0.551162	0.0695922	0.0325486	0.0695319
í	0.000169349	0.000295617	0.00210849	0.0028642	0.00454695	0.0104515	0.00156296	0.0340091	0.107695	0.17123	0.139392	0.250044	0.0965058	0.0397516	0.139374
o	0.000222356	0.000156756	0.00211607	0.00129199	0.00100825	0.00574169	0.000882193	0.027074	0.0482707	0.042172	0.47737	0.10099	0.22482	0.0195589	0.0483249
k	0.000302167	0.000574273	0.00173783	0.00154791	0.00308114	0.00371498	0.000827091	0.00781509	0.0121261	0.0648155	0.0785736	0.342091	0.184415	0.242979	0.0553988
á	8.10834e-05	0.000204493	0.000714438	0.00162988	0.0047837	0.00168084	0.00565017	0.0041403	0.0073556	0.00260685	0.0115487	0.146296	0.0570837	0.626474	0.12975
n	0.000594985	0.000436308	0.00118897	0.000994987	0.000581917	0.00158882	0.00394492	0.00523154	0.00683816	0.00949173	0.0151789	0.173988	0.042676	0.690588	0.0466761
d	0.000345598	0.00019126	0.000624744	0.00118767	0.00187482	0.00291437	0.00266578	0.0112091	0.028006	0.0256712	0.125627	0.127896	0.0753748	0.364219	0.232194
á	0.00551162	0.00602616	0.00702238	0.00947034	0.00971056	0.0115954	0.00653991	0.0248796	0.119138	0.108873	0.118213	0.176802	0.0311836	0.192936	0.172098
m	0.00197311	0.000546173	0.00330697	0.0037515	0.00148634	0.00867797	0.00139994	0.0184925	0.0401058	0.00995811	0.241959	0.0532835	0.283931	0.0963333	0.234794
á	0.000694467	0.000935188	0.00353415	0.00380112	0.00438267	0.0309216	0.00421794	0.0433992	0.0437109	0.00707752	0.245114	0.0590464	0.249959	0.0241535	0.279052
p	0.00130047	0.000350255	0.00463797	0.00297384	0.00145063	0.00645146	0.00179195	0.0118057	0.0182165	0.00422959	0.139113	0.0572625	0.328887	0.0932449	0.328284
y	0.000309125	0.000738434	0.00135929	0.00114885	0.000574003	0.00180798	0.000604992	0.0039662	0.0105408	0.00666988	0.0367641	0.0208535	0.162113	0.560543	0.192007
é	0.000681598	0.000281751	0.000670678	0.000863913	0.000328388	0.00118934	0.0010301	0.0024104	0.00722082	0.00977073	0.0248187	0.0630393	0.113982	0.574561	0.199152
b	0.000157149	8.78256e-05	0.000164524	0.000106448	9.49008e-05	0.000186817	0.000683749	0.00043429	0.000401887	0.00227811	0.00380353	0.0639957	0.0232759	0.82903	0.0752988
h	3.95663e-05	1.65736e-05	8.2508e-05	7.93882e-05	5.49942e-05	0.00015586	0.000211455	0.000511518	0.00212891	0.00204977	0.0265926	0.0115246	0.0541371	0.534888	0.367528
i	0.00085211	0.000331359	0.00102567	0.00125861	0.00196008	0.00203106	0.0016972	0.00151583	0.00316242	0.00200325	0.030793	0.0190215	0.031651	0.574002	0.328695
</S>	0.00126945	0.000611736	0.003061	0.00222288	0.00163702	0.00476457	0.00112894	0.00408806	0.00559132	0.000913818	0.0380292	0.014332	0.143406	0.183415	0.595529
