 	tu	es	vraiment	mal	intentionné	car	tu	es	parti	cueillir	les	feuilles	de	manioc	dans	le	champ	de	ton	voisin	</S>
s	0.0047735	0.00157844	0.00855129	0.0536561	0.0941607	0.546461	0.0563604	0.0216529	0.0264478	0.0143579	0.00719438	0.013954	0.0151437	0.0337263	0.00690935	0.0156103	0.00465057	0.0323248	0.00530059	0.00352215	0.033664
í	0.000364764	0.000966751	0.0202415	0.0893042	0.0636907	0.299772	0.014108	0.017008	0.0510778	0.0247203	0.0343899	0.0534121	0.0249617	0.0601646	0.0501991	0.0467004	0.0104973	0.0415715	0.018549	0.00615486	0.0721459
n	0.00273727	0.000898909	0.0129576	0.141389	0.111302	0.454192	0.0934545	0.0275453	0.0102282	0.0114792	0.00797568	0.00658776	0.00707946	0.0123208	0.00617876	0.00588486	0.00194068	0.0062759	0.0024547	0.00449728	0.0726198
a	0.00726434	0.00202103	0.00403953	0.0639339	0.112662	0.367647	0.202219	0.0205139	0.0101741	0.00797769	0.00950643	0.00425276	0.0111108	0.0057144	0.014048	0.0294239	0.0557314	0.01341	0.0131064	0.00495583	0.0402878
n	0.00188765	0.00185941	0.00681529	0.0550036	0.0108699	0.459022	0.20729	0.176156	0.0197442	0.0169108	0.00817025	0.00387026	0.00513767	0.0028243	0.00356315	0.00341335	0.00088651	0.00382036	0.00274998	0.00179363	0.0082113
ω	0.00926525	0.00386456	0.0046022	0.0622886	0.0470184	0.116991	0.485666	0.167907	0.00349586	0.00729768	0.0101076	0.00366199	0.00929403	0.00271166	0.00816164	0.0107236	0.0140986	0.00567897	0.00570566	0.00222836	0.0192307
ó	0.000446425	0.00118746	0.00446968	0.028079	0.0254295	0.195839	0.134851	0.313328	0.0913378	0.0919715	0.0250517	0.0104457	0.0109584	0.00639544	0.00877957	0.00561966	0.00283892	0.00487502	0.00355609	0.00349104	0.0310487
d	0.00123208	0.0162739	0.0898904	0.0308041	0.00518787	0.00833879	0.0174859	0.205844	0.429959	0.107849	0.0278537	0.0262203	0.00435825	0.00775679	0.00487454	0.00177404	0.000282088	0.00164837	0.00123432	0.00542836	0.00570454
z	0.000137825	0.000413865	0.0132424	0.0131185	0.000284922	0.00377785	0.00860991	0.0322438	0.351789	0.122211	0.0738064	0.0649326	0.0161115	0.0205857	0.0491607	0.0135136	0.000599866	0.00914546	0.00866325	0.0696909	0.127961
w	0.000330262	0.00194596	0.00612911	0.0108479	0.00125124	0.0042999	0.010446	0.0573145	0.858807	0.0303394	0.00540224	0.00253727	0.000849932	0.000381325	0.00103301	0.000652366	0.000179268	0.000235505	0.000318361	0.00224011	0.00445921
e	0.000512416	0.000892579	0.00693161	0.0575422	0.00143079	0.00786381	0.0101745	0.0253932	0.474472	0.162777	0.0789701	0.033443	0.0260372	0.0113	0.0248649	0.02726	0.00622788	0.0127322	0.0118295	0.00488119	0.0144645
o	0.00028876	0.000959503	0.0028212	0.0165932	0.00156648	0.0393092	0.0374855	0.0846569	0.0728887	0.206815	0.184729	0.111353	0.083152	0.0505664	0.0307267	0.0184472	0.0107065	0.0168119	0.00942248	0.00364574	0.0170537
t	0.000106882	0.00481784	0.0175388	0.0074117	0.00545271	0.000601606	0.00214763	0.0228415	0.107236	0.236995	0.194279	0.202437	0.0282804	0.0834567	0.0292485	0.00981243	0.0032743	0.00579238	0.00606197	0.0132334	0.0189738
ώ	1.49144e-05	0.000933602	0.00470659	0.00160189	0.00493314	0.000784498	0.00116376	0.00868908	0.0471369	0.243876	0.144901	0.218713	0.0251198	0.122528	0.0395886	0.0186322	0.00304599	0.00863893	0.00791981	0.015967	0.0811052
ώ	2.12533e-05	0.000240714	0.000892026	0.00206876	0.00111158	0.0105436	0.00354609	0.0169722	0.0195375	0.0842349	0.110741	0.172433	0.0870685	0.258891	0.0403094	0.0200797	0.00833771	0.0202361	0.0117781	0.0155812	0.115376
a	8.00438e-05	0.000176869	0.000492538	0.00265776	0.000185662	0.00313647	0.00306078	0.00167901	0.000700649	0.0377438	0.167496	0.125021	0.20893	0.122904	0.108744	0.0873241	0.0135072	0.0634232	0.0243554	0.00679917	0.021582
y	9.87612e-05	0.000200682	0.00188333	0.00432796	0.000644269	0.00112343	0.000916105	0.00218292	0.00182844	0.0274427	0.0846694	0.151629	0.136326	0.123497	0.197301	0.0807567	0.030866	0.0357108	0.0418156	0.0306631	0.0461167
a	0.000100307	0.0012529	0.00911611	0.0173098	0.00117953	0.000928778	0.00181442	0.0160197	0.0313409	0.139617	0.0900541	0.11018	0.0412277	0.0387222	0.114321	0.0783596	0.0699264	0.0218095	0.106563	0.0476948	0.0624627
a	2.55285e-05	0.000119921	0.000784284	0.00461399	0.00027326	0.00155607	0.00242127	0.00370382	0.00715588	0.0366931	0.0904804	0.0995604	0.108798	0.0591532	0.141937	0.112852	0.113075	0.0310988	0.0585888	0.0217897	0.10532
s	2.29536e-05	4.94767e-05	0.0003988	0.000916839	8.95794e-05	0.00107338	0.00105261	0.0011933	0.00100603	0.0224051	0.0621341	0.0877506	0.136337	0.123418	0.22597	0.101332	0.0261186	0.0535971	0.0531234	0.0264443	0.075566
á	4.5306e-05	0.000307503	0.00267011	0.00607677	0.000310196	0.000255124	0.000804216	0.00261994	0.00414269	0.0358087	0.0573049	0.0835077	0.0308821	0.0289159	0.176036	0.111667	0.035238	0.0248341	0.144863	0.112301	0.141411
k	4.83262e-05	0.000342059	0.00112017	0.00636928	0.000819	0.00214197	0.00188501	0.00196673	0.00200741	0.00743457	0.0203832	0.0342858	0.0416578	0.0286595	0.0913545	0.132664	0.205672	0.0708139	0.125551	0.157067	0.067757
ú	1.95489e-05	1.82841e-05	0.00011844	0.000421227	0.000530401	0.00138941	0.000972326	0.000243799	0.000200616	0.00279668	0.0205815	0.103458	0.0441891	0.225923	0.137907	0.105742	0.0244669	0.0618206	0.0641096	0.135633	0.0694589
b	2.18817e-05	7.53538e-05	0.000803239	0.00177178	0.00047712	0.000553585	8.48694e-05	0.000492728	0.00124156	0.011857	0.0292392	0.110129	0.0542319	0.297163	0.103266	0.0773852	0.0267049	0.11003	0.0577671	0.0397456	0.0769594
h	6.78819e-05	0.000115063	0.00124823	0.00385447	0.000139879	0.00111305	0.000783179	0.000523049	0.000743203	0.00509025	0.0380999	0.0946631	0.0857147	0.159044	0.0721583	0.188557	0.0485933	0.15018	0.0782557	0.0158338	0.0552226
á	1.26363e-05	1.12911e-05	8.11146e-05	0.000613759	0.000116324	0.000580147	0.000311876	0.000130582	0.000295123	0.00538411	0.0484736	0.0846893	0.101463	0.0900743	0.13499	0.147218	0.0189628	0.0799025	0.086192	0.0339847	0.166513
y	1.37874e-05	4.75982e-05	0.000237889	0.00103425	7.54077e-05	0.000583184	0.000279002	0.000359344	0.000446978	0.00431499	0.0124407	0.013483	0.0399122	0.019146	0.108596	0.115232	0.0205529	0.102538	0.12598	0.082209	0.352517
ó	3.73943e-05	0.000428495	0.00158263	0.00501782	0.0013901	0.00173586	0.000740614	0.00269441	0.00208738	0.012518	0.013499	0.0160914	0.0351045	0.0193041	0.0576647	0.120212	0.186623	0.0656103	0.231905	0.149038	0.0767161
b	0.000106054	0.00075884	0.000568138	0.00300763	0.00132429	0.00491712	0.00286563	0.00206383	0.00154249	0.00384238	0.00823606	0.00882108	0.0341321	0.00999643	0.0389167	0.0925085	0.181335	0.0870298	0.145859	0.24213	0.130039
i	7.50036e-05	8.5127e-05	0.000703126	0.00266971	0.000133645	0.00151179	0.00524133	0.00101232	0.000146948	0.00424911	0.0454041	0.0394059	0.0688921	0.0562132	0.110415	0.189458	0.00899833	0.0622452	0.149631	0.188298	0.0652109
a	1.51741e-06	1.16028e-05	0.000214909	0.00077405	2.8587e-05	0.000138682	7.28941e-05	0.00019535	0.00126353	0.00867312	0.0216371	0.040152	0.0486364	0.0553985	0.0564724	0.0588218	0.00528063	0.0592426	0.0434124	0.0501715	0.549401
</S>	2.17123e-05	4.34433e-05	0.000250455	0.00106628	9.5417e-05	0.00164483	0.000616433	0.000543732	0.000336191	0.00447537	0.01234	0.0100107	0.0353461	0.0214402	0.0733722	0.130104	0.0301536	0.194043	0.198478	0.128025	0.157594
