 	la	bise	et	le	soleil	se	disputaient	chacun	qu'	il	était	plus	fort	</S>
ώ	0.00018828	3.83723e-05	0.00347986	0.011452	0.00789655	0.0329382	0.0179626	0.133165	0.12791	0.0678919	0.307328	0.160427	0.0188526	0.11047
p	0.000819616	0.000206801	0.00651249	0.0063621	0.00343654	0.0192925	0.00639288	0.0370957	0.085322	0.0974146	0.158635	0.420456	0.0423527	0.115701
á	0.000291312	0.000828214	0.00251565	0.00369781	0.00203744	0.0195854	0.134884	0.0132224	0.033927	0.0700064	0.241018	0.211583	0.144131	0.122272
m	0.000268666	0.000537193	0.000929167	0.00170129	0.00189083	0.0140518	0.107902	0.00734967	0.0235062	0.068786	0.329717	0.122057	0.212813	0.108491
i	0.000228405	6.46926e-06	0.00103907	0.00673743	0.0306839	0.0165517	0.00705229	0.0595634	0.299056	0.204891	0.0749443	0.112198	0.116526	0.0705221
l	0.000517092	2.41077e-05	0.0015384	0.0021075	0.00217734	0.00741843	0.00566752	0.00999889	0.0259106	0.0634278	0.118559	0.290198	0.16349	0.308965
a	0.000317013	0.000532989	0.00184999	0.00218677	0.00188736	0.00584439	0.0104946	0.020036	0.0246596	0.0247814	0.124762	0.214412	0.282511	0.285725
b	0.000181957	7.4763e-05	0.00218133	0.00279556	0.00328672	0.0120529	0.011349	0.0307129	0.0275992	0.0199408	0.095317	0.162855	0.466582	0.165071
i	0.00121109	0.000118063	0.006841	0.0253894	0.027314	0.104448	0.0140617	0.010265	0.0450753	0.0319984	0.0300654	0.509487	0.115294	0.0784318
a	8.27047e-05	6.2735e-05	0.00112899	0.00369234	0.00538403	0.0175365	0.0259751	0.0145755	0.0368254	0.0426722	0.0985601	0.171602	0.305522	0.27638
</S>	0.000278884	6.23136e-05	0.00247542	0.00249556	0.00108517	0.0122392	0.00447999	0.00731155	0.0168767	0.0253908	0.0379967	0.458257	0.138596	0.292454
