 	j'	ai	acheté	des	tissus	de	raphia	pour	confectionner	une	robe	pour	la	danse	kyebé-kyebé	</S>
k	0.000543358	0.0285506	0.0130784	0.0684538	0.771065	0.0320323	0.0219323	0.0129582	0.0118783	0.00340759	0.0158811	0.00468762	0.00532232	0.00237951	0.00120949	0.00662023
w	5.20538e-06	0.00121292	0.00121666	0.0124919	0.946336	0.00499336	0.00229275	0.00117634	0.0064717	0.00138525	0.0170764	0.00130714	0.00136801	0.000963229	0.000914335	0.000788414
á	0.000119546	0.00168058	0.00380289	0.0104213	0.846056	0.0431482	0.0577255	0.00238962	0.00709012	0.00227756	0.0132442	0.00257514	0.00266902	0.0025071	0.00107345	0.00321988
á	0.00070086	0.00673942	0.000820356	0.0393384	0.564219	0.106926	0.13183	0.0147308	0.0109825	0.00701456	0.011479	0.0105498	0.0103427	0.0111846	0.0305892	0.0425532
s	0.000153701	0.0128975	0.00164962	0.0284414	0.0415677	0.280643	0.524169	0.0703077	0.00542658	0.00683323	0.00343805	0.0059551	0.00387241	0.00278589	0.000590049	0.0112698
á	0.00107073	0.013137	0.00745395	0.00268397	0.029887	0.0587131	0.753088	0.0507688	0.0148728	0.0174694	0.00214515	0.00425363	0.00634925	0.00181491	0.00121926	0.035073
r	0.000451845	0.00725644	0.00289312	0.00965082	0.0204251	0.106208	0.65586	0.0567184	0.0657903	0.0363759	0.00711654	0.00851479	0.00611033	0.00212083	0.00218738	0.0123208
e	0.00221445	0.00530554	0.000441174	0.00470076	0.0045473	0.126489	0.712789	0.0569683	0.0227902	0.0330784	0.00499467	0.00897282	0.00783581	0.00364129	0.00110165	0.00412992
m	0.000123536	0.0060291	0.000506093	0.0183166	0.01382	0.240903	0.254337	0.291024	0.0850276	0.0471564	0.00789859	0.011339	0.0069669	0.0016507	0.000121175	0.0147806
í	0.000182118	0.00785293	0.00085554	0.0132057	0.00968794	0.0896421	0.117871	0.370485	0.016246	0.0781443	0.0202535	0.0778895	0.0314149	0.013165	0.0010835	0.152021
t	1.33519e-05	0.00137003	0.000319108	0.00585244	0.0110321	0.0329695	0.112368	0.365588	0.225437	0.0917116	0.0628981	0.0340149	0.0179051	0.0115262	0.00620971	0.0207845
o	1.10189e-05	0.000100126	4.22079e-05	0.000367088	0.0169717	0.00393704	0.0238653	0.0284662	0.828922	0.0484018	0.0211414	0.00592869	0.00563033	0.00186254	0.00827688	0.00607578
n	2.04176e-05	0.00175654	0.00547438	0.0016434	0.0316433	0.00852723	0.0219034	0.0297635	0.818488	0.03283	0.0338495	0.00520253	0.00288609	0.00057928	0.00102423	0.00440804
g	3.69002e-05	0.00260313	0.00487934	0.00816809	0.0482944	0.0487782	0.0856709	0.100806	0.451791	0.0613738	0.0863839	0.0207141	0.020894	0.0105185	0.00138038	0.0477076
a	4.70402e-05	0.0010443	0.000497619	0.00333567	0.01534	0.0363182	0.024469	0.0333421	0.75687	0.065929	0.0229614	0.00486324	0.00441503	0.00173302	0.00027967	0.0285546
l	5.09008e-05	0.00171351	6.88865e-05	0.00722988	0.00103288	0.0445994	0.0538447	0.48601	0.0686745	0.190857	0.0379134	0.0441424	0.0169732	0.00971233	0.000504569	0.0366731
á	0.000434887	0.00327601	0.000420758	0.00453454	0.00237204	0.0236861	0.0409133	0.222457	0.0812198	0.179216	0.0427994	0.0728839	0.0588027	0.0219167	0.00107462	0.243992
p	0.000735975	0.00222161	0.00098449	0.00512928	0.000782324	0.0165471	0.0583724	0.133421	0.100002	0.415985	0.0871613	0.0811398	0.0368985	0.0184406	0.00374623	0.0384331
f	3.22601e-05	5.26131e-05	5.19468e-05	0.000304754	0.00252818	0.00131906	0.00525907	0.00894429	0.538637	0.0922036	0.203774	0.0213705	0.0185223	0.0104632	0.0910316	0.00550571
u	3.45736e-06	0.000139471	0.000234688	0.000345458	0.00264185	0.00236898	0.0130898	0.0102205	0.193031	0.158494	0.370423	0.0877657	0.0639436	0.0309275	0.0541379	0.0122336
m	0.000115495	0.000343936	0.000263763	0.000844358	0.000841828	0.00571685	0.0285155	0.0209734	0.145581	0.289538	0.196127	0.108848	0.0634251	0.0506687	0.0709218	0.0172763
b	0.00150646	0.000128985	1.13936e-05	0.000456581	0.000327512	0.00423869	0.0131321	0.0261187	0.0397988	0.251393	0.280086	0.161212	0.0726902	0.0746101	0.0341375	0.0401512
a	0.00202108	0.000257103	1.38462e-05	0.00114375	0.00177192	0.0161609	0.0262994	0.0294482	0.113993	0.170779	0.353178	0.094022	0.0600994	0.0627294	0.0213264	0.0467568
</S>	4.60017e-05	0.000670284	2.29913e-05	0.00212818	0.000257202	0.00882402	0.0100249	0.0425491	0.0209902	0.189181	0.0810707	0.259814	0.136569	0.0893888	0.0104373	0.148027
