 	il	se	renferme	sur	soi-même	quand	on	lui	parle	il	ne	répond	pas	</S>
t	0.000920382	0.00377189	0.0198727	0.0235408	0.0314205	0.0872492	0.157244	0.239565	0.288842	0.0691515	0.0331904	0.0134353	0.00542282	0.0263732
i	0.00131539	0.00600387	0.023709	0.0211037	0.133402	0.0550947	0.0157721	0.0767707	0.516658	0.0739224	0.016736	0.0116605	0.0160541	0.0317973
á	0.000587722	0.00259587	0.0168625	0.0200661	0.0359838	0.0592532	0.059294	0.178015	0.402574	0.0805491	0.026769	0.0206271	0.00660379	0.0902192
l	0.00340419	0.00311425	0.00508416	0.0148788	0.00778846	0.0448458	0.244998	0.19908	0.161888	0.199579	0.0689585	0.0123882	0.00470499	0.0292877
a	0.00280258	0.00394092	0.00804285	0.0154041	0.00408401	0.0151127	0.0395157	0.102676	0.353794	0.160487	0.0503545	0.0391749	0.0441638	0.160447
w	0.00179914	0.00232004	0.00259226	0.0185373	0.0100058	0.0194849	0.0700255	0.119555	0.227953	0.35348	0.0640517	0.0198795	0.0532511	0.0370644
a	0.00304747	0.00381428	0.00220915	0.0142641	0.0288724	0.140693	0.250596	0.250172	0.0612469	0.165496	0.0548338	0.00493002	0.00846938	0.0113553
w	0.000832422	0.000611821	0.000827721	0.00354069	0.00447417	0.0162006	0.0629544	0.0838753	0.141736	0.407443	0.182473	0.0228356	0.0172965	0.0548978
a	0.00405478	0.00552397	0.00369487	0.0123812	0.0265307	0.0713517	0.151366	0.228702	0.0809083	0.225718	0.119721	0.0119052	0.0122539	0.0458887
a	0.000531196	0.000599703	0.000650327	0.00267574	0.00172671	0.0117038	0.0577693	0.0672615	0.101527	0.374586	0.249855	0.0345106	0.0197327	0.0768707
d	0.00109372	0.0118145	0.0364094	0.0245353	0.00436363	0.0125106	0.0310947	0.0672039	0.150031	0.19702	0.274624	0.0994764	0.0134653	0.0763572
í	0.00131692	0.00217385	0.0126485	0.0110026	0.00141791	0.00672107	0.0164857	0.0553777	0.162765	0.117292	0.112947	0.102626	0.0391068	0.358119
o	0.000374243	0.00036936	0.000615074	0.00244629	0.00128457	0.00770631	0.0215673	0.0183996	0.0520458	0.105003	0.25197	0.141483	0.146549	0.250186
k	0.000112526	0.00176816	0.0100956	0.00365871	0.000785621	0.00031366	0.000292693	0.00182805	0.0250948	0.0170324	0.100607	0.58657	0.200761	0.0510798
a	1.39753e-05	0.000124374	0.00692212	0.00109631	0.000813042	0.000225656	0.000173326	0.00149272	0.0377481	0.0172554	0.0826357	0.644755	0.0762862	0.130458
a	3.34815e-05	7.46461e-05	0.00110339	0.000420567	0.00223999	0.000717171	0.000424956	0.00247683	0.0377152	0.0421502	0.174065	0.469932	0.110379	0.158268
l	8.43283e-05	0.00020617	0.000476712	0.00174769	0.00146816	0.00298299	0.00385704	0.00465095	0.00384108	0.0563009	0.198193	0.328829	0.179676	0.217685
a	8.74845e-05	0.000139531	0.00131984	0.00190897	0.000803254	0.00134275	0.00146262	0.00596156	0.0192359	0.0331791	0.0861171	0.46664	0.196003	0.185799
k	0.000279015	0.000479444	0.000663107	0.00361801	0.000973323	0.00170012	0.00748415	0.00876988	0.00864658	0.0486204	0.0589598	0.145625	0.487978	0.226204
a	4.70154e-05	0.000121515	0.000230968	0.000668429	0.00165136	0.000804141	0.000715034	0.00125664	0.0100017	0.0151214	0.0288335	0.300562	0.464845	0.175142
á	6.60983e-05	8.86963e-05	0.000398736	0.000516351	0.00229458	0.00171944	0.00235726	0.0031485	0.0202979	0.0310229	0.0583175	0.241916	0.201117	0.436739
</S>	0.000257382	0.000727335	0.0015772	0.00294204	0.00268921	0.00722593	0.0134922	0.00936593	0.00479156	0.0350874	0.0790538	0.213668	0.21176	0.417362
