 	si	tu	ne	suis	pas	les	conseils	du	guérisseur	c'	est	toi-même	qui	seras	contaminé	de	rougeole	</S>
k	8.58978e-06	0.00014448	0.00683465	0.00647967	0.00641972	0.00568244	0.00711541	0.00699942	0.00167615	0.00838602	0.0966288	0.243518	0.170293	0.0798404	0.21516	0.0587342	0.0657056	0.0203734
u	6.24505e-07	4.56179e-06	0.000720743	0.0030921	0.00280039	0.00195999	0.00424276	0.0025787	0.000127908	0.00108297	0.0166793	0.0915341	0.062273	0.32902	0.430585	0.0144973	0.0156751	0.0231255
l	5.72993e-06	2.19587e-05	0.000320009	0.00164997	0.00585326	0.00880757	0.00459108	0.00462477	0.000393622	0.00100642	0.0112925	0.119317	0.0999871	0.179553	0.470048	0.0243666	0.0109366	0.0572255
u	0.000166451	0.000159074	0.000650137	0.00276479	0.00822648	0.0122796	0.0064318	0.0481148	0.0148719	0.0155669	0.0423052	0.11972	0.075417	0.275994	0.225291	0.0501718	0.0343066	0.067562
m	0.000467436	0.0017877	0.000842284	0.00101196	0.0034828	0.00366195	0.000998736	0.0355842	0.0137447	0.0613002	0.11063	0.057672	0.0695939	0.029837	0.0201294	0.320429	0.108778	0.160049
b	0.000189565	0.00013183	0.000322644	0.000313827	0.000750131	0.00123462	0.000223467	0.00734995	0.000551778	0.00839582	0.0406284	0.0194647	0.0153448	0.00544171	0.00925703	0.0736288	0.737683	0.0790876
e	0.000193584	6.62239e-05	5.65393e-05	0.000252375	0.000484308	0.00231413	0.00099412	0.00532107	0.000567818	0.00294421	0.0238412	0.0247205	0.0204374	0.028223	0.0399638	0.0708647	0.683773	0.0949816
m	1.24642e-05	5.61132e-05	0.000340131	0.000486163	0.000878112	0.0017388	0.00130578	0.00329725	7.87523e-05	0.00370249	0.0260082	0.0153824	0.016673	0.0529646	0.0392541	0.0734341	0.578976	0.185411
b	8.99694e-05	4.91473e-05	9.48622e-05	0.000117297	0.000180317	0.000455067	0.000497828	0.00236568	0.000120113	0.000819206	0.00596181	0.0057447	0.00503594	0.00392205	0.0119339	0.04576	0.852683	0.0641695
e	0.000115005	4.63875e-05	7.37558e-05	0.000177868	0.000176884	0.000446805	0.001005	0.00119945	4.81632e-05	0.000514793	0.00528627	0.0121831	0.00767441	0.0123628	0.0194146	0.0262279	0.84779	0.065257
n	4.1408e-06	4.59398e-06	6.36374e-05	0.000315071	0.000372464	0.000465535	0.000859139	0.00246308	4.26493e-05	0.00189592	0.0120256	0.0343825	0.0362824	0.0662187	0.158409	0.116286	0.240883	0.329027
ω	7.76607e-05	0.000160042	0.0013328	0.00450694	0.0029146	0.00215993	0.0101442	0.0147766	0.00340233	0.00545932	0.0216487	0.0783619	0.0513908	0.0345359	0.0505472	0.107113	0.328236	0.283232
m	0.000610512	0.000459545	0.000463976	0.000869082	0.000949617	0.000928346	0.000756071	0.0128023	0.00515215	0.0156473	0.042491	0.0755432	0.0853487	0.0425398	0.0362757	0.227786	0.0704179	0.380959
έ	0.000436042	0.000220045	0.00118739	0.00205332	0.00349333	0.00431017	0.00075858	0.0178993	0.000103571	0.0069155	0.0385164	0.0435047	0.0288372	0.00563754	0.00890797	0.226764	0.472504	0.137951
n	1.10505e-05	4.7119e-05	0.000380972	0.000990312	0.00132861	0.00110865	0.00179786	0.0174792	0.000482855	0.0058891	0.0415587	0.0510969	0.0438474	0.0163325	0.0154503	0.270347	0.0908247	0.441027
έ	0.000121723	0.000628427	0.000485453	0.00140103	0.000890639	0.000959572	0.00191255	0.01109	0.0104308	0.00649844	0.0307381	0.0756284	0.0643199	0.0126834	0.00629115	0.111903	0.117553	0.546464
</S>	2.61814e-05	0.000129955	0.000150359	0.000136151	0.00019644	0.000110395	0.000119802	0.0039599	0.00178221	0.0107824	0.0328367	0.0213236	0.0250987	0.00337162	0.0021424	0.0986544	0.0374091	0.76177
