 	l'	argent	que	je	garde	chez	lui	a	augmenté	car	notre	père	m'	en	a	ajouté	</S>
s	0.000257458	0.000377473	0.00380549	0.00334664	0.00076296	0.00535112	0.0286513	0.0197778	0.00823045	0.0460523	0.303033	0.267757	0.0963305	0.112959	0.0650178	0.00941883	0.0288701
í	0.00469433	0.00193808	0.0132453	0.00537563	0.00408236	0.00479404	0.0127877	0.0132978	0.00886909	0.0307355	0.291579	0.113979	0.128301	0.126412	0.0726464	0.0224621	0.1448
á	0.00215861	0.00012567	0.0108629	0.00377999	0.000497714	0.00232159	0.013436	0.0234858	0.0132738	0.0712352	0.129798	0.205193	0.0996927	0.156965	0.16273	0.0307167	0.073728
n	0.000424494	0.000106745	0.00153352	0.00153909	0.000703855	0.0019247	0.0022006	0.00524725	0.0162905	0.0111515	0.0328384	0.0401656	0.201439	0.159065	0.182416	0.157621	0.185333
y	0.00106152	0.000302012	0.00221208	0.00352835	0.000155177	0.00112495	0.00148869	0.00363439	0.0107246	0.0118401	0.0284712	0.117561	0.47418	0.0767783	0.0743015	0.0972682	0.0953674
á	0.00121057	5.08254e-05	0.00213805	0.00737921	0.000151348	0.000300173	0.00113219	0.00297275	0.00622246	0.0181506	0.0633282	0.0205407	0.274098	0.0629	0.0993846	0.373521	0.0665196
á	3.41079e-05	4.26693e-06	0.000368401	0.000571063	0.000143147	0.000658433	0.00523747	0.00843956	0.010553	0.0583564	0.0564653	0.0418954	0.156128	0.18875	0.179363	0.12155	0.171481
s	4.71938e-05	1.33359e-05	0.000754394	0.000430225	0.000285441	0.00078057	0.00644483	0.0101178	0.00709843	0.0615873	0.0512417	0.0940946	0.152087	0.216899	0.195427	0.0681965	0.134496
i	0.000111856	5.23341e-05	0.00178069	0.00204013	0.000966424	0.00129664	0.00119948	0.0024602	0.0114835	0.0250482	0.0512801	0.00729987	0.170804	0.190866	0.138866	0.158211	0.236234
n	0.000165821	2.75183e-05	0.00232635	0.00129593	9.38327e-05	0.000627208	0.00291036	0.00757188	0.0023426	0.0495264	0.136789	0.0441826	0.108156	0.131886	0.233803	0.157891	0.120405
g	0.00097087	0.00017512	0.000468554	0.00483888	7.48089e-05	0.000367181	0.000631223	0.00134609	0.00741727	0.00957507	0.0219918	0.0365687	0.368132	0.0472025	0.0545855	0.320253	0.125402
á	0.000310018	0.000179081	0.0004203	0.00192458	8.52573e-05	0.000237029	0.00108468	0.00313794	0.0131055	0.00838685	0.0274431	0.0850816	0.328507	0.0423401	0.0499742	0.26571	0.172072
y	0.00015453	9.98784e-06	0.000469318	0.000291624	9.67876e-05	0.000310852	0.00249616	0.00363127	0.00284479	0.0399059	0.0186679	0.0471235	0.084304	0.213043	0.182345	0.0865163	0.317789
í	0.000265119	5.07707e-05	0.00789641	0.00430878	0.000718796	0.00170952	0.00802994	0.0126993	0.011178	0.0841851	0.0395937	0.0272701	0.154911	0.179658	0.188487	0.174911	0.104128
a	0.000140125	2.37915e-05	0.00237096	0.00122169	6.68628e-05	0.000539128	0.00312405	0.00799916	0.00431623	0.0405388	0.0668079	0.0170311	0.0511246	0.094426	0.22024	0.218577	0.271453
</S>	2.27231e-05	1.36527e-05	0.000789633	0.00051751	0.000261114	0.000569949	0.00086093	0.00115368	0.00478795	0.00922645	0.00457636	0.00336449	0.0398512	0.0939981	0.0985712	0.132492	0.608943
