 	le	ruisseau	vouma	me	fait	peur	car	il	est	plein	de	fougue	</S>
t	0.00633446	0.0020309	0.0228557	0.0190363	0.179242	0.100112	0.187826	0.14465	0.192174	0.0637233	0.0353718	0.031105	0.0155384
s	0.0117966	0.0189767	0.0104731	0.00405708	0.184354	0.0143659	0.439598	0.0733374	0.0367818	0.130468	0.0111587	0.0323676	0.032265
í	0.0012586	0.00754594	0.00133739	0.00502828	0.0548414	0.0769866	0.480699	0.126887	0.039915	0.0553808	0.0290697	0.0537916	0.0672584
n	0.00352467	0.00426017	0.00380829	0.0834194	0.0563872	0.351424	0.227967	0.129906	0.033845	0.0142621	0.00890955	0.0255138	0.0567735
a	0.00878682	0.0117888	0.0118499	0.319381	0.0485453	0.0704558	0.238822	0.125495	0.0395195	0.00559204	0.0103585	0.00486642	0.104538
w	0.00127144	0.000689371	0.0025358	0.00734791	0.0323354	0.0159341	0.310106	0.275243	0.2519	0.0281857	0.0444944	0.00539553	0.0245608
a	0.00344559	0.00641776	0.0114497	0.0211462	0.112773	0.0290141	0.343501	0.309206	0.0725214	0.0293449	0.0271226	0.00717067	0.0268876
a	0.00115239	0.00050794	0.00152077	0.00716753	0.00958338	0.0140212	0.171955	0.302848	0.18367	0.06374	0.106599	0.0575379	0.0796977
d	0.00583182	0.00629391	0.00432071	0.00365842	0.0486159	0.00740824	0.0332299	0.0685405	0.307598	0.262646	0.109928	0.0759405	0.0659877
í	0.00273313	0.00158795	0.0117533	0.00883246	0.0193689	0.0120832	0.0227332	0.108708	0.382181	0.132757	0.0752238	0.0175099	0.204529
l	0.00183247	0.000369544	0.00152019	0.0101651	0.0091299	0.00347088	0.0290662	0.0564517	0.167839	0.151679	0.171237	0.125702	0.271538
e	0.00191121	0.00114147	0.00732806	0.00788221	0.0104667	0.0195021	0.0385022	0.0708271	0.0825725	0.182357	0.19266	0.0341154	0.350734
b	0.00190878	0.00174096	0.00206016	0.00522812	0.00511506	0.0107425	0.0189373	0.0391927	0.0904508	0.314027	0.230049	0.158263	0.122285
v	0.000841263	0.00105032	0.00240205	0.00805152	0.00723781	0.0322155	0.00444416	0.0316853	0.0504206	0.103993	0.0339229	0.700588	0.0231478
ú	0.00056515	0.00026692	0.000394603	0.00132829	0.00285638	0.0713968	0.00922238	0.0254609	0.0185388	0.0671063	0.0565767	0.712558	0.0337283
b	0.00080932	0.00192432	0.000154331	0.000446161	0.00302745	0.00178305	0.0131622	0.013019	0.0421574	0.12133	0.227755	0.362222	0.212211
h	0.000578966	0.000324008	0.000836688	0.00100329	0.00648319	0.00338685	0.0289995	0.0190947	0.0569392	0.169225	0.168512	0.307326	0.23729
á	0.000747913	0.00178486	0.00106813	0.000981839	0.0179861	0.00693398	0.0334277	0.0207271	0.047359	0.116918	0.416949	0.235066	0.10005
á	0.00144601	0.00118961	0.000367842	0.000672054	0.00551129	0.00220944	0.0182418	0.0142541	0.04448	0.0325724	0.282112	0.102922	0.494022
</S>	0.0112946	0.00881198	0.0138452	0.0151258	0.0405727	0.018076	0.0376952	0.0652575	0.162633	0.026743	0.197795	0.0568079	0.345341
