 	auparavant	on	cultivait	ici	du	riz	maintenant	on	ne	cultive	que	le	manioc	</S>
h	8.10404e-05	0.00288808	0.00163156	0.0112458	0.0267902	0.0202872	0.0814683	0.225189	0.166109	0.0816877	0.14981	0.0602869	0.11449	0.0580361
i	0.000127051	0.00111707	0.00220491	0.0314168	0.0413901	0.00553182	0.0951203	0.275653	0.135263	0.0491705	0.136816	0.0699695	0.0270886	0.129131
á	3.66261e-06	0.000502071	0.000477147	0.00939407	0.0396879	0.00951052	0.0715941	0.166406	0.165684	0.176543	0.170947	0.0664979	0.0318717	0.090882
b	0.000114047	0.00283285	0.00220651	0.00791258	0.00826112	0.0142606	0.018471	0.0637247	0.117847	0.184172	0.251271	0.191255	0.0536066	0.0840643
á	7.68492e-05	0.00423046	0.00102958	0.015446	0.0246518	0.0241329	0.0544387	0.128349	0.0974165	0.028591	0.192777	0.160743	0.132034	0.136084
a	9.68616e-05	0.00197767	0.000402096	0.00397477	0.0237654	0.039054	0.0546216	0.179439	0.0724287	0.0901927	0.163634	0.125905	0.0985015	0.146007
s	1.67121e-05	0.000837533	0.000734353	0.00304297	0.00608238	0.00652154	0.0255505	0.0536744	0.13578	0.146544	0.195654	0.162241	0.0957212	0.1676
i	0.000132383	0.000448501	0.00656104	0.00164944	0.00244695	0.0036823	0.000758643	0.00704934	0.0297799	0.560073	0.0756596	0.0859425	0.0273473	0.198469
á	1.45703e-05	0.00015444	0.0012571	0.00238009	0.00950604	0.00498574	0.00244989	0.0129678	0.0537281	0.267975	0.141535	0.246905	0.0557318	0.200409
i	4.32379e-05	0.00235947	0.00107078	0.00925977	0.0133484	0.0140099	0.0131394	0.065846	0.0488893	0.08202	0.23883	0.243352	0.0876926	0.180139
k	2.7526e-05	0.0011029	0.000694774	0.0039285	0.00536442	0.00424105	0.0113111	0.00927396	0.0381279	0.0474881	0.140216	0.128228	0.413205	0.19679
ώ	7.03068e-05	0.000150505	0.000267116	0.00089013	0.00329931	0.000374219	0.00888328	0.0064246	0.019902	0.0528922	0.0786489	0.0255176	0.756177	0.0465031
ώ	1.38938e-05	6.10375e-05	6.2122e-05	0.000442806	0.00450216	0.00114051	0.0154482	0.00632197	0.0147821	0.0116137	0.0362804	0.0127855	0.837924	0.0586221
o	4.48196e-06	0.000386609	0.000267695	0.00352544	0.00702297	0.00206484	0.0127634	0.0277328	0.0561981	0.0289981	0.211428	0.236192	0.103559	0.309856
t	0.000819608	0.00411324	0.00714188	0.0162792	0.0129974	0.00259986	0.00847802	0.0127966	0.0498561	0.0736632	0.173826	0.196241	0.201533	0.239655
o	8.33385e-05	0.000272619	0.000566334	0.00160625	0.00966963	0.00191919	0.0169661	0.0139942	0.0552025	0.0506418	0.157648	0.0739077	0.453316	0.164207
</S>	0.000371203	0.000557135	0.00122579	0.00191897	0.0166008	0.00233371	0.0309718	0.0174067	0.030395	0.0475643	0.0427519	0.0233193	0.558777	0.225807
