 	il	n'	a	pas	encore	de	femme	il	ne	connaît	pas	son	bonheur	</S>
é	0.000902728	0.0298439	0.0525628	0.0287216	0.136341	0.278572	0.138852	0.0178965	0.0530357	0.156202	0.0617896	0.0284064	0.00190904	0.0149651
b	0.000734819	0.00934828	0.0290997	0.0348762	0.0571592	0.225944	0.00405931	0.031013	0.0987973	0.139265	0.154362	0.0681716	0.00882202	0.138347
h	0.000544221	0.00478184	0.0275322	0.0500536	0.0865945	0.0218029	0.000171334	0.0105812	0.0324851	0.48336	0.157457	0.0423712	0.0359995	0.046265
a	0.00672144	0.00950685	0.0628337	0.119646	0.138429	0.165378	0.00934097	0.0388455	0.0498145	0.0383831	0.0173025	0.0103551	0.00639318	0.32705
k	0.00479207	0.011084	0.0223215	0.0155441	0.0336106	0.122485	0.000484481	0.043286	0.0549149	0.153241	0.258313	0.148471	0.0185463	0.112906
a	0.000940222	0.00212165	0.00764837	0.0342891	0.0335345	0.0166668	8.65198e-05	0.00639924	0.0292499	0.135378	0.423059	0.107157	0.108917	0.0945516
á	0.000176236	0.00153978	0.005712	0.0165795	0.0215601	0.00894227	0.000279031	0.0230264	0.070491	0.196833	0.238008	0.105165	0.0534786	0.258208
a	0.00464802	0.00716951	0.0177451	0.00954277	0.0263317	0.0278227	0.00242204	0.0265849	0.0310723	0.0277944	0.132255	0.301193	0.146825	0.238593
s	0.00108088	0.00805467	0.0112028	0.00638189	0.0423163	0.0296063	0.00207134	0.00469422	0.0167586	0.0292186	0.0801539	0.337291	0.312481	0.118689
á	0.00122185	0.017958	0.0292206	0.00542618	0.105107	0.0779743	0.0151042	0.00124657	0.00690709	0.0121673	0.0637204	0.312322	0.0824829	0.269142
a	0.00118025	0.00274766	0.0124098	0.00993914	0.0448158	0.129444	0.000851824	0.00597849	0.0184215	0.0182738	0.151114	0.20793	0.0922257	0.304668
ω	0.0028065	0.00455377	0.00726025	0.00844112	0.0111486	0.0406464	0.000767223	0.0125024	0.0202718	0.0203016	0.0602647	0.147571	0.427239	0.236226
b	0.000110312	0.0037121	0.0053911	0.00920155	0.0277519	0.00778747	0.00372924	0.00719369	0.0266488	0.00757188	0.0419919	0.447667	0.216996	0.194247
v	0.000480429	0.00201539	0.0060534	0.014332	0.0258816	0.00224161	0.00174649	0.0105448	0.023384	0.0110034	0.0395963	0.337443	0.282484	0.242794
έ	0.000396991	0.00110536	0.00334901	0.00937471	0.0132442	0.00833626	0.000142785	0.0042227	0.0161475	0.0196126	0.0433126	0.15187	0.614968	0.113917
ω	8.60458e-05	0.000635717	0.00106613	0.00132696	0.00293883	0.0144294	2.37217e-05	0.00183304	0.0128768	0.00887264	0.0282668	0.134021	0.0442905	0.749332
t	0.000829738	0.00504905	0.00627755	0.00487492	0.0143073	0.0163081	0.000346137	0.00767209	0.0194299	0.0080988	0.0254703	0.194054	0.170669	0.526613
á	0.000211045	0.00209427	0.00462273	0.0105748	0.0113381	0.00209123	0.000185304	0.00294213	0.0106932	0.0358206	0.0699072	0.352726	0.121283	0.37551
a	0.00079837	0.00448105	0.00834136	0.00709757	0.0137406	0.0111026	0.00028472	0.00197835	0.00699201	0.0826861	0.0530998	0.24131	0.0439232	0.524165
k	0.00157735	0.00392616	0.0078744	0.0140628	0.00896717	0.0134617	0.00020554	0.0187025	0.0226472	0.0267119	0.0645878	0.241371	0.124532	0.451373
a	0.000114384	0.000444537	0.00149818	0.00835295	0.0041762	0.000638345	2.66712e-05	0.000858504	0.00340112	0.0121407	0.0590812	0.0905182	0.196071	0.622678
á	0.000438135	0.000580784	0.00140816	0.00307319	0.00272879	0.00352563	9.19222e-05	0.00169066	0.0048846	0.0173268	0.0308198	0.0650736	0.0964497	0.771908
</S>	0.0053708	0.00677313	0.016598	0.0124734	0.0199439	0.0133192	0.00273985	0.0307318	0.0227034	0.0103665	0.0265764	0.114576	0.0277158	0.690112
