 	de	la	manière	qu'	il	a	de	mandé	son	père	il	y	a	longtemps	qu'	il	l'	a	vu	</S>
a	0.00380271	0.00380984	0.00363307	0.0776738	0.139708	0.0388602	0.023411	0.00614177	0.235196	0.231165	0.0770676	0.0633431	0.0121788	0.0130234	0.0315671	0.0140216	0.011478	0.00233628	0.00499494	0.00658737
t	0.000607571	0.000679391	0.00193292	0.0450201	0.092112	0.0506896	0.0485764	0.0563641	0.285237	0.260319	0.0630682	0.0272421	0.0127392	0.0107489	0.0129617	0.0131284	0.00725249	0.00390304	0.00153021	0.0058879
á	0.0143199	0.0274498	0.0134956	0.0476591	0.0619733	0.0217015	0.0153863	0.00744819	0.0814401	0.462044	0.0756411	0.0696811	0.0224205	0.019303	0.0373241	0.0064711	0.00565254	0.000940824	0.00463859	0.00500976
á	0.00031944	0.000494946	0.00130358	0.00804631	0.0258303	0.0128439	0.00605879	0.00817929	0.0287534	0.789892	0.0379164	0.0154727	0.00658199	0.00799556	0.00769962	0.0131109	0.00484387	0.0023435	0.0078965	0.014417
á	0.00129661	0.00105246	0.00242929	0.0120096	0.0215773	0.0255594	0.0266832	0.0205378	0.131086	0.12422	0.145735	0.116925	0.0877412	0.0368311	0.110463	0.0590949	0.0360763	0.0224388	0.00806613	0.0101775
m	0.00127979	0.000727104	0.00527807	0.0077864	0.0078914	0.0795125	0.0797542	0.0413435	0.00714646	0.0533128	0.0324043	0.0429083	0.0983562	0.112284	0.0337816	0.0625462	0.0631612	0.119236	0.119574	0.0317157
i	0.00256094	0.00537426	0.00260966	0.00190376	0.0019993	0.0274628	0.0262663	0.0783196	0.0223536	0.0275069	0.0650318	0.0376977	0.121344	0.234723	0.045562	0.119801	0.0895598	0.0487498	0.00686885	0.034305
k	0.00101662	0.000486933	0.00168708	0.000881425	0.00165234	0.0256044	0.0525268	0.162874	0.00669865	0.0161117	0.0368468	0.0358357	0.0768349	0.143127	0.0489127	0.0630629	0.0514775	0.0393255	0.162397	0.0726406
á	9.03399e-05	0.000146924	0.00190323	0.00105573	0.00154959	0.0266259	0.0312847	0.0299939	0.00521124	0.0154684	0.0343507	0.0450779	0.0561216	0.315388	0.0500251	0.055079	0.0422225	0.0191282	0.188262	0.081015
n	0.000141671	0.00023751	0.0013802	0.00211678	0.00565718	0.0147173	0.00950795	0.00859781	0.0126688	0.101722	0.0374323	0.0585147	0.0458228	0.0804772	0.0516089	0.111803	0.0684825	0.0476489	0.250558	0.0909053
á	0.00018702	0.000175839	0.000900719	0.00330889	0.00822415	0.00390707	0.00589935	0.00527449	0.0673177	0.0549057	0.0953357	0.110165	0.0469501	0.148819	0.167613	0.10967	0.0976494	0.0164714	0.0240662	0.0331605
á	0.000248744	0.000133667	0.000674951	0.00263666	0.00485546	0.00188491	0.00217382	0.00211343	0.0264234	0.0278071	0.0478948	0.054071	0.053957	0.0770241	0.219998	0.18378	0.165908	0.0614554	0.0427927	0.0241672
l	0.00111672	0.000572893	0.00149544	0.00670653	0.00498375	0.0121534	0.0129078	0.00663777	0.00607809	0.00362204	0.0135342	0.0218197	0.0589341	0.0976575	0.0560833	0.115271	0.157566	0.238969	0.123927	0.0599635
a	0.00147241	0.00236394	0.00337598	0.00443297	0.00142889	0.00794886	0.00798912	0.00553721	0.00365225	0.00276699	0.0075461	0.0104142	0.0469894	0.16206	0.0359397	0.125025	0.202854	0.110509	0.140784	0.11691
w	0.00104032	0.00233829	0.0061656	0.0078924	0.00281123	0.00228885	0.00208664	0.00224381	0.0155965	0.00793302	0.0223756	0.0266374	0.0566049	0.163576	0.135582	0.203135	0.215783	0.0421073	0.0493098	0.0344919
a	0.000583154	0.000849863	0.00138894	0.00213815	0.00214936	0.00306413	0.0018739	0.000630464	0.00671878	0.0100269	0.0348911	0.0566134	0.0776611	0.0989499	0.108415	0.139367	0.180719	0.102123	0.142569	0.0292671
</S>	9.38442e-05	0.000138745	0.000462591	0.00070384	0.000708226	0.000737441	0.000657428	0.000602116	0.00301114	0.0114793	0.0219505	0.0435389	0.0430079	0.0623571	0.115768	0.10446	0.167897	0.114777	0.168541	0.139108
