 	ton	enfant-ci	souffre	de	la	rougeole	il	risque	de	contaminer	les	autres	</S>
b	0.000205901	0.00350445	0.00131194	0.0159583	0.0505059	0.840074	0.0466971	0.00304252	0.0140988	0.00100118	0.00496539	0.00570177	0.0129332
e	0.000148598	0.00205685	0.00111798	0.00842177	0.0605037	0.895347	0.00934387	0.00175919	0.00722269	0.00159125	0.00057041	0.0110983	0.000818692
m	0.000421793	0.00693933	0.0118732	0.0656649	0.0809241	0.632357	0.120984	0.00925718	0.0251857	0.0147693	0.0015951	0.022365	0.00766366
b	0.00061773	0.0015794	0.00118589	0.011545	0.0372032	0.882209	0.0323026	0.00250202	0.00781489	0.001174	0.0048277	0.00534027	0.0116986
e	0.000397345	0.00348687	0.00170828	0.0109924	0.0321932	0.906289	0.0112314	0.00555919	0.012646	0.00486151	0.00222938	0.00345648	0.00494917
l	0.000463011	0.000264423	0.0145515	0.0494836	0.0731815	0.0721783	0.155738	0.193903	0.167903	0.197435	0.0120376	0.00129121	0.0615699
o	0.0055223	0.000428644	0.0147596	0.0340604	0.0622942	0.0191534	0.160378	0.366626	0.146588	0.0432644	0.0251936	0.00708256	0.114649
y	0.000279394	3.44149e-05	0.00188037	0.00559084	0.0150182	0.00497107	0.0443717	0.525666	0.185165	0.0910416	0.0374862	0.00130423	0.0871914
a	0.00105635	6.45896e-05	0.00221462	0.0133644	0.0274282	0.00492449	0.0280429	0.6309	0.178285	0.0413428	0.0418791	0.0014416	0.0290566
a	0.000322544	1.65139e-05	0.000768935	0.0135839	0.0196057	0.00180873	0.0570932	0.353118	0.278044	0.0560217	0.140247	0.00292687	0.0764428
a	0.00029652	2.73379e-05	0.00125291	0.00732766	0.00403936	0.00118324	0.0561453	0.230797	0.189231	0.14396	0.181084	0.00977858	0.174877
k	0.000144128	2.18351e-05	0.00352457	0.0219408	0.0114472	0.000421963	0.0122897	0.202744	0.124681	0.237734	0.143183	0.0241278	0.217741
u	3.80839e-05	0.000110043	0.00233891	0.00625703	0.00485397	0.000133236	0.00205211	0.0700831	0.0919	0.650363	0.0317034	0.0173337	0.122834
l	0.000632576	9.73357e-06	0.000311959	0.00480837	0.00860744	0.000260336	0.000952102	0.0486145	0.0843977	0.672091	0.0226649	0.0134231	0.143226
ú	0.00565213	6.95577e-06	0.000361673	0.0116726	0.0267758	0.000257504	0.0056775	0.137136	0.199587	0.242654	0.184243	0.0126813	0.173294
s	0.000219555	5.41305e-06	0.00020115	0.00300246	0.00301981	0.000282492	0.0166995	0.0504412	0.0961613	0.0318932	0.584411	0.0707446	0.142919
ú	0.00069208	2.22465e-05	0.000526967	0.00900305	0.0117418	0.000744785	0.00351139	0.1486	0.115082	0.0372342	0.353883	0.0116096	0.307349
a	8.75344e-05	1.08196e-05	2.15863e-05	0.000849245	0.00471387	0.00232238	0.00104744	0.029643	0.0263999	0.00674029	0.765071	0.0110839	0.152009
b	8.20908e-05	4.99184e-06	0.000189424	0.00290595	0.00274314	0.00014318	0.00503373	0.0294615	0.0462885	0.032581	0.444524	0.0890709	0.346972
i	0.00056144	0.000763726	0.00217429	0.0171891	0.00917044	0.000487293	0.00382705	0.00646073	0.0648508	0.161806	0.126046	0.546375	0.0602876
a	6.75715e-05	4.45587e-05	0.000568797	0.00328467	0.00220932	0.000232809	0.00155548	0.00684251	0.0322021	0.071105	0.0578743	0.481851	0.342162
</S>	0.000493166	8.94183e-06	0.000505941	0.00572885	0.00348227	0.000379946	0.0131117	0.0142509	0.0199808	0.00944574	0.513308	0.0944805	0.324823
