 	ils	sont	tombés	d'	accord	que	celui	qui	arriverait	à	faire	ôter	son	manteau	au	voyageur	serait	vu	comme	le	plus	fort	</S>
e	0.00207851	0.00147801	0.0249241	0.104305	0.403097	0.114419	0.0565288	0.0918601	0.012484	0.0265983	0.0110657	0.0225792	0.0151629	0.0120654	0.0122066	0.000998831	0.0351537	0.00922038	0.0109856	0.00643671	0.00403222	0.00123716	0.0210821
m	0.000906385	0.013216	0.014145	0.235715	0.0588065	0.146305	0.127164	0.181064	0.0221054	0.0375607	0.0252056	0.0349324	0.0149999	0.0149119	0.0118967	0.00264508	0.00819238	0.00667501	0.00849267	0.00593912	0.00622258	0.00246524	0.0204328
o	0.000277174	0.00322466	0.000866077	0.0694925	0.0418873	0.219103	0.267166	0.1193	0.105413	0.0828825	0.0242396	0.0137698	0.00486056	0.00069739	0.00473369	0.00737294	0.000188374	9.34603e-05	0.00495495	0.00394505	0.00559438	0.000563576	0.0193739
r	8.16681e-05	0.00395968	0.00165047	0.0356588	0.00828858	0.0991629	0.364462	0.134894	0.115241	0.047972	0.0628041	0.0127805	0.00715686	0.0103653	0.00960049	0.0204866	0.00423056	0.00170272	0.0088577	0.00914624	0.00685399	0.0117448	0.0228988
o	0.000133762	0.00111056	0.00844411	0.0397871	0.0208389	0.119993	0.233248	0.310826	0.0313209	0.0643766	0.0371522	0.0512507	0.0173948	0.0128459	0.0139456	0.00228907	0.0170881	0.000559629	0.00414961	0.00263419	0.00141374	0.000890945	0.0083076
y	0.000231925	0.00560375	0.00398457	0.0688883	0.0656023	0.116468	0.12106	0.304152	0.0382437	0.0877964	0.0516741	0.0782088	0.0210898	0.01122	0.00700917	0.00128723	0.00306661	0.00124612	0.00241027	0.00153562	0.00164085	0.000837389	0.00674369
e	0.000241933	0.0046718	0.00404879	0.0650885	0.0149121	0.180368	0.192955	0.167164	0.0322471	0.0856288	0.0740246	0.0611808	0.0408154	0.0192375	0.0107867	0.00331209	0.012006	0.00314269	0.00501234	0.00357872	0.00289216	0.00581993	0.0108651
e	0.000819637	0.00593827	0.00160568	0.0357957	0.0140231	0.148856	0.128217	0.195676	0.115641	0.141892	0.0963247	0.0391008	0.0257067	0.0137476	0.00563093	0.00278715	0.00370677	0.00293942	0.00324581	0.00291059	0.00348096	0.00175258	0.0102011
b	0.000242255	0.00153288	0.00395601	0.00143472	0.00207732	0.00916868	0.101919	0.102386	0.384967	0.13319	0.0704241	0.0459572	0.00363479	0.00938669	0.007024	0.0524515	0.00929417	0.00717226	0.0083956	0.0092793	0.00387589	0.0110092	0.021221
h	0.000260257	0.00234651	0.000533435	0.00184703	0.00248351	0.0081082	0.0357808	0.0283023	0.606137	0.0663497	0.0518727	0.0480768	0.00761864	0.00321592	0.0106023	0.102542	0.003272	0.00142595	0.00629671	0.00419025	0.00182582	0.00167995	0.0052325
e	3.48976e-05	0.000245825	0.000109143	0.000279414	0.000495293	0.00150546	0.0200647	0.0134024	0.760922	0.0629552	0.0267061	0.00606723	0.0012776	0.000556459	0.00476013	0.0775331	0.000564308	0.000295181	0.00455473	0.00653303	0.00257029	0.000482263	0.00808494
r	0.000263381	0.000712812	0.000559411	0.00179721	0.00218723	0.00518784	0.0336371	0.0461854	0.663173	0.103493	0.04869	0.00548416	0.0052646	0.0033684	0.00358989	0.0295698	0.00230013	0.00102684	0.00385404	0.00544005	0.00274585	0.00218294	0.0292873
á	5.20478e-05	0.00011533	0.00110002	0.00851489	0.00804853	0.0327768	0.0392629	0.0845036	0.201703	0.211186	0.184954	0.0192444	0.028647	0.0077077	0.0178186	0.00807288	0.0144238	0.00144023	0.0187335	0.0164791	0.0103998	0.00226077	0.0825547
o	0.000367303	0.000711933	0.000364071	0.00853882	0.00675748	0.0304911	0.0183872	0.0405597	0.159557	0.248373	0.2636	0.0779469	0.0937152	0.0224923	0.00824623	0.00528826	0.00189603	0.00142695	0.00200136	0.00121166	0.0016155	0.000720926	0.00573093
s	0.000107344	0.00123626	0.00208239	0.000743599	0.00035198	0.00214661	0.0177053	0.0163828	0.0885538	0.211657	0.204032	0.181494	0.0298657	0.0702569	0.0211895	0.10398	0.0214018	0.00348817	0.00421222	0.00440563	0.00166401	0.00699376	0.00604905
ó	1.85929e-05	0.000757601	0.0380819	0.00102254	0.000989813	0.00196269	0.0179728	0.0360665	0.0261381	0.0888144	0.0551379	0.612244	0.00859318	0.0135274	0.0100411	0.0605944	0.0137637	0.000616716	0.00185007	0.00258709	0.000701316	0.00263865	0.00587999
r	1.81762e-05	0.000323071	0.00118941	0.00135924	0.000672838	0.00420904	0.0288314	0.0520331	0.0449354	0.220434	0.237055	0.241639	0.0424119	0.0289902	0.0257575	0.0230175	0.00584161	0.000889504	0.00281739	0.00477888	0.00168936	0.00346639	0.02764
í	1.37866e-05	0.000186696	0.00191163	0.00126095	0.000931081	0.00670607	0.0244671	0.0887382	0.0394917	0.193802	0.226727	0.109234	0.0540243	0.0601191	0.030738	0.0133552	0.0328146	0.00459559	0.0175209	0.016247	0.00993865	0.00632914	0.0608484
s	4.27626e-05	0.000383076	0.000231643	0.0028212	0.00189289	0.0089397	0.00730446	0.0266967	0.027933	0.140486	0.185648	0.137519	0.222493	0.120499	0.0598451	0.0148048	0.00918375	0.00772979	0.00600902	0.00356796	0.0044866	0.00111823	0.0103653
á	1.88256e-05	8.00868e-05	0.00118074	0.00184337	0.0033856	0.0069361	0.00377375	0.0129453	0.00664314	0.116502	0.121393	0.22581	0.119998	0.156832	0.0828697	0.0132193	0.0718006	0.0169715	0.011545	0.00489365	0.00336874	0.00366042	0.0143291
w	0.000150749	0.000510934	0.000147991	0.0025696	0.00133807	0.00448722	0.00147798	0.00264732	0.00178535	0.0346337	0.0707579	0.109714	0.334267	0.207405	0.106064	0.0113478	0.0704059	0.0274686	0.00508977	0.00250111	0.00196529	0.00156946	0.00169519
a	0.0018784	0.000633106	0.000365721	0.00520995	0.00397986	0.0141294	0.00559885	0.0133814	0.0132393	0.0700486	0.10334	0.0510797	0.200827	0.121639	0.128115	0.0359136	0.034514	0.0678357	0.0439818	0.0225929	0.0278438	0.0141761	0.0196773
o	0.00016762	0.000245961	4.88976e-05	0.00108687	0.000556296	0.00213033	0.000876119	0.00201828	0.00205769	0.0211332	0.0862173	0.0295197	0.217644	0.246166	0.18348	0.0244186	0.0237746	0.0780465	0.0241621	0.0126676	0.0184141	0.00484666	0.0203209
k	1.95829e-05	0.000311522	0.000682954	0.000535603	0.000302345	0.000825457	0.00237428	0.00249914	0.00205087	0.00643885	0.0115512	0.00898496	0.00811153	0.120186	0.16696	0.34658	0.139129	0.0451312	0.0471522	0.0318177	0.0127527	0.0270291	0.0185742
á	7.41669e-06	2.86964e-05	0.000256337	0.000258882	0.000263095	0.000420431	0.00200474	0.0026659	0.00546651	0.0071955	0.0265281	0.00449416	0.0106722	0.0732924	0.128025	0.386628	0.0967321	0.0631955	0.0530108	0.0483946	0.0170422	0.0297465	0.0436711
n	3.44491e-05	6.39277e-05	7.74775e-05	0.000264952	0.000401218	0.00034833	0.000321679	0.000854279	0.00350601	0.00796212	0.017858	0.0144488	0.0301081	0.115867	0.0932711	0.193528	0.166224	0.203631	0.0365113	0.0249757	0.0111831	0.0335442	0.045015
d	0.000630893	3.81967e-05	8.49305e-05	0.000281318	0.000968152	0.00104231	0.000569732	0.00186555	0.00198472	0.0136492	0.0270916	0.00638244	0.0863962	0.136807	0.0960363	0.0112974	0.156457	0.210832	0.0638695	0.0319579	0.0246998	0.00777368	0.119285
á	0.000184846	0.000166225	0.00107772	0.000982601	0.00123775	0.00258642	0.00229224	0.00859449	0.00121237	0.0217701	0.0350527	0.044707	0.0686104	0.213543	0.116149	0.00986816	0.152635	0.0998668	0.0319801	0.0322533	0.0165969	0.00629345	0.13234
m	0.000109657	0.000153955	3.94654e-05	0.00163067	0.000528327	0.00266405	0.00104721	0.00252404	0.00249435	0.0155231	0.0236915	0.00689923	0.071754	0.0916888	0.130283	0.051482	0.0870689	0.130268	0.126618	0.0800631	0.104732	0.025526	0.0432108
á	0.000237198	0.000503888	0.000142185	0.00225297	0.00027085	0.00433997	0.00618209	0.00269265	0.0020342	0.0123973	0.0139924	0.0123228	0.0192024	0.0100933	0.089392	0.233542	0.0187519	0.00789083	0.125767	0.0924945	0.0885033	0.0817898	0.175204
p	4.2967e-05	0.000192036	5.12037e-05	0.00239611	0.000666923	0.00306142	0.00129998	0.0019476	0.00117003	0.00932467	0.0129455	0.0129902	0.0473805	0.0304069	0.111917	0.0335941	0.0666215	0.11528	0.152822	0.12536	0.138154	0.0614247	0.0709499
y	2.10898e-05	2.81345e-05	8.07444e-05	0.000238964	0.000111723	0.000389171	0.000357561	0.000551847	0.000482036	0.00176826	0.00334585	0.00149252	0.00953841	0.0324746	0.0243973	0.0414124	0.198211	0.229228	0.102618	0.0971913	0.0415676	0.176767	0.0377262
é	9.5281e-06	1.02415e-05	2.47008e-05	5.86008e-05	3.28469e-05	0.000102336	0.000115116	0.000384424	0.000677657	0.0014789	0.0027352	0.00137018	0.00656547	0.0112748	0.0109453	0.0277194	0.14583	0.19463	0.0930218	0.173967	0.0638838	0.230519	0.034644
b	4.24693e-06	1.02093e-05	8.69771e-05	9.46143e-05	0.000121421	0.000155519	0.000122903	0.000511503	0.00120202	0.00182275	0.00286337	0.00262277	0.00979196	0.0193147	0.023722	0.0698153	0.181074	0.24719	0.0896849	0.0975709	0.0485898	0.125226	0.0784025
h	6.75579e-06	1.25277e-06	4.28958e-06	3.3187e-05	5.79537e-05	9.4864e-05	7.27409e-05	0.000193055	0.000498922	0.0011912	0.0028664	0.000241278	0.00577439	0.0120577	0.023978	0.0323466	0.17962	0.210215	0.142939	0.123489	0.059362	0.059659	0.145298
i	1.04537e-05	1.79322e-05	7.36046e-05	0.000219206	0.000704059	0.000690575	0.000348864	0.000913055	0.0024361	0.00562357	0.00615133	0.00215947	0.0261122	0.0213384	0.0477205	0.027956	0.246935	0.0490306	0.147878	0.0878333	0.047452	0.0318485	0.246547
a	9.28255e-06	3.0398e-05	7.16459e-05	0.000330349	0.000256248	0.000593369	0.000287446	0.00106059	0.000946281	0.0029968	0.00352449	0.0006731	0.0104602	0.0172999	0.0328687	0.0140129	0.0968108	0.0645912	0.185468	0.169742	0.184865	0.073062	0.140039
p	2.30457e-05	0.000104847	5.2835e-05	0.000746977	0.000322989	0.00146213	0.00126846	0.00251876	0.00266357	0.00746766	0.00520677	0.00172606	0.00426786	0.0111115	0.0295865	0.0125845	0.042158	0.0307194	0.133015	0.155469	0.25361	0.122357	0.181557
é	2.26822e-06	1.0299e-05	9.73279e-05	0.0001204	8.26178e-05	0.000157794	0.000275538	0.000694522	0.000354451	0.000789806	0.00116221	0.000318588	0.00112813	0.00580839	0.0094033	0.0105778	0.0700439	0.0616581	0.0953526	0.151815	0.0912788	0.399028	0.0998397
n	6.9031e-06	1.59229e-05	2.71338e-05	7.73777e-05	7.11411e-05	0.00011439	0.000108626	0.000316689	0.000497631	0.000924593	0.00172626	0.000414923	0.00458996	0.0101261	0.0122232	0.0176429	0.0857176	0.101423	0.0926159	0.126052	0.103682	0.307221	0.134405
d	6.68329e-06	8.95501e-06	1.58723e-05	5.32046e-05	3.27074e-05	0.000128874	0.000159931	0.000309852	0.000389377	0.000840597	0.00105338	0.000319095	0.00320273	0.0113202	0.0115026	0.0121668	0.189531	0.127595	0.172452	0.158178	0.101043	0.0945422	0.115147
í	8.83288e-06	1.90113e-05	0.000138507	0.000143613	0.000144893	0.00039376	0.00059113	0.00150234	0.000501065	0.00370744	0.00539229	0.00322783	0.0075046	0.0256099	0.0319511	0.0128853	0.145464	0.0830107	0.116499	0.176016	0.0832624	0.125135	0.17689
o	4.82316e-05	2.67542e-05	1.6625e-05	0.000155759	0.000176634	0.000306452	0.000238682	0.000724063	0.000804056	0.0035126	0.00490218	0.00101162	0.0122154	0.0117218	0.0155298	0.00331907	0.0368498	0.0412191	0.0926291	0.146184	0.205212	0.225341	0.197855
b	1.55999e-05	9.55031e-05	0.000167416	0.000507643	0.000329768	0.00110833	0.0012797	0.00220532	0.00192493	0.00824183	0.00578817	0.001545	0.00178828	0.00537706	0.0204902	0.00746157	0.0215817	0.00518913	0.0676367	0.0913289	0.157825	0.383136	0.214977
i	1.35812e-05	3.55345e-05	5.10553e-05	0.000214327	0.000424556	0.000420473	0.00117323	0.00167756	0.0054373	0.00405751	0.00505941	0.00170949	0.00174453	0.00190888	0.0596906	0.0292636	0.013688	0.005925	0.18266	0.176443	0.246299	0.152881	0.109223
a	3.559e-06	2.08891e-05	0.000168323	0.000219395	0.00010998	0.000347606	0.00166663	0.00202787	0.00359408	0.00749625	0.00488678	0.002284	0.00356197	0.00295391	0.0256808	0.0977604	0.00832657	0.00324079	0.0779558	0.129025	0.115577	0.109633	0.403459
m	3.46111e-05	0.000284426	4.21403e-05	0.0017812	0.000775479	0.0031743	0.0016849	0.00355299	0.00401664	0.0116846	0.00890674	0.00317995	0.0206447	0.0141853	0.0284837	0.00434103	0.0290313	0.0213653	0.0927122	0.095799	0.257984	0.252045	0.14429
ó	0.000423305	0.000585582	0.000465229	0.00269892	0.00150834	0.00546004	0.00669982	0.00660305	0.00455392	0.0195418	0.00831074	0.0059568	0.0052061	0.00169074	0.0354699	0.0281209	0.00265175	0.00264429	0.111923	0.159938	0.292836	0.13263	0.164082
p	4.44197e-05	0.00032009	0.00023636	0.00371535	0.000905551	0.00532573	0.00198237	0.00495725	0.000953478	0.0103988	0.012004	0.00647461	0.010084	0.00606179	0.0497705	0.00511333	0.0178196	0.00913754	0.0584173	0.076651	0.171161	0.256245	0.29222
á	3.63035e-05	3.83952e-05	0.000275248	0.000380359	0.000428015	0.00069679	0.00046026	0.000674015	0.000470763	0.00156942	0.00257382	0.000952405	0.00385003	0.0114583	0.0117111	0.0058761	0.0630129	0.0886562	0.0563676	0.07249	0.0887445	0.444201	0.145076
m	2.73047e-05	8.32028e-05	6.21767e-05	0.000145954	0.000120491	0.000224851	6.86e-05	0.000177582	0.000416645	0.000767975	0.000975152	0.00103067	0.00170314	0.0050805	0.00415438	0.00742864	0.03792	0.0963265	0.0245611	0.0287182	0.0317694	0.673361	0.0848763
i	6.51213e-05	4.22654e-05	5.61423e-05	0.000195757	0.000599251	0.000764985	0.000701264	0.000646264	0.00171592	0.00480148	0.00196714	0.00103674	0.00171155	0.00108961	0.0215446	0.0175287	0.00511644	0.00310726	0.0963629	0.149028	0.341241	0.136685	0.213993
</S>	6.45631e-05	0.000220125	8.27719e-05	0.00115851	0.000703848	0.00178487	0.000829151	0.00153943	0.00126258	0.00548327	0.00544137	0.00263932	0.0135537	0.0158235	0.0202229	0.00619288	0.0296017	0.0309855	0.0746128	0.0746691	0.165616	0.197022	0.35049
