 	j'	ai	rencontré	brusquement	dans	la	rue	un	homme	qui	annonçait	l'	évangile	de	dieu	</S>
b	0.00141487	0.000366545	4.84696e-05	0.000908443	0.00934486	0.017492	0.00592108	0.0418687	0.0101803	0.0493322	0.0716163	0.192116	0.219164	0.208408	0.036615	0.135203
é	0.0012345	0.000373901	0.000255029	0.00242873	0.0121527	0.0358532	0.00811843	0.024741	0.0130049	0.0409106	0.159715	0.181857	0.116952	0.0638218	0.151439	0.187142
b	0.00010332	0.000114625	4.11837e-05	0.000348045	0.0014588	0.00267388	0.00244722	0.0104548	0.0039642	0.0389147	0.0497783	0.176406	0.160816	0.120726	0.00928909	0.422463
o	3.07426e-05	4.71345e-05	0.000194373	0.000867566	0.0213565	0.0348741	0.1326	0.00965265	0.0153096	0.00904139	0.00457914	0.155743	0.169718	0.163279	0.0101166	0.27259
o	7.40321e-05	0.000160984	0.000524583	0.00300594	0.0104712	0.0156728	0.011791	0.0101515	0.00687759	0.0229588	0.027081	0.0937205	0.52355	0.0504122	0.0349015	0.188646
m	3.12138e-05	0.000198023	9.7241e-05	0.000532096	0.00737777	0.00422409	0.00130628	0.00318236	0.00143255	0.0146187	0.0145258	0.0630834	0.079351	0.204216	0.00754372	0.598279
a	2.05739e-05	9.11222e-05	0.000119618	0.00354717	0.0395896	0.058186	0.0157126	0.0319805	0.0168297	0.0442797	0.013628	0.140604	0.143888	0.284576	0.012366	0.194582
s	3.07017e-05	2.45605e-05	2.9576e-05	0.00025334	0.0032108	0.00774923	0.020049	0.00987655	0.0033271	0.011585	0.00916771	0.0714706	0.149222	0.269936	0.0514932	0.392574
á	2.33265e-05	2.25823e-05	0.00014277	0.000875999	0.00305404	0.00508062	0.000572031	0.00173187	0.000398842	0.00757578	0.0423258	0.0291362	0.296066	0.190786	0.304137	0.118071
b	6.11334e-05	8.14888e-05	7.3149e-05	0.00023724	0.00229163	0.00323994	0.00347522	0.00323215	0.000981815	0.00568749	0.00477949	0.0230451	0.0757554	0.295383	0.21353	0.368145
a	6.7872e-05	0.000107855	9.84144e-05	0.000387616	0.00501302	0.0112223	0.0333918	0.00330602	0.0112885	0.00420904	0.00450704	0.0600056	0.519584	0.204129	0.0463347	0.0963471
l	8.9378e-05	6.16782e-05	5.68004e-05	0.000165277	0.00337705	0.00708667	0.0251545	0.00383055	0.00683324	0.00339877	0.00449293	0.057364	0.260092	0.28687	0.161762	0.179365
a	2.83382e-05	1.44063e-05	7.58552e-05	0.00084951	0.00273168	0.00677491	0.0038105	0.002146	0.00348868	0.0060397	0.0151103	0.042458	0.304204	0.197554	0.0577355	0.356979
b	2.00132e-05	2.17608e-05	1.39815e-05	0.000119947	0.00164922	0.0024533	0.00240306	0.00319694	0.00250299	0.0113245	0.0130388	0.065242	0.121751	0.309792	0.0221593	0.444311
á	2.00846e-05	4.09792e-05	0.000706516	0.000965324	0.010668	0.0196553	0.0661122	0.00635944	0.00540842	0.0149366	0.0086579	0.1511	0.220328	0.244098	0.0215636	0.22938
l	0.000973604	0.000886888	0.000437999	0.000747798	0.0114289	0.0172482	0.101994	0.00866584	0.0125521	0.0109303	0.00715927	0.0885524	0.100253	0.258133	0.125448	0.254589
a	0.00268927	0.00140349	0.000941564	0.00118366	0.00443479	0.00967536	0.00192279	0.00160505	0.00152633	0.00523563	0.0148066	0.0214725	0.0679593	0.222557	0.199913	0.442674
</S>	6.89913e-05	5.11681e-05	2.23671e-05	8.99097e-05	0.000690064	0.00128363	0.000883252	0.00211766	0.000439161	0.00527666	0.00677314	0.0194258	0.0508774	0.229669	0.0807522	0.601579
