 	cet	homme	est	accablé	de	tristesse	parce	qu'	il	a	perdu	sa	femme	</S>
a	0.00237687	0.000779269	0.0183308	0.056157	0.101617	0.333389	0.226868	0.131688	0.0448603	0.0233367	0.0112578	0.0139138	0.000445811	0.03498
n	0.00180595	0.000333548	0.00310774	0.0200934	0.0497542	0.445992	0.316995	0.0815144	0.0335525	0.0117429	0.00361728	0.0171551	0.00472019	0.00961591
y	0.000645088	0.000213816	0.00121402	0.0181355	0.0456141	0.745972	0.154811	0.0143438	0.0076895	0.00268187	0.00140747	0.00219533	0.000183942	0.00489268
i	0.000323986	0.000126565	0.00115532	0.0111042	0.0301445	0.825724	0.0891034	0.00928513	0.00907303	0.00441542	0.00642628	0.00300023	0.000295665	0.00982225
n	0.000252623	0.000497753	0.00683	0.145157	0.0812542	0.511329	0.100401	0.017824	0.0107326	0.00968549	0.0734263	0.0081124	0.000985738	0.0335116
g	0.000939804	0.000912867	0.00940631	0.0180891	0.0848976	0.351945	0.164583	0.124151	0.0299586	0.0312054	0.0539799	0.00642096	0.00234578	0.121165
a	0.000528544	0.000152854	0.00263334	0.0297575	0.123429	0.237757	0.414339	0.132486	0.0248485	0.00663136	0.00844483	0.000900486	0.000123089	0.0179678
t	0.0014433	0.000890312	0.0112996	0.00857895	0.0104542	0.0526252	0.111674	0.349951	0.235605	0.144159	0.0412217	0.00768172	0.00052343	0.0238934
s	0.00191662	0.000723986	0.00183779	0.0144843	0.0285858	0.138536	0.241939	0.297959	0.136179	0.0559768	0.0222137	0.0184232	0.00159297	0.0396325
i	0.000614702	0.000271313	0.00136392	0.0240551	0.0324735	0.0962811	0.391707	0.211063	0.0759962	0.0417701	0.063258	0.00898122	0.00218183	0.049983
n	0.00135787	0.000887576	0.00257488	0.0212213	0.0238165	0.113514	0.2836	0.188968	0.0919923	0.0534013	0.0813309	0.00820535	0.0103935	0.118736
a	0.00395468	0.00193077	0.00718517	0.0262142	0.0534528	0.188251	0.185758	0.169857	0.163891	0.0172467	0.0206281	0.00649432	0.00314263	0.151994
í	0.00164764	0.000515815	0.00555919	0.00355927	0.00419814	0.0252922	0.0426048	0.185141	0.253092	0.264196	0.109391	0.0358392	0.0106956	0.0582681
m	0.000988115	0.0011796	0.0173653	0.0038531	0.00730093	0.0107787	0.00738862	0.0299922	0.0518286	0.54377	0.228858	0.0281937	0.0166029	0.0519001
i	0.000571897	0.000665287	0.00355893	0.00115362	0.00116497	0.00159974	0.000345798	0.00318596	0.0104594	0.10687	0.138234	0.177116	0.501624	0.0534496
w	0.00011098	0.000121993	0.00237277	0.000861077	0.00133112	0.000662604	0.000215259	0.00222526	0.00306731	0.0592185	0.698816	0.0202266	0.150225	0.0605454
é	5.78954e-05	0.00048923	0.00217909	0.00317896	0.00481977	0.00376153	0.00247351	0.00386363	0.00861936	0.0541561	0.58164	0.132083	0.0745928	0.128085
s	2.34232e-05	8.95299e-06	0.000148403	0.000359724	0.0010167	0.00242718	0.00530804	0.0107789	0.0182178	0.052683	0.480588	0.107541	0.0223814	0.298517
á	0.000138391	0.000162996	0.00138111	0.0104845	0.00891169	0.026258	0.0154428	0.0278885	0.0369771	0.0443507	0.363461	0.126481	0.0039625	0.3341
m	0.00115797	5.65257e-05	0.000389343	0.000985001	0.00160982	0.00613028	0.0134795	0.0459604	0.117283	0.0530336	0.0488266	0.493282	0.0483154	0.16949
w	0.00331537	0.00038574	0.000326263	0.00047696	0.00276097	0.00394059	0.00176106	0.0166615	0.0375656	0.0394169	0.0215047	0.155478	0.655211	0.0611957
á	0.0254231	0.00237332	0.00253125	0.00904709	0.0109762	0.0183348	0.0140107	0.0236186	0.0876645	0.045018	0.0638448	0.123522	0.53612	0.0375154
s	0.0519446	0.00136974	0.00146331	0.0044583	0.00262187	0.00564782	0.00335426	0.0143697	0.0579603	0.034283	0.0750075	0.635074	0.0404961	0.0719494
í	0.0035775	0.00109311	0.00456118	0.00863714	0.0194322	0.0141183	0.0160901	0.0356767	0.101162	0.059108	0.149088	0.0637746	0.0497027	0.473978
</S>	0.00268462	0.000275788	0.00189619	0.00166053	0.00167674	0.00413518	0.00453511	0.0227676	0.0595852	0.0564382	0.119903	0.208188	0.0131488	0.503105
