 	le	petit	oiseau	enzembe	chantait	non	loin	de	la	champignonnière	où	nous	avons	ramassé	les	champignons	</S>
í	0.000147285	0.000187091	0.000509048	0.000473664	0.00323513	0.00767851	0.00214486	0.011175	0.0272325	0.0902647	0.096162	0.0611471	0.124962	0.261789	0.0874322	0.0405095	0.184951
í	0.000231419	0.00029815	0.00299419	0.00022103	0.00509985	0.00199378	0.000822589	0.0041545	0.0098041	0.0138595	0.119414	0.207633	0.166918	0.0564666	0.207867	0.0401583	0.162065
b	0.00413206	0.00310363	0.00953106	0.00123478	0.00620473	0.0035377	0.00886098	0.00908316	0.00766746	0.02019	0.0284181	0.0379602	0.06669	0.172328	0.308911	0.160332	0.151816
í	0.000944386	0.00136764	0.00546246	0.000244268	0.00112892	0.00340333	0.0022207	0.00909519	0.015482	0.0121732	0.0128278	0.397813	0.0505887	0.0923491	0.114062	0.214962	0.0658749
s	0.00034421	0.000326023	0.00365043	0.00035022	0.00209987	0.0011219	0.000359714	0.00179817	0.00761051	0.0124834	0.0347125	0.2519	0.120634	0.0548973	0.0670041	0.0604597	0.380248
í	0.000182082	0.000123434	0.000217464	0.000321178	0.00067537	0.000684675	0.000690779	0.00364311	0.0123717	0.0226032	0.0567655	0.0250208	0.0166667	0.186569	0.162557	0.0428321	0.468076
a	0.000281251	0.000222763	0.00154772	0.000116698	0.00291775	0.00251203	0.00113851	0.0024579	0.0043088	0.0055201	0.0437541	0.044149	0.0734248	0.0369542	0.372101	0.0491688	0.359424
k	0.00104232	0.000920479	0.00101814	0.000544002	0.00855876	0.00872487	0.00842641	0.0101712	0.00844409	0.0121314	0.022912	0.00611794	0.033905	0.0814083	0.389969	0.223239	0.182467
o	0.000139378	0.000171568	0.00021704	0.000330323	0.00082379	0.00567612	0.000940894	0.00391087	0.0121341	0.0183795	0.0102498	0.00521881	0.00848156	0.0348012	0.0301459	0.801428	0.0669509
m	0.000150817	8.55645e-05	0.000114845	0.00124916	0.00029587	0.00137794	0.00105922	0.00718158	0.015181	0.0117437	0.0114163	0.00129174	0.00118394	0.0212107	0.0132749	0.628435	0.284748
b	0.000637316	0.00118221	0.00121975	0.000783068	0.00135679	0.00244311	0.00132708	0.0418166	0.0537419	0.00672734	0.0744207	0.0193774	0.0100603	0.0434879	0.200987	0.376544	0.163888
ó	0.0101028	0.00681115	0.00262322	0.00621263	0.00262393	0.00086321	0.00380952	0.0517175	0.076259	0.0095228	0.0595818	0.00723631	0.00362742	0.00851513	0.0282224	0.20511	0.517161
</S>	0.000971115	0.00158827	0.00142296	0.000994695	0.00619046	0.0043116	0.001308	0.00908395	0.011634	0.0108487	0.0905433	0.0432493	0.0667988	0.050629	0.227585	0.0710666	0.401774
