 	sa	joue	s'	est	contusionnée	suite	à	la	giffle	qu'	il	a	reçue	</S>
b	0.00183858	0.000244264	0.000620161	0.000576059	4.58504e-05	0.0011033	0.118176	0.442465	0.162386	0.0600032	0.0902011	0.0753044	0.00415738	0.0428788
á	0.00279729	0.0023714	0.00162284	0.000988991	0.000140561	0.00205087	0.143448	0.447446	0.303092	0.019569	0.0216645	0.0199591	0.01833	0.0165191
l	0.000660036	0.000157583	0.000803884	0.000783772	0.000397226	0.00259062	0.0980386	0.289673	0.294679	0.107685	0.092165	0.0747759	0.00673311	0.0308575
á	0.000453057	0.000428278	0.00213511	0.00175189	0.00136192	0.00751462	0.117757	0.388833	0.114532	0.111471	0.0700667	0.0413346	0.0481587	0.0942022
l	0.000746295	0.000103672	0.00106082	0.0011287	0.000287988	0.00102112	0.0237753	0.0740076	0.0732323	0.239008	0.239931	0.254177	0.0461761	0.0453441
í	0.00209454	0.000752092	0.00169085	0.00169737	0.00112141	0.00185823	0.0447262	0.0716348	0.0395993	0.0878473	0.0680683	0.0700853	0.430747	0.178078
í	0.00253946	0.000626233	0.00388766	0.00446718	0.000230359	0.00148083	0.0189166	0.0421939	0.0388097	0.10621	0.140985	0.28269	0.327156	0.0298072
n	0.000379142	0.000863999	0.0030581	0.00775946	0.0153049	0.0225421	0.0333923	0.0375374	0.0604697	0.00830286	0.0142746	0.0819886	0.671846	0.0422806
ώ	0.000347354	0.000771669	0.000844601	0.000508953	0.000115664	0.000102925	0.00217322	0.00413513	0.00155363	0.000976413	0.00145776	0.0154785	0.959835	0.0116994
n	2.43817e-05	0.000128718	0.000330948	0.000392218	0.00140567	0.00885084	0.0288865	0.0358711	0.0263855	0.00667024	0.00837454	0.0357562	0.780459	0.0664646
g	0.00108996	0.000670911	0.00123328	0.000997052	0.000470221	0.00128551	0.0126126	0.0293099	0.00669848	0.0212839	0.022862	0.0644263	0.702791	0.134269
í	0.000122542	0.000298223	0.000391148	0.000103704	3.71559e-05	0.000204531	0.012652	0.0375237	0.0123945	0.0279912	0.035197	0.0748788	0.710903	0.0873022
w	0.000397547	2.35649e-05	0.000329861	0.00041037	5.86178e-05	0.000613499	0.017424	0.0468908	0.0624611	0.257426	0.312075	0.172013	0.0278303	0.102046
a	0.00230192	0.000224058	0.000304301	0.000272681	0.000361314	0.00142168	0.00586694	0.0238111	0.0220178	0.309007	0.406371	0.183098	0.0296821	0.01526
</S>	0.000378957	9.55647e-05	0.000425466	0.000580108	0.000251085	0.0010807	0.00590103	0.011732	0.0236205	0.101151	0.191141	0.268132	0.264956	0.130555
