 	ce	singe	a	un	grand	creux	séparant	le	front	du	nez	est-ce	une	maladie	</S>
n	0.00785426	0.00352534	0.0150874	0.0254394	0.0167545	0.0462088	0.251742	0.203433	0.263088	0.0800151	0.0543798	0.0177453	0.0047346	0.00305319	0.0069391
έ	0.0050066	0.000238645	0.00733157	0.016176	0.0622708	0.049114	0.600301	0.153703	0.0132861	0.0389228	0.00111877	0.00642078	0.00462537	0.00266336	0.0388211
y	0.000147937	3.23125e-05	0.0109557	0.0175094	0.0366714	0.041684	0.476221	0.295008	0.0273475	0.0636769	0.00213276	0.00730816	0.0077647	0.00167131	0.011869
a	0.00675027	0.000543755	0.016297	0.0268032	0.0885793	0.034781	0.438352	0.258381	0.0144749	0.0701823	0.0114783	0.0115643	0.00633717	0.000749742	0.0147252
y	0.00252788	0.000381929	0.00419275	0.0112846	0.0476415	0.0069051	0.172649	0.291242	0.0825188	0.288443	0.0330835	0.0158678	0.0106586	0.0107378	0.021865
í	0.00914302	0.000757392	0.00715267	0.0245338	0.064532	0.0123926	0.298791	0.363623	0.0326625	0.108572	0.0219446	0.0156123	0.0174994	0.00219093	0.0205928
a	0.00298695	0.000193033	0.00296076	0.0107577	0.0398019	0.00436372	0.181993	0.211027	0.111404	0.209618	0.0772896	0.0266852	0.0260297	0.0178064	0.0770823
l	0.000381486	7.91731e-05	0.00315544	0.00450028	0.00443862	0.0048341	0.153683	0.189087	0.287177	0.160848	0.0469033	0.0723571	0.0297961	0.00251496	0.0402446
í	0.00313505	0.000385027	0.00700469	0.0151479	0.0119354	0.0186512	0.246721	0.212093	0.0484543	0.0913932	0.0126234	0.0915606	0.052161	0.00194583	0.186788
n	0.00119241	0.000176451	0.00330322	0.00424328	0.0114926	0.00351453	0.0894872	0.146186	0.0896294	0.224962	0.0469774	0.159825	0.115737	0.0177585	0.0855149
g	0.00171462	9.06776e-05	0.00409154	0.0109156	0.0141797	0.0119617	0.206942	0.1547	0.0631063	0.264383	0.0196969	0.0791857	0.0607399	0.0145597	0.0937335
a	0.000366898	0.000140756	0.001841	0.00401535	0.0161053	0.012581	0.470756	0.165023	0.0370692	0.190205	0.0197419	0.0235462	0.017519	0.0227003	0.0183888
a	0.000126397	2.44727e-05	0.000963188	0.00367698	0.00417773	0.00172637	0.0515217	0.111823	0.0285605	0.41882	0.078569	0.126234	0.0619382	0.0369771	0.0748616
</S>	0.000500111	0.000118522	0.00459064	0.00240506	0.0042754	0.00322746	0.0184973	0.0647366	0.0557665	0.0718097	0.0374557	0.40788	0.231977	0.0304278	0.0663326
