 	cette	femme	est	en	train	de	me	harceler	parce	que	je	lui	dois	de	l'	argent	</S>
w	0.0374912	0.00583974	0.0171459	0.030161	0.00189867	0.111993	0.21824	0.521817	0.00213855	0.00320126	0.00238589	0.00162753	0.00687817	0.00907607	0.00210805	0.00406921	0.0239281
έ	0.0328593	0.0064909	0.00526567	0.00674536	0.00035451	0.213791	0.0583339	0.603498	0.00239803	0.00255592	0.000878617	0.00358245	0.031707	0.0162048	0.00106831	0.00149652	0.0127692
n	0.00448319	0.000291279	0.0287646	0.0325355	0.0012937	0.245701	0.187879	0.324447	0.0134434	0.00906623	0.00130152	0.00722996	0.0194112	0.0353408	0.00769068	0.00237415	0.0787459
g	0.00516813	7.06359e-05	0.0133649	0.0459608	0.00256273	0.214485	0.196614	0.291043	0.0652432	0.039287	0.0110555	0.0217389	0.0135265	0.0281066	0.0104327	0.00671482	0.034625
έ	0.0024101	1.37623e-05	0.00292111	0.0110903	0.000331426	0.0530147	0.202511	0.641662	0.0280173	0.00818779	0.00401253	0.00368009	0.0017643	0.00483058	0.00308646	0.00967383	0.0227929
s	0.0104974	5.98685e-05	0.00630603	0.00770694	0.00180134	0.155035	0.176355	0.202537	0.172394	0.0779548	0.0159798	0.0313668	0.0116559	0.0242665	0.0213145	0.00367318	0.0810967
έ	0.00210459	6.79443e-06	0.00113706	0.00289131	0.000127278	0.0474626	0.070429	0.611516	0.108316	0.0548676	0.0201395	0.0156923	0.00946315	0.0172571	0.00648663	0.00761332	0.0244897
n	0.00390644	0.00027361	0.00134275	0.00141852	5.03225e-05	0.00977778	0.126102	0.30014	0.332322	0.135442	0.0455239	0.0102168	0.00477973	0.00661233	0.0074754	0.00400809	0.0106095
g	0.00619095	0.000331449	0.00032822	0.000761744	1.09514e-05	0.0020235	0.395747	0.167759	0.260797	0.037997	0.0922116	0.00336711	0.000717933	0.00289694	0.0044983	0.0161531	0.0082074
á	0.00533669	0.00642614	0.000752201	0.000540019	3.19373e-05	0.00353603	0.21791	0.380394	0.181343	0.0282661	0.158502	0.00223176	0.000627274	0.00249431	0.00238038	0.00535724	0.00387048
t	0.00322653	0.000343318	0.00311054	0.00142085	0.00013455	0.00976018	0.0243524	0.09548	0.393694	0.250145	0.0890033	0.0689887	0.0196335	0.015471	0.0127927	0.00362801	0.00881542
s	0.00763968	8.56478e-05	0.00197441	0.00319686	0.000811787	0.00860482	0.00351307	0.116048	0.161096	0.315612	0.164751	0.103936	0.0387139	0.0304908	0.00667217	0.00528545	0.0315666
í	0.000377355	3.33592e-06	0.000209597	0.00195531	0.00214654	0.00293892	0.00217587	0.178401	0.206612	0.241602	0.0814504	0.0866782	0.0382372	0.0638642	0.00605262	0.0262677	0.0610279
n	0.00500459	0.000107355	0.000915811	0.00376535	0.0021194	0.00321122	0.0123681	0.0560704	0.297798	0.36672	0.0839204	0.0581066	0.0171907	0.0219081	0.00586552	0.00470379	0.060224
a	0.00166253	7.85648e-05	0.00356721	0.00829518	0.000988696	0.00321055	0.0121775	0.0256312	0.141959	0.256412	0.253544	0.0437342	0.0129304	0.0222335	0.00630157	0.0119188	0.195356
n	0.00284777	5.04804e-05	0.00303745	0.00308005	0.000764712	0.00309957	0.00513346	0.015551	0.0973667	0.305257	0.189196	0.210661	0.0478944	0.0558143	0.0276785	0.00828282	0.0242847
g	0.00708149	9.63554e-05	0.00152846	0.00398285	8.49864e-05	0.00137195	0.0145819	0.0298093	0.0588545	0.106509	0.648685	0.0220062	0.00308121	0.00818894	0.0075329	0.0185736	0.0680315
á	0.000118533	8.35979e-05	0.000153739	0.000219602	2.71921e-05	0.00017106	0.00472454	0.0169639	0.0746003	0.0476939	0.804523	0.0160061	0.00218924	0.00533045	0.00688731	0.0132015	0.00710619
i	0.00127476	3.73758e-05	0.00127926	0.000610846	9.72142e-05	0.00145632	0.00175467	0.00142238	0.0288082	0.128283	0.141315	0.434713	0.0627437	0.0750043	0.0810571	0.00975575	0.0303865
d	0.000665325	2.69033e-05	0.00148636	0.00174239	0.000216264	0.00324027	0.000930611	0.00547554	0.00309335	0.0279643	0.14892	0.181482	0.228467	0.218014	0.0814518	0.021307	0.0755172
í	0.000389491	0.000310265	0.00193829	0.0010032	4.61253e-06	0.00243036	0.00379601	0.0064499	0.00767504	0.0535168	0.0741635	0.111203	0.194702	0.21755	0.0785162	0.0151262	0.231225
l	0.00147032	0.000145719	0.00107057	0.000382829	9.63955e-06	0.000667074	0.00173181	0.000650674	0.00604723	0.0384295	0.0307317	0.175731	0.125511	0.195978	0.24227	0.0109121	0.16826
e	0.000202113	0.000102285	0.000525924	0.000435878	5.05009e-05	0.000752024	0.00111308	0.00357344	0.0107826	0.0234117	0.0448768	0.0842159	0.115965	0.247674	0.122078	0.0790218	0.265219
b	0.000165069	0.000158106	0.000907407	0.000353505	1.75436e-05	0.00045251	0.000839524	0.00185241	0.00374068	0.00872925	0.0216652	0.0730423	0.0812711	0.19774	0.308288	0.178848	0.121929
y	6.51382e-05	5.77041e-05	0.0028995	0.00629207	0.000709527	0.00403503	0.00316816	0.000905183	0.00483805	0.0315448	0.0147068	0.104939	0.261199	0.310961	0.136629	0.0910061	0.0260445
é	0.000336947	2.7334e-05	0.00103251	0.00208389	0.000652744	0.00100744	0.000359148	0.00366321	0.00242053	0.0189918	0.0141074	0.0921756	0.274296	0.280904	0.105721	0.143483	0.0587369
m	0.000320076	2.98357e-06	0.000143859	0.000533518	0.00025025	0.00061938	0.000182429	0.00359635	0.00289138	0.0182646	0.0140674	0.110061	0.229991	0.283947	0.119946	0.0471564	0.168026
b	0.00013388	2.46986e-06	5.04104e-05	0.000153473	3.7243e-05	0.000379535	0.000264045	0.0120073	0.00285438	0.0081842	0.00670389	0.07669	0.361577	0.195764	0.0645286	0.221897	0.0487731
o	0.00038949	5.89276e-06	0.000299974	0.00170448	0.00052595	0.00125779	0.00141335	0.0520933	0.00465489	0.00719673	0.00338174	0.0415398	0.295783	0.1766	0.0199668	0.222518	0.170669
y	0.00192047	3.4241e-05	0.000564355	0.00156123	0.000514281	0.00203422	0.000895805	0.00387839	0.00275606	0.00921212	0.00645113	0.086085	0.0902918	0.182434	0.0961233	0.0630445	0.452199
á	0.00295213	0.00032278	0.00478225	0.00396425	0.000168352	0.00321463	0.00239226	0.0112526	0.00875384	0.015611	0.0287649	0.091214	0.0499434	0.177368	0.330687	0.170994	0.0976147
w	0.00401746	0.000130351	0.00156557	0.001925	0.000667678	0.00161165	0.00216786	0.00155024	0.0136637	0.0214624	0.0157349	0.0639795	0.0385969	0.111075	0.422444	0.147732	0.151677
a	0.00103649	6.48338e-05	0.000564697	0.00195244	0.00214509	0.00117656	0.000506101	0.0018036	0.0126479	0.0353378	0.0161715	0.140895	0.086724	0.221092	0.219403	0.206939	0.05154
</S>	0.000463139	4.57771e-05	6.23384e-05	0.000132343	0.000155863	0.000210859	0.000196832	0.000639712	0.00336326	0.00663964	0.00658826	0.0754515	0.0638933	0.179898	0.204591	0.104302	0.353365
