 	je	n'	ai	pas	pu	faire	autrement	que	d'	y	aller	</S>
é	0.000525322	0.00169221	0.00661437	0.0100977	0.0372993	0.0821082	0.590127	0.125688	0.0339563	0.00898021	0.0041319	0.098779
n	0.000167734	0.00115396	0.00898653	0.0201623	0.0242757	0.150519	0.136435	0.286933	0.192533	0.140416	0.00581244	0.0326052
g	0.00683494	0.00298249	0.0203596	0.0136093	0.0185188	0.0559582	0.441268	0.198815	0.0858121	0.0468855	0.010483	0.0984728
é	0.0284805	0.000939694	0.0135917	0.00614419	0.00900195	0.0280363	0.627387	0.135766	0.0611437	0.0337026	0.0115726	0.0442342
t	0.000140755	0.000780012	0.00625642	0.00757866	0.00697474	0.0685346	0.134488	0.343203	0.210723	0.173652	0.0163037	0.0313658
s	0.00438713	0.00237323	0.00528533	0.00376492	0.00527932	0.0709985	0.0406439	0.312581	0.345461	0.12216	0.0228756	0.0641901
ú	6.02208e-05	0.0004321	0.000745761	0.00166695	0.00639658	0.0285949	0.122781	0.226773	0.290888	0.0727039	0.136368	0.112589
s	0.00028269	0.000542509	0.00215735	0.00665161	0.0087613	0.0418965	0.16492	0.275122	0.307365	0.111611	0.0413233	0.0393668
u	0.000815841	0.000310183	0.00105807	0.00142923	0.00257702	0.0327652	0.214249	0.297074	0.234337	0.0694549	0.0653358	0.0805936
k	0.000305155	0.00121667	0.00357308	0.00398602	0.00282162	0.0255896	0.0363561	0.206211	0.231548	0.354585	0.0546383	0.0791697
a	0.00161398	0.00338492	0.00594771	0.00475665	0.00536731	0.0545862	0.0319028	0.214012	0.328577	0.198142	0.0716227	0.0800872
á	0.000105635	0.000751592	0.00238227	0.00151078	0.0022827	0.0129795	0.0185915	0.139215	0.187946	0.216575	0.0867239	0.330936
i	0.000969619	0.00243517	0.0139916	0.00274065	0.00214788	0.0038117	0.00474979	0.0351274	0.0419164	0.0991543	0.07884	0.714115
b	0.00111537	0.0192557	0.0367634	0.0262992	0.0173798	0.0275635	0.0299761	0.0475129	0.0698519	0.203202	0.336661	0.184419
á	0.000245881	0.010302	0.0279787	0.00939611	0.00364216	0.01782	0.023569	0.0779852	0.153907	0.35484	0.247885	0.0724289
r	0.000388154	0.00350356	0.010614	0.00707406	0.00146619	0.0179511	0.0233029	0.133342	0.20911	0.292907	0.18417	0.11617
í	0.000524306	0.000838539	0.0026714	0.00312693	0.00592783	0.00872795	0.023017	0.0933227	0.201753	0.105775	0.221405	0.332911
ω	0.00017134	0.00042207	0.0018347	0.00117625	0.000745238	0.00742224	0.014355	0.0892159	0.10681	0.254991	0.0602687	0.462588
d	6.06736e-05	0.00618004	0.0073746	0.00905203	0.00884281	0.0244231	0.0208616	0.0560209	0.0760409	0.19319	0.266793	0.33116
z	5.34458e-06	0.000651953	0.00114183	0.000807613	0.00159437	0.00563826	0.0220279	0.0306109	0.0271922	0.0440502	0.343671	0.522608
w	9.68818e-05	0.00204948	0.00172072	0.00122178	0.00256612	0.00852875	0.0222386	0.0408163	0.0698475	0.0356754	0.668436	0.146802
a	0.000409242	0.00178292	0.00217696	0.0028131	0.00301368	0.00756568	0.0187001	0.0380314	0.0982099	0.0489096	0.59112	0.187267
</S>	0.000107049	0.000215104	0.00125881	0.00117905	0.000902117	0.00270848	0.00784324	0.0247641	0.0380257	0.0394678	0.0955177	0.788011
