 	sa	mère	lui	reproche	de	toucher	à	tout	mais	il	n'	écoute	pas	</S>
á	0.0137362	0.000714697	0.0920194	0.42216	0.0578684	0.0642568	0.0430436	0.0203422	0.059233	0.0300622	0.00894797	0.0174383	0.0169222	0.153255
w	0.019395	0.000127592	0.224533	0.080649	0.253876	0.0399679	0.0607365	0.0676201	0.026648	0.0573121	0.0164033	0.0283463	0.0114973	0.112888
a	0.0371291	5.25404e-05	0.118449	0.048549	0.25678	0.108274	0.150978	0.143196	0.0223479	0.0482641	0.0072051	0.0193004	0.0109003	0.0285742
m	0.0105878	5.07727e-05	0.160965	0.0388046	0.550994	0.0651864	0.0459812	0.0451551	0.0141503	0.0191409	0.0114981	0.0106011	0.00539551	0.0214892
í	0.00359033	3.47708e-05	0.150091	0.0563288	0.270476	0.15031	0.224508	0.0322455	0.0151698	0.0428723	0.0118126	0.0169515	0.0010116	0.0245978
k	0.00208035	0.00399544	0.102767	0.109216	0.283589	0.191959	0.114166	0.0592363	0.0480015	0.0132347	0.019453	0.016798	0.0177813	0.0177223
á	0.000177993	8.60263e-05	0.00428341	0.0623825	0.133467	0.392548	0.143891	0.0760213	0.037064	0.00439939	0.0242791	0.0408885	0.0422609	0.0382513
r	0.00276985	0.000187609	0.0129248	0.0621706	0.176337	0.146826	0.134847	0.15254	0.0553067	0.0142126	0.027542	0.0423225	0.0291357	0.142878
í	0.00118639	0.000103485	0.00427557	0.0433081	0.126412	0.282818	0.0852775	0.0867719	0.0604023	0.0190656	0.0297449	0.0380107	0.0204351	0.202188
k	0.000796923	6.71341e-05	0.0235227	0.00547852	0.32288	0.13746	0.20207	0.156861	0.0448082	0.0550098	0.0240834	0.00776288	0.0019707	0.0172279
a	0.000170098	0.000102863	0.00361186	0.00516792	0.0734587	0.211457	0.185487	0.263331	0.0875789	0.0142145	0.0463938	0.0352768	0.0342208	0.0395289
r	0.000418024	5.58695e-05	0.0021735	0.0111225	0.0663076	0.0682296	0.181019	0.256891	0.0752647	0.0247359	0.0820759	0.0355183	0.0290004	0.167187
i	0.00165593	2.70423e-05	0.00189174	0.0150077	0.0640475	0.241809	0.154347	0.17213	0.102219	0.0263038	0.0273764	0.0289872	0.0337758	0.130421
n	0.00122182	6.37736e-05	0.0106176	0.00200762	0.112899	0.107818	0.265993	0.181496	0.0892884	0.140783	0.0581765	0.0106846	0.00218849	0.0167616
d	0.0140647	0.000404153	0.0126062	0.0104905	0.0445954	0.216375	0.116179	0.0758094	0.319611	0.0847488	0.0182972	0.00867113	0.00666229	0.0714855
z	0.000298781	0.000108381	0.00175371	0.00576954	0.0185056	0.140985	0.0898379	0.0408827	0.594105	0.0609599	0.0152331	0.00411374	0.00253565	0.0249102
á	5.92374e-05	0.000122239	0.00111966	0.0750157	0.0229845	0.107839	0.0930427	0.0124094	0.572148	0.0315456	0.010971	0.0103389	0.00779269	0.0546114
á	0.000682612	1.79331e-05	0.00489674	0.0184893	0.0619126	0.0528751	0.200751	0.0734411	0.180176	0.0831035	0.0779457	0.0461314	0.0172226	0.182354
w	0.000543901	4.29205e-05	0.00723225	0.000840711	0.0210467	0.0126338	0.0831148	0.18795	0.157245	0.321955	0.128179	0.0382829	0.00915956	0.031774
a	0.00176545	3.14525e-05	0.00552857	0.00121625	0.0529254	0.0779903	0.14702	0.215321	0.0941343	0.138189	0.115599	0.0647738	0.0405301	0.044975
a	0.000495728	2.64513e-05	0.00128036	0.000411236	0.0178097	0.0117879	0.0789519	0.212854	0.0796575	0.229664	0.23461	0.053722	0.0230227	0.0557078
d	0.000217321	0.000170045	0.0051067	0.00135171	0.0207872	0.00993903	0.0289691	0.0552182	0.0274574	0.0779599	0.495304	0.139505	0.0241965	0.113818
í	0.000109267	4.74992e-05	0.00580959	0.00232327	0.0100778	0.00908989	0.0663116	0.051163	0.0710923	0.0783582	0.272317	0.0668014	0.0148132	0.351686
o	0.000903631	4.7765e-05	0.00282432	0.000372033	0.0067518	0.00321499	0.0208959	0.0784599	0.036316	0.0690529	0.300979	0.148699	0.0857609	0.245722
b	2.11488e-05	0.000337231	0.00153478	0.00377581	0.00281936	0.0208446	0.00550471	0.00275898	0.00636957	0.00395634	0.198958	0.467168	0.257513	0.0284392
o	7.67499e-06	9.73643e-05	0.00193078	0.00604904	0.00635103	0.0205128	0.0143221	0.00600871	0.00894844	0.0176391	0.153844	0.564735	0.130886	0.0686675
n	2.0837e-06	6.69093e-05	0.000181599	0.00828682	0.00129084	0.00679123	0.00984189	0.00282315	0.00360608	0.00205967	0.183583	0.527409	0.104603	0.149455
d	0.000255586	9.68752e-06	0.000190584	0.00432184	0.00150256	0.0110482	0.0204911	0.00758796	0.0366749	0.0143251	0.14269	0.336887	0.142376	0.281639
a	0.000389933	1.30497e-05	0.00249721	0.00791675	0.01553	0.0815161	0.124719	0.0189342	0.074411	0.0253294	0.0942918	0.242658	0.122154	0.189638
k	0.00142194	5.3505e-06	0.00281011	0.000425178	0.00837207	0.0141551	0.0332796	0.0457013	0.0304046	0.0618144	0.0624157	0.156128	0.160301	0.422766
a	0.000144491	5.57042e-05	0.000217031	0.000288981	0.00265733	0.00197354	0.00712777	0.0249824	0.00580246	0.0066049	0.0429883	0.168042	0.506147	0.232969
á	0.000121278	2.74529e-05	0.000231504	0.0014369	0.0020643	0.00352927	0.015703	0.0393922	0.0155967	0.0161467	0.0402963	0.105113	0.249055	0.511287
</S>	0.000766514	2.15482e-05	0.00368897	0.000650767	0.0149434	0.0049358	0.0286321	0.0468407	0.0195792	0.0710454	0.0534219	0.110289	0.0944947	0.55069
