 	les	coups	de	poing	qu'	il	a	reçus	lui	ont	fait	gonfler	la	figure	</S>
í	0.0106376	0.0117048	0.0553432	0.0793435	0.0367	0.0463696	0.0352244	0.371349	0.0762032	0.0072283	0.0444098	0.0790514	0.0199275	0.0767947	0.0497128
w	0.00172326	0.000565403	0.016354	0.00602866	0.0988786	0.126353	0.0980556	0.0755887	0.355156	0.127587	0.0493721	0.0216563	0.018402	0.00109237	0.00318707
a	0.00344897	0.00372064	0.0470431	0.067878	0.115297	0.113553	0.103433	0.109772	0.214294	0.0367696	0.0371819	0.0326235	0.041756	0.0131527	0.0600769
í	0.000559771	0.000705703	0.00974733	0.00212648	0.0319837	0.0794184	0.0732571	0.0759345	0.262244	0.224602	0.119718	0.0712301	0.0210788	0.00836886	0.0190261
m	0.000785221	0.0104095	0.0214467	0.00917796	0.00238706	0.00540544	0.0372589	0.0720468	0.0183869	0.0637418	0.223507	0.449821	0.0497008	0.0101221	0.025803
i	0.00110044	0.000819363	0.0111313	0.00259491	0.00148876	0.016384	0.0650024	0.0794817	0.0301481	0.0434758	0.186549	0.331768	0.157594	0.0124398	0.0600224
y	0.000272068	0.000764481	0.00272496	0.0107718	0.000715263	0.00311887	0.0198131	0.0647056	0.0126037	0.018938	0.128739	0.585328	0.066071	0.01341	0.0720252
í	1.61616e-05	0.000118526	0.00114958	0.00282021	3.23529e-05	0.000410477	0.00708338	0.10214	0.00260956	0.00158537	0.0790271	0.729087	0.0381539	0.0121485	0.0236187
n	0.000169332	0.000116555	0.00306892	0.00181026	0.000234631	0.00295805	0.0157818	0.0380515	0.0183034	0.0123093	0.177061	0.526571	0.0790871	0.00697094	0.117506
í	0.000138426	0.000364221	0.00209205	0.00225153	0.00158025	0.0072208	0.0164453	0.0574174	0.0321664	0.0129173	0.163025	0.554892	0.0801971	0.0256473	0.0436447
s	0.000264222	0.000198104	0.00184293	0.0007913	0.00650577	0.0224776	0.0270168	0.0242531	0.138964	0.0650435	0.0855548	0.167301	0.357687	0.0700929	0.0320076
á	0.00047032	0.000183249	0.00168787	0.00284154	0.000808931	0.00268837	0.00661129	0.0557941	0.0204569	0.00533156	0.0531364	0.253617	0.27435	0.187295	0.134727
w	0.00135227	0.000380514	0.00180389	0.0022258	0.00251938	0.00455661	0.0059192	0.016352	0.0428984	0.022242	0.0345487	0.0256607	0.262512	0.558317	0.0187118
a	0.00392452	0.00342257	0.00800368	0.00663979	0.0255474	0.0416778	0.0272788	0.0268014	0.125406	0.0745724	0.0911476	0.0341626	0.317793	0.166797	0.0468244
e	0.000235849	0.000115435	0.000926277	0.0013148	0.0019227	0.00225647	0.00405541	0.00517553	0.0278221	0.0163649	0.0180187	0.0361368	0.368259	0.324093	0.193303
l	0.0012368	0.00214871	0.0130711	0.00579812	0.00128837	0.00251833	0.0126668	0.00655296	0.00565024	0.0110295	0.0130622	0.0614428	0.192393	0.119448	0.551692
é	8.51714e-05	0.000398569	0.00425229	0.00557959	0.000217091	0.000668616	0.0066635	0.0277001	0.00191974	0.00162315	0.0260002	0.191156	0.292268	0.238659	0.20281
n	9.14276e-05	0.000131959	0.00180835	0.00243637	0.000430094	0.00087096	0.00262884	0.00842129	0.00619413	0.00376239	0.0286715	0.0957961	0.264745	0.269766	0.314246
g	4.86312e-05	0.000169209	0.000376888	0.00102802	0.000403942	0.000712909	0.00157801	0.00750856	0.00516687	0.00193569	0.0226823	0.104588	0.14373	0.440709	0.269362
é	1.1213e-05	3.61987e-05	0.000109085	0.000235778	0.000131086	0.00023373	0.000300109	0.00325726	0.00377928	0.000878781	0.00790426	0.041318	0.0289717	0.761725	0.151108
</S>	0.000656315	0.00056962	0.00358658	0.00215713	0.00813347	0.00497965	0.00781406	0.00556699	0.0337708	0.0156241	0.02578	0.0553131	0.312402	0.133084	0.390562
