 	mon	fils	est	tenu	responsable	pour	tout	ce	qui	se	perd	dans	ce	village	</S>
z	0.000132184	3.38236e-05	0.00153808	0.00121673	0.000560861	0.00396048	0.00665728	0.00973715	0.0182429	0.0127722	0.0432152	0.0223274	0.0657606	0.2814	0.532445
á	6.81289e-05	1.77615e-05	0.000327555	0.000245689	0.000138864	0.00307211	0.0121626	0.0231284	0.0217859	0.00834803	0.0682732	0.0154166	0.0273803	0.598817	0.220818
m	0.00461819	0.00020457	0.00174785	0.00295488	0.00351166	0.0209293	0.0197117	0.0254317	0.0260752	0.0285213	0.0706798	0.0427355	0.0803522	0.0831352	0.589391
ó	0.000308705	0.00338973	0.0203331	0.0186852	0.030879	0.0480324	0.0530744	0.0560131	0.0219384	0.0364381	0.0281739	0.0763444	0.163464	0.0120437	0.430882
m	0.00149585	0.000700403	0.00742196	0.0183961	0.0164752	0.0638672	0.046413	0.0277673	0.0286245	0.0356297	0.0238334	0.0420309	0.159087	0.0555732	0.472684
w	0.000246714	0.0126108	0.0468814	0.0103085	0.0125791	0.0333296	0.0329791	0.0757177	0.0386868	0.0342633	0.031872	0.107288	0.172574	0.0148822	0.375781
á	0.00674677	0.0612022	0.00603049	0.00348943	0.00419627	0.0110243	0.01074	0.0194887	0.010098	0.0477607	0.116731	0.14187	0.0827363	0.144225	0.33366
n	0.0137353	0.0172236	0.0105565	0.00498004	0.00970721	0.0448239	0.0272103	0.0783232	0.0296971	0.0656885	0.0814366	0.178282	0.199452	0.0214125	0.217472
a	0.0307282	0.00871908	0.0182484	0.0054869	0.00419168	0.0296761	0.0297917	0.0755303	0.0599916	0.0265508	0.267254	0.0727361	0.114153	0.0221125	0.23483
y	0.00605601	0.000249491	0.00357935	0.00416833	0.0022535	0.0168258	0.0314499	0.0408361	0.0701358	0.0424354	0.0291933	0.0461983	0.184488	0.0793399	0.442791
a	0.00222819	0.000733588	0.035639	0.0121644	0.00935303	0.0491518	0.0497177	0.0766572	0.0834084	0.0205464	0.0155113	0.0380017	0.15202	0.107024	0.347843
n	0.00112064	0.000128859	0.00631613	0.0127166	0.014912	0.116825	0.113098	0.116809	0.122708	0.0254083	0.0120674	0.026577	0.174214	0.0741889	0.18291
g	0.0191654	0.000621774	0.00204977	0.00281387	0.00233187	0.0203976	0.0157248	0.0603529	0.0837114	0.0149226	0.164971	0.0177038	0.0560381	0.00575283	0.533442
á	0.0105295	0.000619797	0.00077484	0.000372979	0.000254397	0.00282711	0.00623885	0.031778	0.0521256	0.0113488	0.0976566	0.00861982	0.0313885	0.0162065	0.729259
</S>	0.00207976	0.000427848	0.00412837	0.0086513	0.0104319	0.0358106	0.0292242	0.0186879	0.0234043	0.0317192	0.0103299	0.0202187	0.117193	0.0232431	0.66445
