 	les	policiers	n'	ont	jamais	pitié	mais	ce	policier-ci	est	gentil	</S>
a	0.00187332	0.00676783	0.0213707	0.0629091	0.317859	0.352195	0.180474	0.0270811	0.00398431	0.00282782	0.000666423	0.0219909
k	0.00129381	0.00046396	0.0114442	0.068567	0.257461	0.355771	0.196899	0.084443	0.00367738	0.00467711	0.00149177	0.0138112
a	0.00175309	0.000407742	0.00758679	0.0358345	0.139493	0.354566	0.29977	0.0820233	0.00181278	0.0212294	0.0201576	0.035367
á	0.00112888	0.000766945	0.00924512	0.0531969	0.119818	0.238701	0.325311	0.124775	0.00984053	0.0146208	0.0178228	0.0847736
n	0.000842029	0.000359282	0.0111416	0.0418747	0.0757482	0.0790985	0.244667	0.387928	0.0651178	0.0406515	0.0084029	0.0441682
d	0.00119195	0.000649962	0.00284815	0.0208523	0.10908	0.242769	0.186722	0.24921	0.00984053	0.0374761	0.0208942	0.118466
z	0.00112325	0.00169149	0.000967858	0.0106461	0.0938697	0.117388	0.424709	0.21237	0.026621	0.0289921	0.00693526	0.0746863
á	0.00211064	0.00134095	0.000923559	0.00468181	0.055489	0.0432228	0.75264	0.0372167	0.0226955	0.0246079	0.0126206	0.0424499
á	0.000472816	0.000631775	0.00277055	0.0142956	0.0442312	0.0236762	0.616856	0.0808341	0.111382	0.0320287	0.0131731	0.0596479
m	0.000636152	0.000204452	0.00855795	0.0155281	0.0538958	0.0319443	0.115423	0.566149	0.0438564	0.0788115	0.0184383	0.0665556
b	0.00367312	0.00498096	0.0113931	0.00302891	0.00744322	0.000940643	0.0795661	0.209274	0.197272	0.217907	0.0689787	0.195542
o	0.00133526	0.00279337	0.00166712	0.00301549	0.00574788	0.00695406	0.0947342	0.273568	0.515575	0.0297514	0.0134122	0.0514461
l	0.000216465	0.0032199	0.00162765	0.00385678	0.0118199	0.00736016	0.117489	0.130266	0.667313	0.0318739	0.00552046	0.0194367
o	0.00182505	0.0150181	0.00690423	0.00980618	0.0180368	0.0134995	0.185688	0.2418	0.304519	0.0932465	0.0251573	0.0844996
m	0.000606821	0.00100452	0.00191275	0.0020036	0.00598408	0.00258226	0.0634386	0.107701	0.169262	0.359379	0.0894213	0.196704
b	0.00361352	0.00822307	0.011062	0.00370562	0.0123947	0.000529897	0.0142051	0.089213	0.338975	0.301805	0.0830743	0.1332
o	0.000866484	0.00176029	0.000957881	0.00224302	0.00623302	0.000775505	0.0191983	0.0571432	0.821951	0.0375619	0.013691	0.0376181
l	7.25766e-05	0.00182041	0.000998873	0.00610045	0.0073012	0.00234868	0.00764116	0.0130822	0.912175	0.0258136	0.00569375	0.0169525
ó	0.00125211	0.0114335	0.0046302	0.0056831	0.0104398	0.00308403	0.145344	0.0814819	0.443233	0.154415	0.0273248	0.111679
w	0.000679587	0.00134646	0.00444922	0.00454102	0.0106573	0.00325568	0.0422586	0.102063	0.112883	0.35039	0.132072	0.235403
ó	0.00328995	0.00613318	0.00857693	0.00645775	0.0072298	0.00282626	0.0289359	0.165427	0.0609251	0.31074	0.24665	0.152808
a	0.000127322	0.000705173	0.000915865	0.000665523	0.00165676	0.000870227	0.0108258	0.047286	0.037184	0.33552	0.313266	0.250978
d	0.000332426	0.000633754	0.00624286	0.012207	0.0340587	0.00336375	0.00877585	0.0341852	0.0133404	0.331947	0.115849	0.439063
í	0.000119926	0.000897219	0.00185484	0.0120531	0.0580765	0.0104888	0.00551092	0.0300123	0.00897578	0.160047	0.0907315	0.621232
l	0.000707543	0.000252212	0.0013728	0.00422241	0.0400459	0.0160646	0.00330985	0.0330724	0.00112103	0.107417	0.161592	0.630822
a	0.000493912	0.000148283	0.000892226	0.004697	0.00928262	0.00244581	0.00454815	0.00666226	0.0028608	0.195663	0.194714	0.577593
p	0.00016368	0.000334438	0.00176836	0.00157349	0.0139639	0.00433327	0.00976055	0.0248286	0.0166833	0.242267	0.412841	0.271482
ó	3.9213e-05	0.00138525	0.00117818	0.00176274	0.00277542	0.00442077	0.00639092	0.0146691	0.00443572	0.108072	0.693962	0.160908
s	5.31938e-05	0.000379698	0.000203364	0.00042311	0.000627453	0.00045301	0.00690952	0.00948296	0.0177669	0.260066	0.495954	0.207681
á	2.3965e-05	0.000669757	0.000579533	0.000674831	0.00570508	0.00288338	0.0151397	0.02885	0.0241022	0.224877	0.534313	0.162181
b	0.00155877	0.000697541	0.00346274	0.00162829	0.00491335	0.00224416	0.0106504	0.0277286	0.00359949	0.225811	0.534507	0.183198
a	0.000390649	0.00133385	0.00332425	0.00474211	0.00934618	0.0199122	0.0033452	0.0320312	0.00353033	0.0839576	0.647849	0.190237
r	0.000869288	0.00236353	0.00186266	0.00203522	0.00857538	0.0137551	0.00240702	0.0348264	0.00547359	0.0571082	0.708637	0.162086
e	0.00220134	0.0029884	0.000917864	0.00497799	0.0220677	0.00771195	0.0145616	0.0191764	0.00633006	0.116791	0.209529	0.592746
</S>	0.000652598	0.0004437	0.00160431	0.00177484	0.00508275	0.00154425	0.00869119	0.0318934	0.00457958	0.25372	0.216663	0.473351
