 	il	n'	y	a	personne	qui	s'	entend	avec	ma	mère	dans	ce	village	</S>
a	0.0294875	0.025969	0.0328571	0.0515396	0.0391396	0.0670318	0.086451	0.0744308	0.109934	0.173122	0.0617842	0.114365	0.0719943	0.053131	0.00876283
n	0.00234867	0.00180539	0.00671259	0.015288	0.00841609	0.0179834	0.0186712	0.0110973	0.0408704	0.786418	0.00396719	0.0187374	0.0580551	0.00632183	0.00330725
g	0.000476283	0.000268483	0.000487792	0.00118936	0.00182025	0.00920862	0.0187825	0.0329123	0.0607038	0.72303	0.0881734	0.0343502	0.026051	0.000513995	0.00203216
á	0.000547279	0.00174334	0.00605444	0.0132272	0.016336	0.0282584	0.0410355	0.0899295	0.137044	0.108549	0.261397	0.130178	0.0593802	0.042805	0.0635152
s	0.00142692	0.00189704	0.0067808	0.0196347	0.0166276	0.0385113	0.0447799	0.0376922	0.100995	0.110521	0.0458452	0.150965	0.390097	0.0169926	0.0172331
á	0.0057421	0.0101893	0.00816911	0.0102571	0.00845183	0.0309438	0.0903489	0.0545989	0.0814405	0.106834	0.0140215	0.23481	0.161265	0.0541481	0.12878
p	0.00234725	0.00328383	0.0119714	0.0143191	0.00885339	0.0152634	0.0258223	0.021853	0.0673238	0.253125	0.00363613	0.0199531	0.111915	0.410504	0.0298288
o	0.000759108	0.00351183	0.00175294	0.00322659	0.00547365	0.00759992	0.0130229	0.0121407	0.0192103	0.0149683	0.000579326	0.00780157	0.0207085	0.859367	0.0298773
o	0.000351072	0.00199286	0.00460692	0.00374508	0.00652241	0.00968359	0.0185905	0.0192382	0.0141191	0.0199656	0.00131945	0.0097018	0.0278232	0.842745	0.0195946
b	0.00126088	0.00316169	0.00847596	0.00541158	0.00834734	0.0269741	0.0278284	0.013958	0.0305863	0.0569506	0.00600202	0.087194	0.41815	0.0263917	0.279307
h	0.00906373	0.0200141	0.0223349	0.0197793	0.0122503	0.021842	0.0394068	0.0347488	0.0711376	0.189057	0.000618223	0.0291277	0.176997	0.0284094	0.325213
á	0.0010697	0.00161265	0.00351976	0.0052354	0.00461181	0.00790745	0.028444	0.0284743	0.0475744	0.0677093	0.000268906	0.0200077	0.168114	0.0492376	0.566213
a	0.00101151	0.00106209	0.00470989	0.00511069	0.0054296	0.00839726	0.0135886	0.018779	0.0583998	0.191259	0.00707334	0.021945	0.216792	0.0509049	0.395538
d	0.000975568	0.00257956	0.00369874	0.00411168	0.00443997	0.0105168	0.0140555	0.00743059	0.0167815	0.0145597	0.00156765	0.106916	0.29356	0.0355907	0.483216
í	0.000659655	0.00463925	0.00239941	0.00178819	0.00206991	0.00613774	0.00917054	0.00165687	0.00379013	0.00333867	0.000253224	0.124216	0.0888118	0.0328251	0.718243
k	0.00154268	0.0016906	0.00682094	0.004632	0.00287265	0.00620194	0.00848346	0.00418231	0.0196692	0.0745202	0.00119136	0.0559364	0.272458	0.0271207	0.512677
a	0.00132323	0.00736376	0.00819608	0.00820806	0.00885337	0.00912853	0.0248362	0.0220197	0.0507772	0.0536855	0.000428772	0.0123041	0.124889	0.277339	0.390648
á	0.00020862	0.000822725	0.00229721	0.00138537	0.00120465	0.00142666	0.00524589	0.00856296	0.0183239	0.0507133	0.000946768	0.00773266	0.048902	0.0912641	0.760963
</S>	0.00422314	0.00371426	0.00708565	0.0192316	0.00814459	0.0141124	0.0181028	0.00788475	0.0401351	0.0707188	0.00514039	0.100407	0.169834	0.00963212	0.521634
