 	nous	venons	de	couper	les	lianes	nommées	kwakwango	pour	construire	la	cuisine	</S>
ε	0.000405138	0.00249456	0.0337002	0.366806	0.0216929	0.043525	0.394718	0.108136	0.0056342	0.00594409	0.00142557	0.00573288	0.00978627
r	0.000166644	0.00065193	0.0780085	0.256932	0.226421	0.0800823	0.189752	0.060893	0.0469256	0.0024637	0.0123476	0.005713	0.0396416
έ	0.00454623	0.00284614	0.10114	0.488943	0.150476	0.0803025	0.0641305	0.0347483	0.013392	0.00790189	0.0130671	0.00743902	0.0310667
a	0.00024248	0.000522978	0.0454149	0.0793908	0.298864	0.261248	0.122143	0.0455975	0.0883043	0.00770148	0.026354	0.00433068	0.0198858
k	0.00106933	0.00119991	0.0233561	0.0397003	0.153812	0.114307	0.187111	0.135585	0.256821	0.0310768	0.031149	0.0154171	0.00939589
w	0.000106465	3.69565e-05	0.00146543	0.00833707	0.00731321	0.0369823	0.191541	0.620028	0.0235479	0.0685992	0.0032802	0.0320791	0.0066835
a	0.00354345	0.000318309	0.00655988	0.0392864	0.00934305	0.0245969	0.239645	0.452821	0.0565463	0.038037	0.0179734	0.0763407	0.0349891
k	0.000132402	5.77921e-05	0.00186081	0.00886749	0.0138641	0.00930954	0.278708	0.53823	0.0695644	0.0221385	0.00711605	0.020077	0.0300732
w	0.000118971	5.34056e-05	0.00144418	0.00694351	0.00404081	0.00902585	0.145286	0.726168	0.0193136	0.0496615	0.00290825	0.0105908	0.0244451
á	0.000101123	0.000147803	0.00562325	0.0328275	0.00582583	0.0217525	0.130647	0.552173	0.035064	0.0902015	0.013415	0.0189933	0.0932281
n	9.62738e-05	0.000597631	0.00764847	0.0135739	0.00345747	0.00209755	0.114221	0.424403	0.109482	0.0571273	0.0185087	0.0138186	0.234968
g	0.00217663	0.00335512	0.0341082	0.0838404	0.0261043	0.0291736	0.0345133	0.0788291	0.107071	0.130311	0.0433467	0.0781894	0.348982
o	0.00216964	0.000341643	0.0172103	0.0388804	0.0400409	0.133067	0.0153226	0.0445704	0.312298	0.128747	0.0441585	0.0271284	0.196065
m	0.000448627	0.000790907	0.00935607	0.00941602	0.0231873	0.0301165	0.00525793	0.0235151	0.459524	0.206714	0.1262	0.0125235	0.0929496
í	0.00187071	0.00138597	0.00990719	0.00379263	0.0155279	0.000371391	0.000832962	0.00535539	0.267171	0.0294595	0.153684	0.00653663	0.504105
t	0.000658977	0.000288878	0.00651038	0.00445641	0.0202014	0.00417484	0.0048625	0.012524	0.16403	0.177917	0.353393	0.144456	0.106526
ó	0.000703486	0.000297593	0.00462662	0.00544537	0.00493032	0.00303774	0.010402	0.046165	0.0292875	0.640613	0.0513533	0.164764	0.0383737
n	0.00152274	0.000494699	0.0012511	0.00129192	0.0010791	0.00161257	0.00124486	0.0236316	0.0103217	0.893225	0.00311088	0.0432552	0.0179588
g	0.000154069	0.00022277	0.00209157	0.00633	0.00208258	0.00909931	0.00756272	0.110742	0.0837496	0.561861	0.0319367	0.0876805	0.096487
a	9.15288e-05	0.00104779	0.00568577	0.010937	0.00497408	0.0276513	0.0038466	0.0716772	0.0617345	0.632341	0.0302377	0.0698164	0.0799594
l	9.57085e-05	0.000177204	0.00374776	0.0027258	0.0105118	0.00369109	0.00103105	0.00110075	0.0585079	0.0344984	0.477415	0.0554491	0.351049
á	0.00153735	0.000916607	0.00952243	0.0180938	0.0127928	0.0120137	0.00707499	0.00637769	0.0447117	0.0938585	0.219815	0.105988	0.467297
k	0.00616614	0.000504967	0.00657453	0.00358146	0.0157553	0.00293612	0.00318602	0.00437941	0.0168131	0.0104684	0.182601	0.645371	0.101662
ú	0.000186811	3.6473e-05	0.000486414	0.00048804	0.00111624	0.000875871	0.00472394	0.017481	0.00166841	0.0514823	0.0164987	0.888993	0.0159625
k	0.00129014	0.000187214	0.00108699	0.00127237	0.00160237	0.00103487	0.00220092	0.00941351	0.00305791	0.0275302	0.00744582	0.930301	0.0135769
u	0.00402996	0.000490489	0.00409181	0.00321953	0.0331599	0.00729746	0.00490222	0.00365617	0.0155796	0.0210347	0.174713	0.681956	0.0458688
</S>	0.000611148	2.23077e-05	0.00087882	0.00160788	0.00613649	0.00136261	0.00343856	0.00562442	0.0221961	0.0155901	0.18257	0.179109	0.580852
