 	le	chef	de	notre	village	est	barbu	mais	la	barbe	du	prêtre	est	plus	longue	que	la	sienne	</S>
έ	3.59692e-05	8.4752e-05	0.000560677	0.000808167	0.00140358	0.000656448	0.000292866	0.00136938	0.0048059	0.00983061	0.00616944	0.0427671	0.0264023	0.0782377	0.109952	0.0668252	0.104669	0.496468	0.0486616
l	0.000862212	0.000101271	0.000514937	0.00441055	0.000444456	0.000956256	0.00169982	0.00592191	0.020977	0.0512722	0.0516108	0.121821	0.0572496	0.0931916	0.127494	0.0999161	0.13128	0.192055	0.0382206
ε	0.000887541	0.000357898	0.00325521	0.01722	0.00028521	0.00126707	0.00129507	0.00729846	0.0403367	0.079528	0.0971823	0.0919552	0.0580856	0.0751021	0.109132	0.188774	0.127306	0.0615199	0.039212
í	0.000264058	1.41609e-05	0.000678916	0.000384077	8.38927e-05	0.00104068	0.000359876	0.00192132	0.0128212	0.00158963	0.0111155	0.0105327	0.0765008	0.066982	0.105794	0.203276	0.291419	0.0583286	0.156894
p	0.000776301	0.000331274	0.0057788	0.00617161	0.000196764	0.0129234	0.00218276	0.00636444	0.035016	0.00303781	0.0141065	0.00844115	0.0849899	0.0765058	0.0998166	0.208985	0.165814	0.0436754	0.224887
é	8.4113e-06	5.11913e-05	0.000374608	0.000674381	0.000361349	0.000905955	0.000214065	0.00205662	0.00593017	0.00594158	0.00404523	0.0190962	0.0203878	0.0838278	0.132166	0.168806	0.196113	0.226677	0.132362
n	4.18647e-05	5.71096e-05	0.000127968	0.000495559	0.000356786	0.000459336	0.000131136	0.000837567	0.00690673	0.00373146	0.00648813	0.0220937	0.0400763	0.0925421	0.121054	0.13261	0.188683	0.191285	0.192022
d	0.000188624	0.000140764	0.000350148	0.000313349	0.000939117	0.000621454	0.000724151	0.00399301	0.00512468	0.00654615	0.00386475	0.0109387	0.033061	0.0817398	0.0753676	0.16597	0.145951	0.213478	0.250687
í	0.000311965	0.00314007	0.000919883	0.000483158	0.000647725	0.0018295	0.00156436	0.0210917	0.0139108	0.0437248	0.0144203	0.0279435	0.0364999	0.0564795	0.0727703	0.121333	0.0864951	0.300821	0.195614
l	0.00160828	4.49289e-05	0.00236312	0.00186128	0.000368927	0.000917742	0.00166752	0.00444158	0.0102484	0.0013117	0.00991124	0.00750965	0.0610382	0.0769976	0.0574521	0.166915	0.153922	0.101022	0.340399
á	0.00120787	0.00023317	0.00151376	0.00685541	0.000865307	0.000773004	0.00294574	0.00568488	0.0072826	0.010905	0.0112312	0.0234071	0.022934	0.035142	0.0425884	0.13945	0.102173	0.366381	0.218427
w	0.00198034	0.000145599	0.00341226	0.00822886	0.000499506	0.00102758	0.0020717	0.00169459	0.010688	0.00101335	0.017257	0.00295031	0.0257246	0.0329077	0.0252005	0.143702	0.215698	0.232132	0.273666
a	0.0109882	0.000158113	0.0065965	0.0669231	0.00160614	0.00191095	0.00643421	0.00370504	0.017541	0.0022545	0.0145645	0.00989634	0.056635	0.0750732	0.0302441	0.168295	0.240131	0.180282	0.106761
m	0.000530591	4.22768e-05	0.000398141	0.00143561	0.000238071	0.000489751	0.000757149	0.00102585	0.00401959	0.000634761	0.00613991	0.00675926	0.0267139	0.0339981	0.0467001	0.129158	0.222717	0.19072	0.327523
o	0.000137525	2.64112e-05	0.00622259	0.000539648	0.000252694	0.0226398	0.0524363	0.00732789	0.0320415	0.000691293	0.0190171	0.00215275	0.187746	0.121319	0.0342923	0.0740375	0.28401	0.0889689	0.0661417
l	7.17924e-05	2.68143e-05	0.000278436	0.000114124	2.0924e-05	0.000796216	0.00194019	0.00154723	0.00606203	0.000599277	0.0117201	0.00184227	0.0295711	0.0424712	0.0825063	0.132513	0.292161	0.221448	0.17431
a	0.000543512	0.000176383	0.00178999	0.0061445	0.000381593	0.00310782	0.00444886	0.00712229	0.011455	0.0186922	0.0217836	0.0325682	0.0235948	0.025954	0.0541217	0.127554	0.0700746	0.354137	0.23635
á	6.41319e-05	9.25784e-06	0.000695418	0.00116589	5.88621e-05	0.00082409	0.000622788	0.000735691	0.00733902	0.000975732	0.00964785	0.00456463	0.0188787	0.0274894	0.0480707	0.114694	0.307282	0.280773	0.176109
</S>	0.000834905	0.000314233	0.00612015	0.0153919	0.000681862	0.00913264	0.00329616	0.00919753	0.0318151	0.00546634	0.0175736	0.0138233	0.049003	0.035799	0.0487673	0.164201	0.124204	0.057835	0.406543
