 	les	champignons	mous	pourrissent	dans	la	forêt	car	ils	sont	incomestibles	</S>
á	0.0412396	0.00275301	0.0843873	0.539225	0.216843	0.0496542	0.0112052	0.0234882	0.00430486	0.0184627	0.000867111	0.00756923
a	0.0354587	0.00242356	0.117705	0.256098	0.22878	0.185979	0.0902074	0.0231502	0.0244877	0.0150759	0.00782181	0.0128133
b	0.0125864	0.00424156	0.0330448	0.172559	0.255871	0.363256	0.115986	0.0078609	0.00379508	0.00964387	0.00848311	0.0126728
ω	0.00541348	0.00616756	0.0121073	0.293122	0.152801	0.310546	0.136558	0.0272821	0.0337592	0.0102587	0.00107165	0.0109131
έ	0.00152922	0.00303896	0.0626542	0.454673	0.0851194	0.20183	0.0937155	0.0125647	0.00406768	0.00316074	0.00166561	0.0759804
s	0.00379043	0.000445751	0.0403371	0.0192274	0.321736	0.274127	0.133753	0.136943	0.0185437	0.0393436	0.000846552	0.0109062
á	0.00127161	0.000327972	0.019645	0.0413874	0.0982594	0.34222	0.217932	0.217111	0.00519547	0.0203103	0.00731126	0.0290285
k	0.00299294	0.000973885	0.0080829	0.00902899	0.0433414	0.152836	0.421258	0.281385	0.0380178	0.0146278	0.0239738	0.00348249
ώ	0.000290876	0.000584402	0.00196428	0.00352204	0.00861772	0.0866626	0.812938	0.0525457	0.0230272	0.00087498	0.00377346	0.00519893
t	0.000138505	0.000377305	0.00942855	0.010958	0.0145637	0.0830323	0.757499	0.0567213	0.0236039	0.00263796	0.0025548	0.0384848
s	0.000933862	0.0026457	0.0140528	0.00838354	0.0306326	0.0834256	0.54817	0.193487	0.0386811	0.0205432	0.00677516	0.0522692
í	0.000237935	0.0116003	0.0279001	0.0326754	0.0351159	0.0977675	0.458799	0.231938	0.00973021	0.0094878	0.00904452	0.075704
n	0.00308173	0.000432772	0.0135437	0.00466998	0.0996648	0.0902675	0.178571	0.308898	0.160749	0.0340736	0.00284461	0.103203
a	0.0141371	0.0066563	0.0221298	0.0610744	0.0479051	0.0778564	0.0716137	0.25339	0.064605	0.0499179	0.0343195	0.296395
b	0.00232674	0.00046294	0.00857665	0.00149108	0.0203036	0.0304638	0.111599	0.482692	0.127622	0.116565	0.0356557	0.0622425
a	0.000930306	0.000131304	0.00130249	0.00205613	0.0132594	0.0104836	0.0211337	0.0329348	0.892285	0.0177971	0.00226049	0.00542562
r	0.00166941	0.000171757	0.00115653	0.000890337	0.0121975	0.0180642	0.0234058	0.0939231	0.729248	0.0501722	0.00441332	0.0646881
e	0.021341	0.0056144	0.0111691	0.085605	0.0368697	0.12195	0.0287841	0.199371	0.0708996	0.0906226	0.00992651	0.317847
á	0.0004975	0.000176852	0.0058381	0.000890805	0.0250197	0.0590314	0.120462	0.278672	0.0800268	0.260075	0.0799156	0.0893944
d	0.00170777	0.00116543	0.00495774	0.00218027	0.0271191	0.0360975	0.0187524	0.0358368	0.0165848	0.377931	0.36639	0.111277
i	0.00018748	0.000119713	0.000680344	0.000568668	0.0117656	0.0327285	0.0186767	0.0548825	0.00949209	0.197193	0.203567	0.470138
í	9.48329e-05	1.7214e-05	0.00189809	0.000392298	0.0140485	0.0344522	0.0175525	0.11148	0.0240119	0.554649	0.053921	0.187482
m	0.0028068	0.000330214	0.00461981	0.00262154	0.0102237	0.0231389	0.0202141	0.023238	0.037209	0.171215	0.381342	0.323041
á	0.000119832	0.000133692	0.00264802	0.00552031	0.0169935	0.027474	0.00887808	0.0468684	0.0169436	0.171248	0.334384	0.368789
a	0.000125922	3.89435e-05	0.00159356	0.000612632	0.00514061	0.00829261	0.00825889	0.0390613	0.0332141	0.159535	0.28847	0.455656
o	0.000225077	9.08002e-05	0.00074608	0.00106829	0.00261702	0.00642618	0.00731279	0.00946823	0.0120057	0.0625605	0.29504	0.60244
d	3.41835e-05	0.000430598	0.0047113	0.00140671	0.00619975	0.0163601	0.0152234	0.00472306	0.00084862	0.0694978	0.696125	0.184439
z	3.09252e-05	0.000214537	0.000792264	0.00049852	0.00474063	0.0120312	0.00537432	0.00710666	0.000515097	0.101279	0.573996	0.293421
á	0.000112584	0.00051084	0.00249866	0.00497366	0.0127314	0.038093	0.0110761	0.074935	0.00413411	0.137617	0.449793	0.263525
a	0.000946357	0.000101361	0.000809763	0.000112615	0.00572936	0.00470997	0.00457445	0.0619217	0.0448108	0.150849	0.0748002	0.650635
k	0.00348078	0.000632698	0.010609	0.00800974	0.0291139	0.0532419	0.0359325	0.0222659	0.0156666	0.107589	0.330651	0.382807
a	0.000335147	0.0024776	0.00503753	0.00203491	0.00765718	0.0282399	0.0722518	0.0240574	0.0242941	0.0658124	0.143358	0.624444
á	0.000950255	0.00147483	0.00259759	0.00165614	0.00307118	0.005469	0.0231882	0.0283993	0.0322437	0.0159786	0.048382	0.836589
</S>	0.000251697	0.000226057	0.00151868	0.00239249	0.0109277	0.00966442	0.00549566	0.0407782	0.0304337	0.102913	0.201565	0.593834
