 	cette	manière	d'	entasser	le	bois	est	celle	de	celui	qui	fume	le	poisson	</S>
r	0.00152375	0.0021987	0.00231344	0.00865734	0.0562036	0.0336647	0.123873	0.118866	0.270946	0.211894	0.105719	0.0305201	0.0090151	0.00380314	0.0208039
o	0.0124205	0.0124988	0.00459093	0.0144812	0.016301	0.0266779	0.0513438	0.149935	0.225496	0.317557	0.0912403	0.0493378	0.00870563	0.00814563	0.0112682
y	0.00165921	0.00358045	0.0170085	0.00257996	0.0127257	0.022757	0.075193	0.14558	0.241871	0.166305	0.207691	0.0448385	0.0375845	0.00445537	0.0161713
e	0.129321	0.0518341	0.0354091	0.00843895	0.024715	0.0231705	0.0726559	0.186638	0.20033	0.168853	0.0585216	0.0162562	0.0090708	0.00927799	0.00550753
e	0.0114047	0.00788399	0.0290387	0.00135002	0.00323928	0.00364954	0.0425719	0.152872	0.22682	0.213401	0.204062	0.0309101	0.0521982	0.009487	0.0111117
d	0.00103467	0.00548374	0.00611054	0.00813046	0.019718	0.0220782	0.0223209	0.0130887	0.0350693	0.0758676	0.130813	0.434112	0.0725736	0.0667613	0.086838
i	0.00133829	0.00149944	0.00435062	0.00400582	0.0231833	0.0102804	0.0258573	0.0266477	0.051052	0.0818178	0.166414	0.113991	0.0809274	0.173593	0.235041
l	0.00129032	0.00154746	0.00285139	0.00113537	0.0144036	0.00637485	0.0344337	0.030769	0.0881957	0.103787	0.294169	0.123316	0.108986	0.0793516	0.10939
á	0.000750139	0.000742673	0.0020296	0.00110686	0.00357498	0.00584076	0.0169348	0.0327089	0.0313846	0.0516335	0.121633	0.257391	0.121719	0.114502	0.238048
a	0.00156258	0.00151363	0.00568389	0.00183157	0.00174049	0.0028156	0.0124488	0.0215503	0.0429943	0.0590829	0.109938	0.155029	0.326948	0.139823	0.117038
b	0.000676443	0.00365527	0.0039264	0.00694749	0.00752228	0.00672383	0.00250405	0.00125923	0.00353291	0.00905339	0.0323608	0.312212	0.130285	0.335734	0.143607
h	0.000279097	0.00185457	0.0081657	0.042162	0.0219645	0.0359151	0.0068916	0.00528988	0.00780391	0.0111435	0.038532	0.358298	0.0915624	0.242344	0.127794
i	0.00073537	0.00195851	0.00294683	0.014762	0.020225	0.0440536	0.0134043	0.00734783	0.0220005	0.020824	0.0527753	0.32023	0.0918248	0.124218	0.262694
r	0.000470015	0.000208633	0.000583032	0.00043111	0.00288801	0.00248014	0.00784504	0.00983195	0.0200055	0.020094	0.059118	0.0842315	0.0747164	0.0779118	0.639185
á	0.0070731	0.00252733	0.00106798	0.00227161	0.00259742	0.00330085	0.00468127	0.010732	0.00859831	0.0149962	0.0264133	0.391006	0.0517244	0.0888339	0.384176
a	0.00255299	0.00300262	0.015818	0.001915	0.00473941	0.00371087	0.015098	0.0188426	0.0184143	0.0222103	0.0783247	0.0877663	0.295402	0.223481	0.208722
s	0.0025332	0.00830158	0.0296271	0.0198253	0.016038	0.011675	0.0125405	0.00646786	0.0051021	0.00672788	0.0311037	0.103574	0.177854	0.376793	0.191837
w	0.00152314	0.00275079	0.00759609	0.00978419	0.00841607	0.00250158	0.0036325	0.00529468	0.00164831	0.00309287	0.0138309	0.039912	0.0777637	0.689471	0.132782
é	0.00642987	0.00275891	0.0106532	0.00291156	0.00428171	0.00150033	0.00324935	0.0083043	0.00377456	0.011476	0.026372	0.103292	0.0879413	0.596699	0.130356
</S>	0.000222468	0.000147614	0.000557848	0.000158274	0.000732825	0.000663327	0.00136292	0.00331008	0.00606034	0.00742817	0.0270139	0.0308389	0.0758946	0.192951	0.652658
