 	notre	père	a	cueilli	du	koko	aux	feuilles	larges	lorsqu'	il	abattait	les	arbres	dans	son	champ	</S>
t	0.000683046	0.00333122	0.156463	0.502412	0.139653	0.0410021	0.0205821	0.0340837	0.00827924	0.0252009	0.0178649	0.0163115	0.00696208	0.00725886	0.00853985	0.00302724	0.000399769	0.00794508
ώ	0.00260273	0.00522186	0.0765104	0.486634	0.13112	0.0618142	0.0393853	0.0496574	0.033335	0.0296513	0.0287668	0.0282343	0.0068666	0.00884234	0.00518962	0.00197569	0.000433325	0.00375936
i	0.0110003	0.0103442	0.12591	0.247243	0.224575	0.0598059	0.089495	0.0575112	0.0280648	0.0248863	0.0204975	0.0246421	0.0233936	0.0172598	0.0138846	0.00592924	0.000909659	0.0146471
l	0.0559257	0.00565658	0.142629	0.0225644	0.256526	0.0845292	0.157061	0.0976802	0.0969175	0.0333915	0.0141885	0.00309392	0.00761955	0.00341558	0.00492601	0.00564925	0.000353179	0.00787266
o	0.0137287	0.0052744	0.0212675	0.04387	0.18077	0.133063	0.0948261	0.100327	0.112309	0.0512616	0.0338065	0.0277999	0.0308712	0.018739	0.0404552	0.0235941	0.00363179	0.0644049
b	0.00460978	0.00219488	0.0251985	0.0599427	0.102203	0.232965	0.11636	0.170584	0.0859897	0.0520186	0.0322554	0.0379101	0.0170852	0.00761024	0.0130651	0.00428288	0.0111838	0.0245399
h	0.013498	0.00066303	0.0244932	0.0249071	0.07837	0.125571	0.160067	0.2702	0.0930789	0.0450297	0.0248877	0.0843283	0.0130964	0.0303104	0.00199553	0.00126304	0.00102833	0.00721172
o	0.0012118	0.000109355	0.00456276	0.0520118	0.0977452	0.0367111	0.166305	0.185042	0.0494065	0.034065	0.0248284	0.1462	0.0284844	0.071886	0.0145369	0.00838909	0.00535324	0.0731521
l	0.000158671	1.09515e-05	0.00248477	0.00846234	0.0853186	0.0289466	0.273788	0.207025	0.107026	0.128697	0.0601914	0.0642881	0.0111623	0.00746569	0.00402099	0.00134811	0.000476793	0.0091282
a	0.00123858	0.000110177	0.00168012	0.00756006	0.033637	0.0242613	0.056496	0.15915	0.209621	0.159035	0.0940009	0.0896304	0.0344846	0.0132194	0.0213936	0.0105978	0.00128332	0.0826001
é	0.00819555	0.000384139	0.00550577	0.0023588	0.0175128	0.00721849	0.0472351	0.132354	0.22231	0.22093	0.177148	0.0711801	0.0321684	0.00754066	0.0120514	0.00713375	0.00570189	0.0230711
d	0.000257677	7.1903e-05	0.00747642	0.00846677	0.00936811	0.00225072	0.0136675	0.0972055	0.0610566	0.255122	0.272149	0.213227	0.0322829	0.0112281	0.00957818	0.00234542	0.000858399	0.00338824
z	5.10422e-05	9.71822e-05	0.00152022	0.00300104	0.00711443	0.00320587	0.0113789	0.232768	0.121802	0.154692	0.124695	0.147781	0.0422242	0.0126599	0.0848367	0.00936228	0.00107558	0.0417342
é	0.00471559	0.00351301	0.00298884	0.00269304	0.00759041	0.127521	0.0159547	0.118219	0.407237	0.126242	0.0771071	0.0414943	0.017714	0.00451788	0.0250973	0.0029939	0.00131572	0.0130849
w	0.00042796	2.97719e-05	0.0019715	0.000745125	0.0145447	0.00516258	0.0316414	0.0670694	0.13208	0.202315	0.186363	0.118835	0.0529376	0.0234906	0.0610712	0.0349631	0.00449993	0.0618515
a	0.00295955	0.000249238	0.00113176	0.000827889	0.00622907	0.00505887	0.0178705	0.0248253	0.0945492	0.0978382	0.195014	0.24262	0.0927266	0.0879101	0.0244648	0.0548094	0.00308203	0.0478335
l	0.000988716	0.000194213	0.00190053	0.000758534	0.00497221	0.00133552	0.0113362	0.0222485	0.0446257	0.140164	0.269633	0.187835	0.161148	0.0618354	0.0376338	0.0195702	0.00490347	0.0289163
á	0.00116489	0.000280549	0.00166769	0.00254985	0.00322565	0.000403974	0.00219098	0.0117106	0.00705361	0.0449355	0.109719	0.433222	0.108751	0.048395	0.0747811	0.0260272	0.00301235	0.120909
a	0.00637387	0.00256359	0.00921121	0.000949962	0.0121286	0.00633083	0.0116445	0.0164551	0.119709	0.0217023	0.101812	0.120569	0.232386	0.0840175	0.0610763	0.0565881	0.106086	0.0303964
k	0.000119009	5.43882e-05	0.00394381	0.00326882	0.00390356	0.000522829	0.00198281	0.00707663	0.00454241	0.0183444	0.0519201	0.52957	0.162446	0.124659	0.0579505	0.00682091	0.0130635	0.00981192
w	6.2303e-07	1.40793e-05	0.000154469	0.00203746	0.00125416	0.000633236	0.00222456	0.0162534	0.00337787	0.00862219	0.0537691	0.803234	0.0182112	0.0624481	0.00907678	0.00451339	0.00138477	0.0127905
ε	0.000148745	9.02217e-05	0.000320257	0.000914524	0.00256259	0.000822276	0.002583	0.0112404	0.0108467	0.0103057	0.0268933	0.683522	0.0318739	0.131793	0.0258099	0.0109559	0.00394391	0.0453736
r	0.000179317	8.13003e-06	8.38434e-05	0.000299775	0.00207816	0.00125449	0.00740485	0.00816052	0.0116688	0.0238042	0.0291062	0.287037	0.218399	0.251883	0.0684614	0.0180871	0.00799137	0.0640918
έ	0.0047316	0.000152218	0.000539043	0.00132872	0.00646747	0.00773752	0.0126641	0.0199455	0.103904	0.0646995	0.0672546	0.389802	0.113168	0.0536649	0.0374919	0.0384787	0.026674	0.051297
n	4.07633e-05	2.46927e-05	9.79416e-05	3.52083e-05	0.000658731	0.000251289	0.00161564	0.00155217	0.00852797	0.0123278	0.0275843	0.02759	0.34997	0.164684	0.206932	0.115695	0.0336546	0.0487583
g	0.00589541	0.000100405	0.000804623	0.00030066	0.00613008	0.00330846	0.00493859	0.00311901	0.0887955	0.01039	0.0180629	0.0207701	0.256263	0.053253	0.194277	0.0648662	0.225562	0.0431628
o	0.000456418	0.000151947	0.000224052	0.000139488	0.00161023	0.00295025	0.00256154	0.00265328	0.155126	0.0125161	0.0264858	0.0212163	0.183671	0.0207057	0.0976484	0.0199485	0.422556	0.029379
n	0.000350639	1.99049e-05	9.03472e-05	0.000121737	0.000743399	0.000421132	0.000814205	0.00096264	0.0216105	0.00364372	0.00851987	0.00894128	0.221106	0.0250264	0.201308	0.0233671	0.381984	0.100969
d	0.00184906	7.75335e-05	0.00066232	0.00141107	0.00661312	0.00306449	0.00510039	0.00302284	0.0197271	0.014579	0.0198663	0.0320252	0.30107	0.0512093	0.224768	0.0488419	0.13851	0.127603
a	0.00017571	5.72132e-05	7.95443e-05	0.000385466	0.00133752	0.00253867	0.0010395	0.000698827	0.0088275	0.00539445	0.00843495	0.0445726	0.111107	0.0409319	0.166631	0.0317441	0.31733	0.258714
</S>	0.00137112	0.000118927	0.000539468	0.000237436	0.00217894	0.000333915	0.00234068	0.0021547	0.00895734	0.0162722	0.0261963	0.036517	0.224694	0.0742468	0.200244	0.171024	0.0267334	0.205839
